animal,area,n_units,r_fine,r_coarse,r_cross,d_reliability_5cm_minus_2p5,d_structure_fine_minus_cross,zero_frac_2p5cm,zero_frac_5cm
1,DMS,57,0.737662763529085,0.882121589015163,0.797994002884143,0.144458825486077,-0.0603312393550581,0.943001878690285,0.9008078994614
1,DLS,42,0.38851402525359,0.560250368844184,0.496369558163747,0.171736343590594,-0.107855532910157,0.983007917337627,0.972985861759425
1,ACC,34,0.162285907225194,0.341973731033593,0.264549388017272,0.179687823808399,-0.102263480792079,0.964774557165861,0.930963868940754
2,DMS,69,0.410272259444195,0.641447806963224,0.517412496987294,0.231175547519029,-0.107140237543099,0.970458167777853,0.939525759126578
2,DLS,60,0.301954725319113,0.461708963003098,0.417124204521787,0.159754237683985,-0.115169479202675,0.978281365748535,0.957864210167178
2,ACC,64,0.197372758560576,0.327378570198706,0.249256040511779,0.13000581163813,-0.0518832819512027,0.965137944193773,0.930655066530194
3,DMS,19,0.588207068046125,0.762968010486119,0.688136231634317,0.174760942439994,-0.0999291635881921,0.972488713318284,0.94920993227991
3,DLS,22,0.24364633974525,0.421526951702533,0.337383615342314,0.177880611957283,-0.0937372755970645,0.949351015801354,0.912810383747178
3,ACC,6,0.680025597379655,0.794022624021365,0.739231035571555,0.11399702664171,-0.0592054381918994,0.126693002257336,0.0275112866817156
4,DMS,16,0.527096706066124,0.72888867944145,0.612653500992752,0.201791973375327,-0.0855567949266286,0.982320916905444,0.963062820167161
4,DLS,83,0.405009634189553,0.635694644744166,0.562210056270543,0.230685010554612,-0.157200422080989,0.964670487106017,0.938959288217848
4,ACC,53,0.488251883340899,0.673354582237832,0.594163165009385,0.185102698896933,-0.105911281668487,0.897335243553009,0.806093286600162
5,DMS,55,0.62208018947282,0.792775396004349,0.727259620894654,0.170695206531529,-0.105179431421835,0.981346166582044,0.963841446342146
5,DLS,237,0.535227184273871,0.729517276237559,0.610511243248847,0.194290091963688,-0.0752840589749765,0.96697498841034,0.94316227350906
5,ACC,175,0.506162644739258,0.730909104240835,0.615254776895143,0.224746459501578,-0.109092132155885,0.90068213426345,0.813927442902284
6,DMS,5,0.212456468465374,0.354364307104427,0.287819632732053,0.141907838639053,-0.0753631642666787,0.971043236810789,0.944473823373876
6,ACC,5,0.462534925897366,0.613433203023883,0.536132674587964,0.150898277126518,-0.0735977486905983,0.855745074705805,0.783447911158117
7,DMS,13,0.627725314929466,0.737401649122951,0.680447734721817,0.109676334193485,-0.0527224197923508,0.892908989391401,0.811299687360429
7,ACC,62,0.806918134033357,0.899059006619693,0.848566260492671,0.0921408725863356,-0.0416481264593138,0.755499720826354,0.623604287628406
8,DMS,16,0.406146546295097,0.675902677710961,0.522567792270746,0.269756131415864,-0.116421245975649,0.929548395046516,0.870014503263234
