group,condition,epoch,animal,decoding_error,norm_entropy
Task (Spatial),All,Naive,1,0.292461955246104,0.0839286759187806
Task (Spatial),All,Naive,2,0.371465082493789,0.055554336444883
Task (Spatial),All,Naive,3,0.313798078968914,0.117815496084768
Task (Spatial),All,Naive,4,0.329668640430249,0.0522762025730455
Task (Spatial),All,Naive,5,0.211908522526543,0.0240809037777343
Task (Spatial),All,Naive,6,0.340200131170797,0.581984574941254
Task (Spatial),All,Naive,7,0.261929307220812,0.0856054241514807
Task (Spatial),All,Naive,8,0.312112573949424,0.176687260906074
Task (Spatial),All,Naive,9,0.28763510413113,0.0618918854677896
Task (Spatial),All,Naive,10,0.35764887906713,0.055752415214884
Task (Spatial),All,Naive,11,0.31529983772002,0.0391187952522256
Task (Spatial),All,Naive,13,0.31963241954941,0.0408167591688561
Task (Spatial),All,Naive,14,0.328492050302766,0.108039826312948
Task (Spatial),All,Naive,15,0.331081880817468,0.15429401761776
Task (Spatial),All,Intermediate,1,0.236579488965767,0.0698646350076034
Task (Spatial),All,Intermediate,2,0.264106725343393,0.0560811305888632
Task (Spatial),All,Intermediate,3,0.306496180916479,0.255417217709339
Task (Spatial),All,Intermediate,4,0.278242953413021,0.052192300080151
Task (Spatial),All,Intermediate,5,0.147345689100686,0.0227671993786569
Task (Spatial),All,Intermediate,6,0.366074339626212,0.596843986472926
Task (Spatial),All,Intermediate,7,0.217744679991787,0.0990063445327769
Task (Spatial),All,Intermediate,8,0.314600494515697,0.185723973653389
Task (Spatial),All,Intermediate,9,0.225928599355782,0.0941850947860461
Task (Spatial),All,Intermediate,10,0.381220884691312,0.0603419696132515
Task (Spatial),All,Intermediate,11,0.209234514808336,0.0494331428225997
Task (Spatial),All,Intermediate,13,0.361392882787601,0.0711264200487432
Task (Spatial),All,Intermediate,14,0.295283757895213,0.135521810014623
Task (Spatial),All,Intermediate,15,0.31344405928168,0.136976867651467
Task (Spatial),All,Expert,1,0.20025094890942,0.0736832085069364
Task (Spatial),All,Expert,2,0.228131182335478,0.0598186104755438
Task (Spatial),All,Expert,3,0.362370086825586,0.19368803437858
Task (Spatial),All,Expert,4,0.265645580308154,0.0533680455641018
Task (Spatial),All,Expert,5,0.217511440669621,0.022892912971795
Task (Spatial),All,Expert,6,0.373274178378645,0.588725227096758
Task (Spatial),All,Expert,7,0.140302400820566,0.104508522874923
Task (Spatial),All,Expert,8,0.280375504576992,0.193344335572636
Task (Spatial),All,Expert,9,0.21956774301863,0.111456337414322
Task (Spatial),All,Expert,10,0.383632955938275,0.0759652653325689
Task (Spatial),All,Expert,11,0.191348446295927,0.0507545287429238
Task (Spatial),All,Expert,13,0.394234775054327,0.123020379372105
Task (Spatial),All,Expert,14,0.323591119503718,0.0970955742509885
Task (Spatial),No-DMS,Naive,1,0.344160330188036,0.210453802900106
Task (Spatial),No-DMS,Naive,2,0.405312307141802,0.0846901118027599
Task (Spatial),No-DMS,Naive,3,0.360422975519999,0.302804001328508
Task (Spatial),No-DMS,Naive,4,0.334058343992793,0.0621836807285892
Task (Spatial),No-DMS,Naive,5,0.221091695741689,0.0283593638220055
Task (Spatial),No-DMS,Naive,6,0.317987794510926,0.662534553699266
Task (Spatial),No-DMS,Naive,7,0.270662131815894,0.0949332271115814
Task (Spatial),No-DMS,Naive,8,0.386029476996724,0.249624850229939
Task (Spatial),No-DMS,Naive,9,0.287757708278569,0.070297941336436
Task (Spatial),No-DMS,Naive,10,0.354485282113062,0.0723555203844423
Task (Spatial),No-DMS,Naive,11,0.31916595120846,0.0483804512227038
Task (Spatial),No-DMS,Naive,13,0.304057368117688,0.0266840025587415
Task (Spatial),No-DMS,Naive,14,0.474022258213833,0.164706010583097
Task (Spatial),No-DMS,Naive,15,0.333357305201342,0.162436105797613
Task (Spatial),No-DMS,Intermediate,1,0.308533884009174,0.205878546323578
Task (Spatial),No-DMS,Intermediate,2,0.314002255043881,0.0774126157606152
Task (Spatial),No-DMS,Intermediate,3,0.317225919717088,0.394115518520476
Task (Spatial),No-DMS,Intermediate,4,0.300243819470962,0.0593295960601659
Task (Spatial),No-DMS,Intermediate,5,0.151761308548265,0.0282046271768444
Task (Spatial),No-DMS,Intermediate,6,0.319985404903178,0.626158894661756
Task (Spatial),No-DMS,Intermediate,7,0.234145641499314,0.109193081901864
Task (Spatial),No-DMS,Intermediate,8,0.375903741485036,0.253999893953923
Task (Spatial),No-DMS,Intermediate,9,0.247687622166481,0.118766416123259
Task (Spatial),No-DMS,Intermediate,10,0.367737778080175,0.093001760989973
Task (Spatial),No-DMS,Intermediate,11,0.209171654538647,0.0475587912413445
