group,area,epoch,animal,reliability,shuffle,obs_minus_shuffle
Task (Spatial),DMS,Naive,1,0.300043696643304,0.128857938655825,0.171185757987479
Task (Spatial),DMS,Naive,2,0.481838929308377,0.202652161641292,0.279186767667085
Task (Spatial),DMS,Naive,3,0.322674795629458,0.133046889056212,0.189627906573247
Task (Spatial),DMS,Naive,4,0.464833561667916,0.220564239201208,0.244269322466708
Task (Spatial),DMS,Naive,5,0.281482269738312,0.271629796704859,0.00985247303345277
Task (Spatial),DMS,Naive,6,0.200681319530444,0.286969511275197,-0.0862881917447526
Task (Spatial),DMS,Naive,7,0.162873220823639,0.0819771848550716,0.0808960359685675
Task (Spatial),DMS,Naive,8,0.20707661341459,0.109156318511986,0.0979202949026039
Task (Spatial),DMS,Naive,9,0.213328904769504,0.0804880457575632,0.132840859011941
Task (Spatial),DMS,Naive,10,0.184103417731318,0.0726910364746873,0.111412381256631
Task (Spatial),DMS,Naive,11,0.108794512411035,0.128398738489069,-0.0196042260780347
Task (Spatial),DMS,Naive,13,0.221332772428424,0.0347909835798615,0.186541788848562
Task (Spatial),DMS,Naive,14,0.350587086327771,0.127934342338495,0.222652743989276
Task (Spatial),DMS,Intermediate,1,0.305389022363993,0.118741083186863,0.18664793917713
Task (Spatial),DMS,Intermediate,2,0.488458153174432,0.222240085561548,0.266218067612884
Task (Spatial),DMS,Intermediate,3,0.221439280742259,0.157228207046973,0.0642110736952862
Task (Spatial),DMS,Intermediate,4,0.593344631613485,0.249402881456684,0.343941750156802
Task (Spatial),DMS,Intermediate,5,0.247786090486075,0.218868179873809,0.0289179106122661
Task (Spatial),DMS,Intermediate,6,0.423193733176411,0.145176834837439,0.278016898338972
Task (Spatial),DMS,Intermediate,7,0.08250653219787,0.0723894318478614,0.0101171003500086
Task (Spatial),DMS,Intermediate,8,0.208211281325461,0.0937541337606636,0.114457147564798
Task (Spatial),DMS,Intermediate,9,0.201113917341042,0.0577686926309346,0.143345224710107
Task (Spatial),DMS,Intermediate,10,0.153689399747965,0.0679713596213409,0.0857180401266239
Task (Spatial),DMS,Intermediate,11,0.202468388279933,0.159702429857345,0.0427659584225889
Task (Spatial),DMS,Intermediate,13,0.227991144303033,0.0348746189555578,0.193116525347475
Task (Spatial),DMS,Intermediate,14,0.403954706495294,0.183084149688047,0.220870556807247
Task (Spatial),DMS,Expert,1,0.281935056056673,0.119517045310645,0.162418010746028
Task (Spatial),DMS,Expert,2,0.421522153478748,0.190207495493603,0.231314657985145
Task (Spatial),DMS,Expert,3,0.186492906751731,0.175387503044063,0.011105403707668
Task (Spatial),DMS,Expert,4,0.537167621280398,0.352052608548248,0.18511501273215
Task (Spatial),DMS,Expert,5,0.294349422701112,0.211002868573219,0.0833465541278928
Task (Spatial),DMS,Expert,6,0.351608357747236,0.100888701180724,0.250719656566512
Task (Spatial),DMS,Expert,7,0.105373328539914,0.0513871892635337,0.0539861392763801
Task (Spatial),DMS,Expert,8,0.206847462650978,0.0937388803843518,0.113108582266626
Task (Spatial),DMS,Expert,9,0.200412164546909,0.0957685047228981,0.104643659824011
Task (Spatial),DMS,Expert,10,0.258766053057101,0.0834066181524464,0.175359434904655
Task (Spatial),DMS,Expert,11,0.181052799795696,0.111884402955265,0.0691683968404311
Task (Spatial),DMS,Expert,13,0.179328482885147,0.0480283125530339,0.131300170332113
Task (Spatial),DMS,Expert,14,0.403151732374,0.213683430959358,0.189468301414642
Task (Spatial),DLS,Naive,1,0.306167273462663,0.114434537704493,0.19173273575817
Task (Spatial),DLS,Naive,2,0.322110645410397,0.180355681455664,0.141754963954733
Task (Spatial),DLS,Naive,3,0.198031638378366,0.106991015088738,0.091040623289628
Task (Spatial),DLS,Naive,4,0.189194397004428,0.128516496969713,0.0606779000347146
Task (Spatial),DLS,Naive,5,0.28019642880059,0.166868708467402,0.113327720333188
Task (Spatial),DLS,Naive,10,0.13192958636235,0.0632363037420221,0.0686932826203277
Task (Spatial),DLS,Naive,11,0.1176940065504,0.104838984862861,0.0128550216875399
Task (Spatial),DLS,Naive,13,0.200950314755884,0.0441198910168883,0.156830423738996
Task (Spatial),DLS,Naive,14,0.152235302212173,0.0497100706108763,0.102525231601297
Task (Spatial),DLS,Naive,15,0.14224755223646,0.1777107868412,-0.0354632346047401
Task (Spatial),DLS,Intermediate,1,0.252624195889023,0.155194929395121,0.0974292664939016
Task (Spatial),DLS,Intermediate,2,0.290776679948066,0.244230822358241,0.0465458575898254
Task (Spatial),DLS,Intermediate,3,0.168756270577017,0.136284469746476,0.0324718008305403
Task (Spatial),DLS,Intermediate,4,0.229516340611291,0.15239787974326,0.0771184608680301
Task (Spatial),DLS,Intermediate,5,0.258105509246145,0.16203674703918,0.0960687622069648
Task (Spatial),DLS,Intermediate,10,0.195165024545812,0.0747209466945346,0.120444077851278
Task (Spatial),DLS,Intermediate,11,0.28601207553058,0.226634016798747,0.059378058731833
Task (Spatial),DLS,Intermediate,13,0.198326184666187,0.0293077234433794,0.169018461222808
Task (Spatial),DLS,Intermediate,14,0.2341855376808,0.116000057674846,0.118185480005954
Task (Spatial),DLS,Intermediate,15,0.199218327180838,0.191385680949387,0.00783264623145091
Task (Spatial),DLS,Expert,1,0.269714343584032,0.176335816137189,0.0933785274468421
Task (Spatial),DLS,Expert,2,0.340244424564796,0.209299315671517,0.130945108893279
Task (Spatial),DLS,Expert,3,0.117865811627614,0.111433122106031,0.00643268952158253
Task (Spatial),DLS,Expert,4,0.158602460419601,0.147511614098233,0.0110908463213686
Task (Spatial),DLS,Expert,5,0.247140951138643,0.150422352395502,0.0967185987431411
Task (Spatial),DLS,Expert,10,0.340802401830578,0.0680680300564004,0.272734371774178
Task (Spatial),DLS,Expert,11,0.179209401751011,0.13710647771385,0.042102924037161
Task (Spatial),DLS,Expert,13,0.188121823166321,0.0544276266746137,0.133694196491707
Task (Spatial),DLS,Expert,14,0.229583086009293,0.127806988381333,0.10177609762796
Task (Spatial),DLS,Expert,15,0.252118513695551,0.159737981362871,0.0923805323326808
Task (Spatial),ACC,Naive,1,0.398215970865348,0.0514337656905907,0.346782205174757
Task (Spatial),ACC,Naive,2,0.38461028814601,0.16549846286273,0.21911182528328
Task (Spatial),ACC,Naive,3,0.0665964072068192,0.122849282571391,-0.0562528753645719
Task (Spatial),ACC,Naive,4,0.124178323852378,0.075576773607847,0.0486015502445312
Task (Spatial),ACC,Naive,5,0.16669103244445,0.0951913997621145,0.0714996326823355
Task (Spatial),ACC,Naive,6,0.30416921249416,0.175977152409112,0.128192060085048
Task (Spatial),ACC,Naive,7,0.220374236201804,0.156828579469668,0.0635456567321366
Task (Spatial),ACC,Naive,8,0.152045503022092,0.0485704740456261,0.103475028976466
Task (Spatial),ACC,Naive,9,0.135078037331388,0.057670219445374,0.0774078178860139
Task (Spatial),ACC,Naive,10,0.238774196287524,0.0556560748842,0.183118121403324
Task (Spatial),ACC,Naive,11,0.0835546990191238,0.0615887166101783,0.0219659824089455
Task (Spatial),ACC,Naive,13,0.0810807368227627,0.0729577679718233,0.00812296885093933
Task (Spatial),ACC,Naive,14,0.531261366452264,0.108328285749996,0.422933080702268
