mouse,area,model,latent,n_cells,mean_dR2,median_dR2,frac_sig
M01,acc,beh,value,34,-9.8e-05,-0.000124,0.0
M01,acc,beh,rpe,34,-3.6e-05,-3.6e-05,0.0294
M01,acc,beh,precision,34,0.000298,8.5e-05,0.0
M01,acc,beh_spatial,value,34,-4e-05,-9.9e-05,0.0294
M01,acc,beh_spatial,rpe,34,-0.00016,-0.000197,0.1176
M01,acc,beh_spatial,precision,34,-0.004385,-0.00076,0.0588
M01,dls,beh,value,42,0.002151,0.000282,0.1667
M01,dls,beh,rpe,42,0.000452,4e-05,0.2381
M01,dls,beh,precision,42,0.005603,0.000377,0.0714
M01,dls,beh_spatial,value,42,0.000757,-0.000134,0.2381
M01,dls,beh_spatial,rpe,42,0.000402,-0.000114,0.3095
M01,dls,beh_spatial,precision,42,-0.01054,-0.003092,0.0
M01,dms,beh,value,57,0.002198,0.000141,0.0526
M01,dms,beh,rpe,57,0.000744,2e-05,0.2105
M01,dms,beh,precision,57,0.011003,0.001125,0.1228
M01,dms,beh_spatial,value,57,0.000731,0.000311,0.2982
M01,dms,beh_spatial,rpe,57,0.000441,-5.3e-05,0.2632
M01,dms,beh_spatial,precision,57,-0.011046,-0.003789,0.0351
M02,acc,beh,value,64,7.3e-05,-5.3e-05,0.125
M02,acc,beh,rpe,64,-1.2e-05,-3.3e-05,0.0469
M02,acc,beh,precision,64,0.000276,-2.5e-05,0.0
M02,acc,beh_spatial,value,64,0.000134,-8e-06,0.1406
M02,acc,beh_spatial,rpe,64,1.9e-05,-2.4e-05,0.0938
M02,acc,beh_spatial,precision,64,-0.000118,-9e-05,0.0
M02,dls,beh,value,60,0.001719,0.000237,0.15
M02,dls,beh,rpe,60,9.3e-05,-2e-06,0.2
M02,dls,beh,precision,60,0.004336,0.000577,0.0167
M02,dls,beh_spatial,value,60,0.000709,6.2e-05,0.2833
M02,dls,beh_spatial,rpe,60,0.000302,-1.4e-05,0.2667
M02,dls,beh_spatial,precision,60,-0.000297,-0.000171,0.0167
M02,dms,beh,value,69,0.00084,2e-05,0.1594
M02,dms,beh,rpe,69,-0.000152,-4.5e-05,0.0725
M02,dms,beh,precision,69,0.001566,0.000262,0.0145
M02,dms,beh_spatial,value,69,0.000704,4.9e-05,0.2899
M02,dms,beh_spatial,rpe,69,-0.000158,-4.1e-05,0.1304
M02,dms,beh_spatial,precision,69,-0.000256,-0.000161,0.058
M03,acc,beh,value,6,0.003147,0.001541,0.5
M03,acc,beh,rpe,6,1.2e-05,-1.5e-05,0.0
M03,acc,beh,precision,6,0.018608,0.013237,0.3333
M03,acc,beh_spatial,value,6,-0.000232,-0.000388,0.1667
M03,acc,beh_spatial,rpe,6,-0.00095,-0.000513,0.0
M03,acc,beh_spatial,precision,6,-0.000636,-7.9e-05,0.1667
M03,dls,beh,value,22,0.010453,0.001726,0.1818
M03,dls,beh,rpe,22,-0.000551,-0.000173,0.2727
M03,dls,beh,precision,22,0.020296,0.000954,0.0909
M03,dls,beh_spatial,value,22,-0.000951,-0.00037,0.1818
M03,dls,beh_spatial,rpe,22,-0.00039,-0.000179,0.3182
M03,dls,beh_spatial,precision,22,-0.001883,-0.00071,0.0
M03,dms,beh,value,19,0.001204,0.000103,0.0526
M03,dms,beh,rpe,19,0.000326,0.000382,0.4737
M03,dms,beh,precision,19,0.026492,0.004591,0.2632
M03,dms,beh_spatial,value,19,0.000472,-0.000193,0.0526
M03,dms,beh_spatial,rpe,19,5.4e-05,-5.8e-05,0.3684
M03,dms,beh_spatial,precision,19,0.000387,-0.000334,0.2632
M04,acc,beh,value,53,0.004057,0.000146,0.0943
M04,acc,beh,rpe,53,0.000552,-3.7e-05,0.1132
M04,acc,beh,precision,53,0.018775,0.004271,0.0189
M04,acc,beh_spatial,value,53,0.000644,-7.6e-05,0.1509
M04,acc,beh_spatial,rpe,53,0.000229,-6.6e-05,0.2264
M04,acc,beh_spatial,precision,53,-0.009335,-0.003648,0.0
M04,dls,beh,value,83,0.002675,0.000205,0.1687
M04,dls,beh,rpe,83,0.000189,-9.2e-05,0.1205
M04,dls,beh,precision,83,0.013325,0.001258,0.0602
M04,dls,beh_spatial,value,83,0.000918,-7.5e-05,0.2048
M04,dls,beh_spatial,rpe,83,0.001135,-0.000176,0.241
M04,dls,beh_spatial,precision,83,-0.011923,-0.002386,0.0361
M04,dms,beh,value,16,0.000346,-2.7e-05,0.0625
M04,dms,beh,rpe,16,-4.2e-05,-4e-05,0.0
M04,dms,beh,precision,16,0.0018,0.000202,0.1875
M04,dms,beh_spatial,value,16,1.4e-05,4.7e-05,0.1875
M04,dms,beh_spatial,rpe,16,-0.000102,2e-06,0.0625
M04,dms,beh_spatial,precision,16,-0.006502,-0.003721,0.0625
M05,acc,beh,value,175,0.001953,0.000259,0.0629
M05,acc,beh,rpe,175,-0.000191,-0.000106,0.0629
M05,acc,beh,precision,175,0.004519,0.001128,0.0114
M05,acc,beh_spatial,value,175,4.7e-05,-0.00018,0.16
M05,acc,beh_spatial,rpe,175,0.000397,-2.3e-05,0.3314
M05,acc,beh_spatial,precision,175,-0.024697,-0.00943,0.0457
M05,dls,beh,value,237,0.002592,0.000257,0.097
M05,dls,beh,rpe,237,-0.0007,-0.00012,0.1392
M05,dls,beh,precision,237,0.00374,0.000794,0.0759
M05,dls,beh_spatial,value,237,0.000248,-0.000135,0.1814
M05,dls,beh_spatial,rpe,237,0.002847,-0.000139,0.4177
M05,dls,beh_spatial,precision,237,-0.040894,-0.016062,0.0295
M05,dms,beh,value,55,0.000855,-0.000128,0.0364
M05,dms,beh,rpe,55,-0.000313,-0.000143,0.0
M05,dms,beh,precision,55,0.003157,0.000303,0.0364
M05,dms,beh_spatial,value,55,0.00014,-0.000133,0.1636
M05,dms,beh_spatial,rpe,55,6.1e-05,-6.1e-05,0.3818
M05,dms,beh_spatial,precision,55,-0.014734,-0.00707,0.0
M06,acc,beh,value,5,0.017713,0.000825,0.2
M06,acc,beh,rpe,5,-2.6e-05,-3.9e-05,0.2
M06,acc,beh,precision,5,0.002878,0.002369,0.0
M06,acc,beh_spatial,value,5,0.002737,0.001405,0.6
M06,acc,beh_spatial,rpe,5,0.000179,0.000186,0.6
M06,acc,beh_spatial,precision,5,0.003355,0.000402,0.4
M06,dms,beh,value,5,-0.000729,-0.000717,0.0
M06,dms,beh,rpe,5,7.7e-05,-0.000399,0.2
M06,dms,beh,precision,5,0.010203,0.002135,0.0
M06,dms,beh_spatial,value,5,0.000209,-2.1e-05,0.4
M06,dms,beh_spatial,rpe,5,0.000351,0.000501,0.4
M06,dms,beh_spatial,precision,5,-0.000463,-0.000211,0.0
M07,acc,beh,value,62,0.00353,0.000914,0.1613
M07,acc,beh,rpe,62,0.002377,0.000184,0.2742
M07,acc,beh,precision,62,0.039097,0.016492,0.1129
M07,acc,beh_spatial,value,62,0.003883,0.000258,0.3871
M07,acc,beh_spatial,rpe,62,0.002102,0.000491,0.4194
M07,acc,beh_spatial,precision,62,0.000683,-2.9e-05,0.2581
M07,dls,beh,value,2,0.001673,0.001673,0.5
M07,dls,beh,rpe,2,0.000451,0.000451,0.5
M07,dls,beh,precision,2,0.010193,0.010193,0.0
M07,dls,beh_spatial,value,2,0.00527,0.00527,1.0
M07,dls,beh_spatial,rpe,2,0.00038,0.00038,0.5
M07,dls,beh_spatial,precision,2,0.000388,0.000388,0.0
M07,dms,beh,value,13,0.001059,8.2e-05,0.2308
M07,dms,beh,rpe,13,0.000283,0.000162,0.0769
M07,dms,beh,precision,13,0.004608,0.000787,0.0769
M07,dms,beh_spatial,value,13,0.002127,0.000265,0.2308
M07,dms,beh_spatial,rpe,13,0.000618,0.000149,0.3077
M07,dms,beh_spatial,precision,13,0.000613,6.4e-05,0.1538
M08,acc,beh,value,17,0.005267,0.001658,0.1765
M08,acc,beh,rpe,17,0.003408,1.5e-05,0.3529
M08,acc,beh,precision,17,0.006367,0.003668,0.0588
M08,acc,beh_spatial,value,17,0.000469,-0.000265,0.1765
M08,acc,beh_spatial,rpe,17,0.000948,-7.2e-05,0.3529
M08,acc,beh_spatial,precision,17,-0.024647,-0.004317,0.0
M08,dms,beh,value,16,0.002844,4e-05,0.0625
M08,dms,beh,rpe,16,0.00055,-1.7e-05,0.125
M08,dms,beh,precision,16,0.003049,0.000139,0.1875
M08,dms,beh_spatial,value,16,0.00104,-0.000169,0.125
M08,dms,beh_spatial,rpe,16,0.000907,0.000114,0.375
M08,dms,beh_spatial,precision,16,-0.010043,-0.005405,0.1875
M09,acc,beh,value,34,0.003283,0.000935,0.4118
M09,acc,beh,rpe,34,0.000254,-1.8e-05,0.1471
M09,acc,beh,precision,34,0.015999,0.007181,0.0588
M09,acc,beh_spatial,value,34,0.005022,0.001947,0.7059
M09,acc,beh_spatial,rpe,34,0.000464,-5.6e-05,0.2941
M09,acc,beh_spatial,precision,34,-0.000375,-0.000241,0.1176
M09,dms,beh,value,28,0.000371,4.8e-05,0.1071
M09,dms,beh,rpe,28,9.7e-05,-2.1e-05,0.25
M09,dms,beh,precision,28,0.00067,4e-06,0.0714
M09,dms,beh_spatial,value,28,0.000173,-0.000203,0.2143
M09,dms,beh_spatial,rpe,28,0.000107,-3.2e-05,0.3571
M09,dms,beh_spatial,precision,28,-0.000432,-0.000147,0.0714
M09,v1,beh,value,24,0.000976,0.000115,0.25
M09,v1,beh,rpe,24,0.000725,0.000143,0.3333
M09,v1,beh,precision,24,0.003071,0.000238,0.125
M09,v1,beh_spatial,value,24,0.00019,1.5e-05,0.2917
M09,v1,beh_spatial,rpe,24,0.000626,0.00011,0.5417
M09,v1,beh_spatial,precision,24,-0.000528,-0.000238,0.0417
M10,acc,beh,value,16,-2.8e-05,-0.000229,0.0625
M10,acc,beh,rpe,16,0.000849,0.000744,0.5625
M10,acc,beh,precision,16,0.002907,0.00225,0.0625
M10,acc,beh_spatial,value,16,-0.000202,-0.000225,0.1875
M10,acc,beh_spatial,rpe,16,0.000702,0.000341,0.5
M10,acc,beh_spatial,precision,16,0.0006,-0.000126,0.1875
M10,dls,beh,value,20,-0.002298,-0.00073,0.0
M10,dls,beh,rpe,20,0.002478,0.000143,0.35
M10,dls,beh,precision,20,0.005582,0.001078,0.3
M10,dls,beh_spatial,value,20,-0.002673,-0.000327,0.1
M10,dls,beh_spatial,rpe,20,0.001698,0.000172,0.4
M10,dls,beh_spatial,precision,20,0.001589,0.000229,0.35
M10,dms,beh,value,20,0.000828,-0.001413,0.0
M10,dms,beh,rpe,20,0.008388,0.002141,0.6
M10,dms,beh,precision,20,0.006058,0.002572,0.35
M10,dms,beh_spatial,value,20,-0.002345,-0.001175,0.0
M10,dms,beh_spatial,rpe,20,0.006967,0.003842,0.65
M10,dms,beh_spatial,precision,20,0.001658,-0.000166,0.45
M10,v1,beh,value,7,0.00117,0.000921,0.0
M10,v1,beh,rpe,7,-0.000465,-0.000212,0.1429
M10,v1,beh,precision,7,0.011186,0.000903,0.1429
M10,v1,beh_spatial,value,7,0.001078,-6.1e-05,0.4286
M10,v1,beh_spatial,rpe,7,-0.000161,-0.00018,0.1429
M10,v1,beh_spatial,precision,7,-0.000375,-0.000417,0.1429
M11,acc,beh,value,67,0.000157,-5.7e-05,0.0448
M11,acc,beh,rpe,67,-6.4e-05,-4.1e-05,0.0299
M11,acc,beh,precision,67,0.000199,1.3e-05,0.0149
M11,acc,beh_spatial,value,67,6.2e-05,-8.7e-05,0.1493
M11,acc,beh_spatial,rpe,67,-8.4e-05,-5.1e-05,0.0299
M11,acc,beh_spatial,precision,67,-0.001218,-0.000375,0.0299
M11,ca1,beh,value,28,0.001807,-3.9e-05,0.0714
M11,ca1,beh,rpe,28,-2.7e-05,-2.3e-05,0.0
M11,ca1,beh,precision,28,0.003106,0.000675,0.1071
M11,ca1,beh_spatial,value,28,0.0003,1e-05,0.2143
M11,ca1,beh_spatial,rpe,28,-4e-06,-1.1e-05,0.1429
M11,ca1,beh_spatial,precision,28,-0.001755,-0.000769,0.0357
M11,dg,beh,value,6,0.000152,-1.8e-05,0.0
M11,dg,beh,rpe,6,-7.8e-05,-7.6e-05,0.0
M11,dg,beh,precision,6,0.000723,0.000492,0.0
M11,dg,beh_spatial,value,6,0.000678,0.000181,0.1667
M11,dg,beh_spatial,rpe,6,-0.000177,-0.00018,0.1667
M11,dg,beh_spatial,precision,6,-0.002046,-0.000916,0.0
M11,dls,beh,value,5,0.000184,0.000184,0.2
M11,dls,beh,rpe,5,-5.5e-05,-7.1e-05,0.0
M11,dls,beh,precision,5,-0.000371,-0.000248,0.0
M11,dls,beh_spatial,value,5,6e-06,-6.8e-05,0.2
M11,dls,beh_spatial,rpe,5,-9.5e-05,-5e-05,0.0
M11,dls,beh_spatial,precision,5,-0.000873,-0.000583,0.0
M11,dms,beh,value,20,8.6e-05,5e-06,0.0
M11,dms,beh,rpe,20,-5e-05,-4.5e-05,0.0
M11,dms,beh,precision,20,0.000191,6e-06,0.0
M11,dms,beh_spatial,value,20,-0.000418,-7.9e-05,0.0
M11,dms,beh_spatial,rpe,20,-0.000103,-0.000112,0.0
M11,dms,beh_spatial,precision,20,-0.000436,-0.000211,0.1
M11,v1,beh,value,67,0.000963,0.000214,0.1791
M11,v1,beh,rpe,67,0.000161,-2.9e-05,0.0299
M11,v1,beh,precision,67,0.012128,0.001634,0.0597
M11,v1,beh_spatial,value,67,0.000787,-5e-06,0.2836
M11,v1,beh_spatial,rpe,67,5.8e-05,-3.9e-05,0.194
M11,v1,beh_spatial,precision,67,-0.001495,-0.000661,0.0
M12,ca1,beh,value,81,0.008286,0.001241,0.284
M12,ca1,beh,rpe,81,0.000718,9.7e-05,0.4691
M12,ca1,beh,precision,81,0.011741,0.001712,0.0617
M12,ca1,beh_spatial,value,81,0.001182,0.000184,0.2593
M12,ca1,beh_spatial,rpe,81,0.000522,1.5e-05,0.3951
M12,ca1,beh_spatial,precision,81,-0.000664,-0.000363,0.0988
M12,dg,beh,value,11,0.002063,-0.000272,0.0
M12,dg,beh,rpe,11,-0.000108,-7.1e-05,0.0909
M12,dg,beh,precision,11,0.000445,-0.000199,0.1818
M12,dg,beh_spatial,value,11,-0.000139,-6.6e-05,0.0
M12,dg,beh_spatial,rpe,11,-0.000217,-0.000113,0.0
M12,dg,beh_spatial,precision,11,-0.000706,-0.000728,0.0909
M12,dms,beh,value,16,0.000137,4e-06,0.0625
M12,dms,beh,rpe,16,-1.7e-05,-5.4e-05,0.125
M12,dms,beh,precision,16,0.000546,7.7e-05,0.0625
M12,dms,beh_spatial,value,16,-0.000139,-7e-05,0.0625
M12,dms,beh_spatial,rpe,16,-5.2e-05,-5.9e-05,0.125
