area,model,latent,n_animals,total_cells,median_mean_dR2,median_frac_sig,p_frac_vs_chance,p_BH,sig_BH
acc,beh,precision,15,699,0.002907,0.0149,0.49236,0.49236,0
acc,beh,rpe,15,699,1.2e-05,0.0629,0.12485,0.18727,0
acc,beh,value,15,699,0.001953,0.125,0.00153,0.00459,1
acc,beh_spatial,precision,15,699,-0.000328,0.0476,0.27956,0.27956,0
acc,beh_spatial,rpe,15,699,0.000179,0.2264,0.00755,0.01132,1
acc,beh_spatial,value,15,699,0.000134,0.1667,0.00012,0.00036,1
ca1,beh,precision,3,133,0.004783,0.1071,,,0
ca1,beh,rpe,3,133,0.000108,0.0833,,,0
ca1,beh,value,3,133,0.001807,0.125,,,0
ca1,beh_spatial,precision,3,133,-0.000664,0.0988,,,0
ca1,beh_spatial,rpe,3,133,8.7e-05,0.1429,,,0
ca1,beh_spatial,value,3,133,0.001175,0.2593,,,0
dg,beh,precision,3,18,0.000445,0.0,,,0
dg,beh,rpe,3,18,-0.000108,0.0,,,0
dg,beh,value,3,18,0.000152,0.0,,,0
dg,beh_spatial,precision,3,18,-0.000706,0.0,,,0
dg,beh_spatial,rpe,3,18,-0.000177,0.0,,,0
dg,beh_spatial,value,3,18,-0.000139,0.0,,,0
dls,beh,precision,11,522,0.005603,0.0759,0.16797,0.16797,0
dls,beh,rpe,11,522,0.000189,0.2308,0.00195,0.00585,1
dls,beh,value,11,522,0.002151,0.1667,0.00977,0.01465,1
dls,beh_spatial,precision,11,522,-0.000297,0.0295,0.67676,0.67676,0
dls,beh_spatial,rpe,11,522,0.00038,0.3095,0.00293,0.00439,1
dls,beh_spatial,value,11,522,0.000363,0.2,0.00293,0.00439,1
dms,beh,precision,16,394,0.002425,0.068,0.17801,0.17801,0
dms,beh,rpe,16,394,8.7e-05,0.125,0.00956,0.02868,1
dms,beh,value,16,394,0.000741,0.0625,0.14664,0.17801,0
dms,beh_spatial,precision,16,394,-0.000434,0.0857,0.03157,0.03157,1
dms,beh_spatial,rpe,16,394,8.4e-05,0.2854,0.00226,0.00562,1
dms,beh_spatial,value,16,394,0.000157,0.1443,0.00375,0.00562,1
v1,beh,precision,5,264,0.012128,0.125,0.0625,0.125,0
v1,beh,rpe,5,264,0.000381,0.1429,0.125,0.125,0
v1,beh,value,5,264,0.00117,0.1791,0.125,0.125,0
v1,beh_spatial,precision,5,264,-0.000528,0.049,0.8125,0.8125,0
v1,beh_spatial,rpe,5,264,0.000142,0.2344,0.0625,0.09375,0
v1,beh_spatial,value,5,264,0.000787,0.2917,0.0625,0.09375,0
