animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,60.14,62.45,68.87,63.91,89.26,81.04,0.4,0.33
1,DMS-DLS,intermediate->expert,20,68.87,63.06,71.32,75.01,88.74,84.19,0.4,0.18
1,DMS-DLS,naive->expert,20,73.27,81.41,74.4,70.75,83.91,86.72,0.27,0.33
1,DMS-ACC,naive->intermediate,20,50.48,54.44,55.12,46.82,86.85,87.23,0.4,0.2
1,DMS-ACC,intermediate->expert,20,42.22,18.79,49.89,24.47,79.81,85.06,0.4,0.38
1,DMS-ACC,naive->expert,20,65.72,57.27,57.29,49.61,89.29,89.68,0.33,0.2
1,DLS-ACC,naive->intermediate,20,88.39,89.57,74.22,87.29,84.65,76.3,0.43,0.2
1,DLS-ACC,intermediate->expert,20,86.23,89.71,77.47,87.4,85.69,89.28,0.25,0.2
1,DLS-ACC,naive->expert,20,89.57,89.23,86.46,89.57,84.96,89.51,0.25,0.12
2,DMS-DLS,naive->intermediate,20,78.25,84.1,81.61,74.9,88.45,87.57,0.26,0.3
2,DMS-DLS,intermediate->expert,20,61.05,64.02,83.11,83.39,70.3,89.47,0.42,0.36
2,DMS-DLS,naive->expert,20,80.72,69.21,85.2,73.39,86.03,86.48,0.26,0.43
2,DMS-ACC,naive->intermediate,20,88.87,88.87,81.53,75.81,87.17,86.57,0.26,0.4
2,DMS-ACC,intermediate->expert,20,84.16,88.93,80.32,83.17,70.91,85.69,0.42,0.33
2,DMS-ACC,naive->expert,20,80.51,43.46,79.83,77.18,89.49,82.13,0.17,0.27
2,DLS-ACC,naive->intermediate,20,86.76,78.53,82.51,78.04,87.34,80.52,0.3,0.4
2,DLS-ACC,intermediate->expert,20,85.01,77.57,85.15,83.57,89.46,89.15,0.36,0.4
2,DLS-ACC,naive->expert,20,83.21,83.25,86.14,82.52,89.43,86.04,0.43,0.22
4,DMS-DLS,naive->intermediate,16,33.99,80.6,84.66,83.79,87.91,88.68,0.33,0.03
4,DMS-DLS,intermediate->expert,16,78.37,87.21,86.14,86.93,84.79,84.8,0.33,0.27
4,DMS-DLS,naive->expert,16,88.55,82.49,83.31,85.32,84.41,87.37,0.33,0.03
4,DMS-ACC,naive->intermediate,16,89.66,84.7,63.17,81.74,89.97,84.23,0.0,0.13
4,DMS-ACC,intermediate->expert,16,81.8,84.4,69.88,83.27,90.0,84.59,0.14,0.37
4,DMS-ACC,naive->expert,16,87.93,32.91,82.84,87.77,78.08,89.46,0.33,0.13
4,DLS-ACC,naive->intermediate,20,79.67,65.6,58.09,56.88,85.06,87.9,0.03,0.13
4,DLS-ACC,intermediate->expert,20,38.72,33.28,67.63,71.83,89.39,82.2,0.31,0.24
4,DLS-ACC,naive->expert,20,81.46,68.03,75.11,74.52,86.13,89.79,0.03,0.08
5,DMS-DLS,naive->intermediate,20,65.26,78.91,67.14,66.48,87.56,86.48,0.12,0.13
5,DMS-DLS,intermediate->expert,20,53.02,48.43,52.06,57.33,88.36,86.79,0.22,0.3
5,DMS-DLS,naive->expert,20,74.34,79.78,61.22,63.48,88.65,87.33,0.12,0.09
5,DMS-ACC,intermediate->expert,20,79.66,89.89,77.98,80.89,89.07,87.67,0.22,0.19
5,DLS-ACC,naive->intermediate,20,69.82,79.2,48.15,61.26,89.86,89.22,0.13,0.14
