animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,41.39,35.8,52.05,57.87,89.6,86.65,0.36,0.47
1,DMS-DLS,intermediate->expert,20,42.81,39.46,41.68,43.19,86.09,89.24,0.36,0.29
1,DMS-DLS,naive->expert,20,46.3,43.02,51.48,54.56,88.98,89.07,0.3,0.47
1,DMS-ACC,naive->intermediate,20,50.51,54.51,55.16,46.38,86.64,87.54,0.36,0.2
1,DMS-ACC,intermediate->expert,20,42.19,18.59,50.45,23.84,79.33,82.71,0.43,0.38
1,DMS-ACC,naive->expert,20,65.79,57.56,58.28,49.42,88.24,89.62,0.36,0.2
1,DLS-ACC,naive->intermediate,20,86.66,87.73,79.54,83.83,85.37,83.99,0.47,0.2
1,DLS-ACC,intermediate->expert,20,88.13,79.17,82.12,84.55,87.58,89.13,0.29,0.2
1,DLS-ACC,naive->expert,20,84.12,81.83,86.38,89.18,89.69,88.23,0.47,0.12
2,DMS-DLS,naive->intermediate,20,76.45,89.16,76.5,61.76,84.02,87.78,0.29,0.36
2,DMS-DLS,intermediate->expert,20,47.65,62.04,75.71,73.74,67.47,81.37,0.5,0.43
2,DMS-DLS,naive->expert,20,87.21,71.74,82.32,76.32,86.59,85.43,0.38,0.43
2,DMS-ACC,naive->intermediate,20,74.9,82.57,83.3,55.38,86.53,89.95,0.24,0.39
2,DMS-ACC,intermediate->expert,20,47.65,41.0,89.26,68.38,81.68,84.59,0.5,0.45
2,DMS-ACC,naive->expert,20,77.16,77.68,83.94,69.24,87.21,82.69,0.29,0.23
2,DLS-ACC,naive->intermediate,20,76.94,85.84,84.05,84.2,85.52,87.07,0.43,0.39
2,DLS-ACC,intermediate->expert,20,68.81,89.07,88.2,84.31,87.93,73.23,0.36,0.52
2,DLS-ACC,naive->expert,20,81.63,74.04,84.73,88.57,83.08,87.77,0.36,0.23
4,DMS-DLS,naive->intermediate,16,43.77,81.19,81.76,89.1,87.64,87.93,0.33,0.0
