animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,47.91,38.57,47.77,48.97,88.47,85.16,0.36,0.38
1,DMS-DLS,intermediate->expert,20,48.89,44.6,62.28,66.39,89.18,83.56,0.58,0.29
1,DMS-DLS,naive->expert,20,55.55,50.04,68.99,68.12,87.95,87.95,0.3,0.47
1,DMS-ACC,naive->intermediate,20,58.57,70.52,61.12,46.79,81.53,87.42,0.36,0.12
1,DMS-ACC,intermediate->expert,20,36.59,21.57,52.03,33.77,87.76,85.78,0.58,0.29
1,DMS-ACC,naive->expert,20,70.57,68.92,51.99,52.67,88.77,88.84,0.3,0.2
1,DLS-ACC,naive->intermediate,20,78.85,85.9,85.89,80.55,87.73,77.3,0.38,0.12
1,DLS-ACC,intermediate->expert,20,84.58,84.23,89.5,83.83,87.04,84.39,0.29,0.29
1,DLS-ACC,naive->expert,20,74.26,82.55,86.15,85.27,83.56,83.12,0.47,0.2
2,DMS-DLS,naive->intermediate,20,71.15,83.65,67.55,60.04,89.05,81.42,0.33,0.36
2,DMS-DLS,intermediate->expert,20,42.58,53.42,68.71,72.68,67.1,73.66,0.5,0.43
2,DMS-DLS,naive->expert,20,87.44,67.92,82.4,71.53,86.76,84.32,0.38,0.36
2,DMS-ACC,naive->intermediate,20,66.46,75.02,68.0,63.14,89.13,78.52,0.33,0.39
2,DMS-ACC,intermediate->expert,20,47.09,48.0,83.19,87.14,50.9,82.22,0.5,0.52
2,DMS-ACC,naive->expert,20,72.33,67.73,67.1,65.05,88.9,82.62,0.38,0.23
2,DLS-ACC,naive->intermediate,20,64.27,72.55,78.34,78.61,89.82,84.02,0.36,0.39
2,DLS-ACC,intermediate->expert,20,68.28,73.32,86.59,86.78,78.79,85.49,0.43,0.52
2,DLS-ACC,naive->expert,20,77.89,88.67,75.39,75.66,79.07,87.66,0.36,0.23
4,DMS-DLS,naive->intermediate,16,39.81,83.62,67.75,78.42,87.17,87.25,0.14,0.08
4,DMS-DLS,intermediate->expert,16,32.34,63.83,69.29,80.45,83.4,80.39,0.33,0.35
4,DMS-DLS,naive->expert,16,48.24,88.14,71.8,82.94,88.49,88.34,0.33,0.02
4,DMS-ACC,naive->intermediate,16,63.94,86.71,67.64,84.33,86.81,84.29,0.14,0.12
4,DMS-ACC,intermediate->expert,16,61.37,53.96,70.41,85.9,73.63,81.94,0.33,0.4
4,DMS-ACC,naive->expert,16,86.43,83.96,84.95,86.39,83.08,87.17,0.33,0.17
4,DLS-ACC,naive->intermediate,20,74.21,65.14,52.48,46.93,83.88,86.7,0.05,0.27
4,DLS-ACC,intermediate->expert,20,36.59,36.44,60.73,63.26,87.48,78.1,0.24,0.33
4,DLS-ACC,naive->expert,20,82.02,73.67,65.99,63.33,87.45,84.13,0.02,0.17
5,DMS-DLS,naive->intermediate,20,59.69,74.63,73.16,78.15,87.56,87.25,0.12,0.18
5,DMS-DLS,intermediate->expert,20,52.15,46.44,62.14,55.58,87.62,84.16,0.27,0.35
5,DMS-DLS,naive->expert,20,75.91,78.92,62.68,64.39,83.43,88.21,0.17,0.14
5,DMS-ACC,naive->intermediate,20,81.5,86.05,50.2,63.34,81.0,88.71,0.12,0.16
5,DMS-ACC,intermediate->expert,20,66.44,74.43,53.46,43.97,79.63,86.75,0.27,0.24
5,DMS-ACC,naive->expert,20,85.02,83.32,50.67,56.92,85.25,87.91,0.17,0.14
5,DLS-ACC,naive->intermediate,20,68.76,73.4,52.86,64.42,84.5,86.42,0.18,0.16
5,DLS-ACC,intermediate->expert,20,41.1,57.46,31.79,35.45,89.93,88.17,0.35,0.24
5,DLS-ACC,naive->expert,20,66.27,79.52,56.2,60.42,88.1,89.21,0.14,0.14
6,DMS-ACC,naive->intermediate,5,59.87,63.88,34.01,26.43,67.13,55.67,0.0,0.33
6,DMS-ACC,intermediate->expert,5,28.43,68.97,57.17,30.97,61.06,79.12,1.0,0.33
6,DMS-ACC,naive->expert,5,65.65,49.86,43.08,29.14,61.56,82.78,0.0,0.33
7,DMS-ACC,naive->intermediate,13,44.09,45.73,37.24,38.91,82.28,89.87,1.0,0.19
7,DMS-ACC,intermediate->expert,13,48.18,53.83,50.34,54.41,70.9,87.25,0.14,0.28
7,DMS-ACC,naive->expert,13,29.89,62.38,44.14,52.27,74.95,89.57,0.14,0.0
9,DMS-ACC,naive->intermediate,20,71.63,74.25,68.7,70.71,81.16,74.24,0.17,0.2
9,DMS-ACC,intermediate->expert,20,78.34,89.95,81.63,79.92,76.78,87.69,0.08,0.5
9,DMS-ACC,naive->expert,20,65.09,79.77,76.77,79.94,85.4,88.82,0.0,0.12
9,V1-DMS,naive->intermediate,20,82.07,82.82,82.59,87.43,89.95,80.04,0.33,0.17
9,V1-DMS,intermediate->expert,20,89.02,80.99,83.47,77.5,89.93,89.62,0.09,0.08
9,V1-DMS,naive->expert,20,83.36,87.1,83.78,76.95,88.5,86.81,0.0,0.0
9,V1-ACC,naive->intermediate,20,46.56,84.79,63.23,74.63,78.13,80.18,0.33,0.2
9,V1-ACC,intermediate->expert,20,68.47,66.32,82.49,85.38,72.14,84.91,0.09,0.5
9,V1-ACC,naive->expert,20,88.56,51.68,69.74,70.55,77.35,81.89,0.0,0.12
10,DMS-DLS,naive->intermediate,20,21.1,34.85,69.29,36.01,89.04,42.94,0.43,0.11
10,DMS-DLS,intermediate->expert,20,57.35,25.92,70.51,25.09,33.15,67.49,0.67,0.43
10,DMS-DLS,naive->expert,20,64.42,44.98,75.56,34.75,64.75,78.0,0.43,0.11
10,DMS-ACC,naive->intermediate,16,60.32,39.43,56.27,39.88,72.99,83.3,0.43,0.0
10,DMS-ACC,intermediate->expert,16,28.62,16.41,40.02,33.14,68.6,48.66,0.43,0.6
10,DMS-ACC,naive->expert,16,65.04,39.97,69.42,43.85,53.57,89.46,0.43,0.0
10,DLS-ACC,naive->intermediate,16,87.53,85.92,54.63,48.36,70.26,78.26,0.11,0.0
10,DLS-ACC,intermediate->expert,16,35.16,18.8,29.09,35.28,73.09,76.96,0.43,0.6
10,DLS-ACC,naive->expert,16,87.4,86.18,60.38,51.04,73.96,81.98,0.11,0.0
10,V1-DMS,naive->intermediate,7,80.94,74.75,57.37,81.54,58.84,88.59,0.33,0.43
10,V1-DMS,intermediate->expert,7,22.98,41.66,28.37,71.92,46.17,70.89,1.0,0.67
10,V1-DMS,naive->expert,7,81.65,74.77,43.22,65.29,59.49,82.23,0.33,0.43
10,V1-DLS,naive->intermediate,7,74.92,71.26,48.07,76.12,81.37,87.96,0.33,0.11
10,V1-DLS,intermediate->expert,7,27.6,70.31,28.42,59.55,68.86,82.79,1.0,0.25
10,V1-DLS,naive->expert,7,87.62,85.44,54.93,66.23,81.14,84.64,0.33,0.43
10,V1-ACC,naive->intermediate,7,67.4,70.13,80.26,75.09,70.83,83.59,0.33,0.0
10,V1-ACC,intermediate->expert,7,24.5,58.47,89.4,79.15,71.4,78.63,1.0,0.6
10,V1-ACC,naive->expert,7,89.84,85.72,80.72,69.69,69.87,89.26,0.33,0.0
11,DMS-DLS,naive->intermediate,5,77.91,87.11,79.13,82.43,87.56,86.33,0.11,0.33
11,DMS-DLS,intermediate->expert,5,87.24,73.48,89.61,84.86,88.54,84.86,0.25,1.0
11,DMS-DLS,naive->expert,5,89.36,35.02,79.29,82.46,89.77,88.45,0.25,0.33
11,DMS-ACC,naive->intermediate,20,84.78,82.75,82.94,89.06,83.59,85.69,0.11,0.13
11,DMS-ACC,intermediate->expert,20,32.51,87.07,89.26,82.28,85.88,87.32,0.43,0.36
11,DMS-ACC,naive->expert,20,87.61,88.35,83.44,82.45,89.69,87.36,0.11,0.13
11,DLS-ACC,naive->intermediate,5,75.86,89.38,52.76,70.87,85.82,87.45,0.33,0.1
11,DLS-ACC,intermediate->expert,5,72.17,85.48,49.5,75.4,84.48,85.57,1.0,0.31
11,DLS-ACC,naive->expert,5,80.05,82.03,80.87,81.57,83.56,86.58,0.33,0.1
