animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
1,DMS-DLS,naive->intermediate,20,67.68,60.83,59.85,49.81,86.09,86.37,0.33,0.33
1,DMS-DLS,intermediate->expert,20,86.89,78.16,71.24,66.08,89.52,80.37,0.47,0.33
1,DMS-DLS,naive->expert,20,86.45,85.01,78.28,73.15,88.75,89.37,0.27,0.33
1,DMS-ACC,naive->intermediate,20,58.32,70.57,60.78,46.99,83.33,88.07,0.33,0.12
1,DMS-ACC,intermediate->expert,20,36.57,21.53,51.99,33.52,87.78,85.81,0.47,0.29
1,DMS-ACC,naive->expert,20,70.48,68.98,51.57,52.64,87.65,89.07,0.27,0.2
1,DLS-ACC,naive->intermediate,20,73.31,63.23,86.09,79.77,80.93,78.69,0.33,0.12
1,DLS-ACC,intermediate->expert,20,89.5,89.97,88.94,86.15,86.15,88.73,0.33,0.29
1,DLS-ACC,naive->expert,20,80.88,78.96,86.56,80.47,88.1,89.18,0.33,0.2
2,DMS-DLS,naive->intermediate,20,64.17,87.8,66.25,72.56,88.88,83.96,0.31,0.36
2,DMS-DLS,intermediate->expert,20,56.05,57.26,68.04,82.68,64.84,72.36,0.42,0.36
2,DMS-DLS,naive->expert,20,86.48,71.33,80.21,73.6,85.0,84.95,0.31,0.3
2,DMS-ACC,naive->intermediate,20,80.02,85.56,70.49,65.0,84.89,85.02,0.31,0.33
2,DMS-ACC,intermediate->expert,20,62.82,89.27,82.54,88.16,86.5,89.45,0.42,0.27
2,DMS-ACC,naive->expert,20,78.54,78.28,68.33,63.47,81.22,86.95,0.31,0.22
2,DLS-ACC,naive->intermediate,20,82.02,85.96,86.64,76.5,89.21,89.45,0.36,0.33
2,DLS-ACC,intermediate->expert,20,86.78,84.92,84.53,84.16,80.32,83.79,0.36,0.27
2,DLS-ACC,naive->expert,20,85.28,73.26,83.01,77.24,85.78,87.84,0.3,0.22
4,DMS-DLS,naive->intermediate,16,30.93,81.71,75.59,82.63,79.54,89.46,0.14,0.06
4,DMS-DLS,intermediate->expert,16,31.8,66.88,75.16,84.91,83.65,79.52,0.33,0.27
4,DMS-DLS,naive->expert,16,45.17,82.89,77.29,86.06,87.01,87.9,0.33,0.0
4,DMS-ACC,naive->intermediate,16,66.58,86.34,73.64,85.24,81.78,85.08,0.14,0.18
4,DMS-ACC,intermediate->expert,16,63.4,52.35,76.11,85.59,72.66,82.8,0.33,0.3
4,DMS-ACC,naive->expert,16,86.02,82.89,84.77,84.57,77.87,88.39,0.33,0.08
4,DLS-ACC,naive->intermediate,20,81.89,68.9,72.12,68.02,87.04,86.08,0.0,0.3
4,DLS-ACC,intermediate->expert,20,54.71,60.9,67.66,68.91,88.87,73.81,0.27,0.3
4,DLS-ACC,naive->expert,20,88.59,89.19,78.38,75.29,86.69,82.74,0.03,0.18
5,DMS-DLS,naive->intermediate,20,62.3,76.35,74.05,78.13,88.17,88.0,0.12,0.18
5,DMS-DLS,intermediate->expert,20,51.24,45.7,61.7,55.02,88.81,84.47,0.27,0.39
5,DMS-DLS,naive->expert,20,76.98,79.87,62.33,63.52,83.51,87.43,0.17,0.15
5,DMS-ACC,naive->intermediate,20,88.04,83.45,55.56,62.22,81.26,87.76,0.12,0.11
5,DMS-ACC,intermediate->expert,20,64.51,71.3,61.52,54.61,79.42,87.61,0.27,0.24
5,DMS-ACC,naive->expert,20,88.44,75.7,53.69,61.42,88.52,87.67,0.17,0.12
5,DLS-ACC,naive->intermediate,20,75.03,87.56,54.17,63.28,86.57,83.07,0.18,0.11
5,DLS-ACC,intermediate->expert,20,43.35,69.91,35.77,43.32,89.8,87.4,0.39,0.24
5,DLS-ACC,naive->expert,20,73.18,77.38,58.03,62.2,89.81,88.92,0.15,0.12
7,DMS-ACC,naive->intermediate,13,73.1,85.6,80.47,78.34,88.78,89.69,1.0,0.12
7,DMS-ACC,intermediate->expert,13,53.51,75.95,86.39,86.63,87.48,86.3,0.14,0.22
7,DMS-ACC,naive->expert,13,57.85,73.65,78.44,80.57,67.23,89.3,0.14,0.0
9,DMS-ACC,naive->intermediate,20,83.87,78.48,65.46,75.24,84.0,86.87,0.08,0.08
9,DMS-ACC,intermediate->expert,20,80.38,85.0,80.32,85.84,87.9,84.71,0.17,0.17
9,DMS-ACC,naive->expert,20,73.1,89.8,71.83,78.57,85.51,85.16,0.27,0.08
9,V1-DMS,naive->intermediate,20,85.01,86.05,84.32,83.69,89.19,85.96,0.33,0.08
9,V1-DMS,intermediate->expert,20,87.33,87.04,84.74,81.54,89.1,87.14,0.09,0.17
9,V1-DMS,naive->expert,20,82.57,88.83,83.8,79.55,88.39,89.29,0.0,0.27
9,V1-ACC,naive->intermediate,20,68.44,64.28,58.4,72.73,84.14,79.65,0.33,0.08
9,V1-ACC,intermediate->expert,20,55.05,58.61,73.03,85.79,89.2,84.51,0.09,0.17
9,V1-ACC,naive->expert,20,86.38,47.26,71.04,70.86,83.7,85.24,0.0,0.08
10,DMS-DLS,naive->intermediate,17,20.2,31.55,73.15,33.77,88.39,38.1,0.43,0.0
10,DMS-DLS,intermediate->expert,17,77.65,26.83,77.39,23.58,32.77,63.22,0.67,0.43
10,DMS-DLS,naive->expert,17,80.36,44.0,83.71,34.53,66.09,72.87,0.43,0.0
10,DMS-ACC,naive->intermediate,8,23.56,32.02,55.77,58.62,78.11,53.34,0.25,0.0
10,DMS-ACC,intermediate->expert,8,74.61,52.49,80.03,82.34,80.66,77.42,0.25,0.33
10,DMS-ACC,naive->expert,8,66.7,73.85,57.93,57.29,74.68,78.31,0.43,0.0
10,DLS-ACC,naive->intermediate,8,73.39,68.3,74.02,55.99,85.84,77.08,0.43,0.0
10,DLS-ACC,intermediate->expert,8,71.45,75.88,63.82,55.38,71.97,69.7,0.67,0.33
10,DLS-ACC,naive->expert,8,63.92,76.39,52.78,60.63,79.72,88.07,0.25,0.0
10,V1-DMS,naive->intermediate,7,81.57,74.02,57.66,79.98,58.53,88.5,0.33,0.43
10,V1-DMS,intermediate->expert,7,22.17,41.99,28.48,70.18,48.24,71.17,1.0,0.67
10,V1-DMS,naive->expert,7,82.0,74.35,43.39,65.16,59.05,79.82,0.33,0.43
10,V1-DLS,naive->intermediate,7,68.99,86.01,43.11,81.38,89.84,82.9,0.33,0.11
10,V1-DLS,intermediate->expert,7,34.67,66.67,30.39,63.98,78.21,76.73,1.0,0.43
10,V1-DLS,naive->expert,7,89.34,86.58,50.57,71.64,61.96,89.58,0.33,0.25
10,V1-ACC,naive->intermediate,7,41.7,86.14,49.36,57.38,88.93,79.41,0.33,0.0
10,V1-ACC,intermediate->expert,7,84.26,52.62,70.53,52.02,75.26,79.3,1.0,0.33
10,V1-ACC,naive->expert,7,66.76,58.0,66.84,58.78,66.03,76.84,0.33,0.0
11,DMS-DLS,naive->intermediate,5,77.91,87.11,79.13,82.43,87.56,86.33,0.11,0.33
11,DMS-DLS,intermediate->expert,5,87.24,73.48,89.61,84.86,88.54,84.86,0.25,1.0
11,DMS-DLS,naive->expert,5,89.36,35.02,79.29,82.46,89.77,88.45,0.25,0.33
11,DMS-ACC,naive->intermediate,20,84.2,89.33,68.67,88.15,86.84,82.73,0.11,0.14
11,DMS-ACC,intermediate->expert,20,31.41,89.29,85.28,81.31,88.43,86.99,0.43,0.28
11,DMS-ACC,naive->expert,20,87.94,88.88,73.13,82.6,88.27,87.39,0.11,0.1
11,DLS-ACC,naive->intermediate,5,78.67,85.09,40.75,74.06,85.98,87.94,0.33,0.14
11,DLS-ACC,intermediate->expert,5,68.79,83.42,49.66,79.2,86.07,87.9,1.0,0.28
11,DLS-ACC,naive->expert,5,84.66,81.77,61.29,83.76,87.66,86.49,0.33,0.1
11,V1-DMS,naive->intermediate,20,84.22,84.09,61.13,74.24,81.66,87.37,0.21,0.11
11,V1-DMS,intermediate->expert,20,70.94,82.96,78.03,77.06,84.62,85.49,0.36,0.43
11,V1-DMS,naive->expert,20,74.42,66.53,67.86,68.27,87.81,78.24,0.1,0.11
11,V1-DLS,naive->intermediate,5,89.68,61.46,82.57,69.25,87.77,46.65,0.17,0.33
11,V1-DLS,intermediate->expert,5,68.2,52.78,89.28,45.8,82.32,57.71,0.36,1.0
11,V1-DLS,naive->expert,5,80.11,76.6,83.19,44.9,89.05,85.63,0.1,0.33
11,V1-ACC,naive->intermediate,20,81.98,88.24,60.94,66.61,85.63,87.66,0.21,0.14
11,V1-ACC,intermediate->expert,20,68.11,78.18,70.18,74.97,85.23,87.33,0.36,0.28
11,V1-ACC,naive->expert,20,85.59,85.82,70.06,73.96,89.7,84.28,0.1,0.1
11,CA1-DMS,naive->intermediate,20,63.18,86.21,69.69,86.49,88.75,88.45,0.08,0.11
11,CA1-DMS,intermediate->expert,20,73.3,64.86,82.65,75.58,68.17,89.3,0.17,0.43
11,CA1-DMS,naive->expert,20,82.71,86.83,74.26,75.66,88.44,88.97,0.17,0.11
11,CA1-DLS,naive->intermediate,5,86.77,89.93,85.8,87.69,88.82,67.14,0.08,0.33
11,CA1-DLS,intermediate->expert,5,25.18,12.25,89.74,87.71,80.12,59.65,0.27,1.0
11,CA1-DLS,naive->expert,5,86.73,82.98,85.66,86.03,80.72,87.18,0.56,0.33
11,CA1-ACC,naive->intermediate,20,81.06,85.92,78.84,70.34,87.81,88.44,0.08,0.14
11,CA1-ACC,intermediate->expert,20,79.53,76.04,58.8,61.51,87.32,86.81,0.17,0.28
11,CA1-ACC,naive->expert,20,86.51,85.81,67.71,72.82,89.25,88.58,0.17,0.1
11,CA1-V1,naive->intermediate,20,65.88,88.39,75.76,72.61,79.08,83.63,0.08,0.21
11,CA1-V1,intermediate->expert,20,14.74,73.18,55.64,74.92,80.94,76.07,0.17,0.36
11,CA1-V1,naive->expert,20,63.4,86.94,47.0,60.04,88.3,86.52,0.17,0.1
11,DG-DMS,naive->intermediate,6,79.61,76.37,64.42,48.63,85.33,76.66,0.0,0.0
11,DG-DMS,intermediate->expert,6,82.08,84.5,64.54,66.42,80.22,89.14,1.0,0.11
11,DG-DMS,naive->expert,6,81.26,83.76,79.48,71.07,71.04,86.84,0.0,0.25
11,DG-DLS,naive->intermediate,5,78.38,89.06,65.07,82.86,77.35,82.54,0.33,0.33
11,DG-DLS,intermediate->expert,5,81.59,14.89,61.38,83.75,88.15,69.11,0.33,1.0
11,DG-DLS,naive->expert,5,67.71,82.43,70.63,84.81,89.59,82.39,0.0,0.33
11,DG-ACC,naive->intermediate,6,35.86,80.87,59.27,72.09,78.28,88.55,0.0,0.14
11,DG-ACC,intermediate->expert,6,41.05,58.36,81.94,58.87,66.49,80.66,1.0,0.33
