animal,pair,epoch,dim,peak_cc,sig,ifi,lag
1,DMS-DLS,naive,1,0.1479,0,0.0283,2
1,DMS-DLS,naive,2,0.0246,0,-0.0713,-1
1,DMS-DLS,naive,3,0.0086,0,0.0027,-1
1,DMS-DLS,naive,4,0.0005,0,0.0459,2
1,DMS-DLS,naive,5,-0.0057,0,0.0404,2
1,DMS-DLS,naive,6,-0.0087,0,0.008,2
1,DMS-DLS,naive,7,-0.0387,0,-0.0054,2
1,DMS-DLS,naive,8,0.007,0,0.0118,2
1,DMS-DLS,naive,9,0.0018,0,0.0308,2
1,DMS-DLS,naive,10,0.0294,0,0.0564,2
1,DMS-DLS,naive,11,-0.0105,0,0.0304,2
1,DMS-DLS,naive,12,0.0156,0,0.0043,2
1,DMS-DLS,naive,13,-0.0351,0,-0.0112,-1
1,DMS-DLS,naive,14,0.0308,0,0.0445,2
1,DMS-DLS,naive,15,-0.0059,0,-0.0624,-1
1,DMS-DLS,naive,16,-0.0098,0,0.0541,2
1,DMS-DLS,naive,17,0.0056,0,-0.0219,-2
1,DMS-DLS,naive,18,-0.0043,0,0.1515,1
1,DMS-DLS,naive,19,0.0164,0,0.0893,0
1,DMS-DLS,naive,20,-0.0485,0,0.213,1
1,DMS-DLS,intermediate,1,0.3985,1,-0.0278,-2
1,DMS-DLS,intermediate,2,-0.001,0,-0.0383,-1
1,DMS-DLS,intermediate,3,0.0706,0,0.0133,2
1,DMS-DLS,intermediate,4,0.0772,0,-0.0173,0
1,DMS-DLS,intermediate,5,0.0131,0,-0.0337,0
1,DMS-DLS,intermediate,6,0.0262,0,0.0538,0
1,DMS-DLS,intermediate,7,0.0073,0,-0.0349,0
1,DMS-DLS,intermediate,8,-0.0014,0,0.0242,0
1,DMS-DLS,intermediate,9,-0.0505,0,-0.0142,-1
1,DMS-DLS,intermediate,10,0.0962,0,-0.0188,0
1,DMS-DLS,intermediate,11,0.06,0,-0.0309,0
1,DMS-DLS,intermediate,12,0.0071,0,-0.0804,-1
1,DMS-DLS,intermediate,13,-0.0051,0,-0.0677,0
1,DMS-DLS,intermediate,14,0.0563,0,-0.0978,0
1,DMS-DLS,intermediate,15,0.1241,0,-0.0865,0
1,DMS-DLS,intermediate,16,0.1039,0,-0.0641,0
1,DMS-DLS,intermediate,17,0.0838,0,-0.0883,0
1,DMS-DLS,intermediate,18,-0.0142,0,-0.1248,0
1,DMS-DLS,intermediate,19,0.1061,0,-0.0217,0
1,DMS-DLS,intermediate,20,0.0799,0,-0.4115,-1
1,DMS-DLS,expert,1,0.0983,0,-0.0041,0
1,DMS-DLS,expert,2,0.0788,0,0.0137,0
1,DMS-DLS,expert,3,0.0452,0,0.0204,0
1,DMS-DLS,expert,4,-0.0064,0,0.0134,0
1,DMS-DLS,expert,5,0.0869,0,0.0116,0
1,DMS-DLS,expert,6,-0.0376,0,0.0002,0
1,DMS-DLS,expert,7,0.127,0,-0.0371,0
1,DMS-DLS,expert,8,-0.0398,0,-0.0508,-1
1,DMS-DLS,expert,9,0.0061,0,-0.0717,-1
1,DMS-DLS,expert,10,0.0336,0,-0.0654,-1
1,DMS-DLS,expert,11,-0.0774,0,-0.0296,-1
1,DMS-DLS,expert,12,-0.0668,0,0.0037,0
1,DMS-DLS,expert,13,-0.1009,0,0.0404,0
1,DMS-DLS,expert,14,0.0943,0,0.0327,0
1,DMS-DLS,expert,15,0.134,0,-0.013,0
1,DMS-DLS,expert,16,-0.0248,0,0.0192,0
1,DMS-DLS,expert,17,-0.1586,0,0.1391,0
1,DMS-DLS,expert,18,0.0136,0,-0.0704,0
1,DMS-DLS,expert,19,0.028,0,0.0327,2
1,DMS-DLS,expert,20,-0.0439,0,0.0649,2
1,DMS-ACC,naive,1,0.3762,1,0.0581,0
1,DMS-ACC,naive,2,0.1359,0,-0.181,0
1,DMS-ACC,naive,3,-0.0862,0,-0.1478,-1
1,DMS-ACC,naive,4,-0.0514,0,-0.1509,-1
1,DMS-ACC,naive,5,0.0357,0,-0.0833,-2
1,DMS-ACC,naive,6,0.0765,0,-0.0779,-1
1,DMS-ACC,naive,7,-0.028,0,-0.0885,-2
1,DMS-ACC,naive,8,0.0197,0,-0.0873,-2
1,DMS-ACC,naive,9,-0.1795,0,-0.0494,-2
1,DMS-ACC,naive,10,0.0426,0,-0.0245,-2
1,DMS-ACC,naive,11,-0.0216,0,0.005,-2
1,DMS-ACC,naive,12,-0.101,0,-0.0225,-2
1,DMS-ACC,naive,13,0.1078,0,-0.0764,-2
1,DMS-ACC,naive,14,0.0303,0,-0.137,-2
1,DMS-ACC,naive,15,0.102,0,-0.0964,-2
1,DMS-ACC,naive,16,-0.0062,0,-0.1494,-2
1,DMS-ACC,naive,17,0.0127,0,0.0855,2
1,DMS-ACC,naive,18,-0.1592,0,-0.0718,-1
1,DMS-ACC,naive,19,-0.0249,0,-0.0822,-1
1,DMS-ACC,naive,20,-0.0269,0,0.1908,1
1,DMS-ACC,intermediate,1,0.2795,1,0.0491,0
1,DMS-ACC,intermediate,2,-0.1421,0,0.0131,2
