animal,pair,epoch,dim,peak_cc,sig,ifi,lag
1,DMS-DLS,naive,1,0.1479,0,0.0862,10
1,DMS-DLS,naive,2,0.0246,0,0.0314,10
1,DMS-DLS,naive,3,0.0086,0,0.0476,10
1,DMS-DLS,naive,4,0.0005,0,0.0882,6
1,DMS-DLS,naive,5,-0.0057,0,0.0846,10
1,DMS-DLS,naive,6,-0.0087,0,0.0677,7
1,DMS-DLS,naive,7,-0.0387,0,0.0449,7
1,DMS-DLS,naive,8,0.007,0,0.0489,8
1,DMS-DLS,naive,9,0.0018,0,0.0452,9
1,DMS-DLS,naive,10,0.0294,0,0.0645,9
1,DMS-DLS,naive,11,-0.0105,0,0.0809,2
1,DMS-DLS,naive,12,0.0156,0,0.0856,8
1,DMS-DLS,naive,13,-0.0351,0,0.0537,8
1,DMS-DLS,naive,14,0.0308,0,0.0738,5
1,DMS-DLS,naive,15,-0.0059,0,0.0801,4
1,DMS-DLS,naive,16,-0.0098,0,0.0872,-3
1,DMS-DLS,naive,17,0.0056,0,0.0553,-3
1,DMS-DLS,naive,18,-0.0043,0,0.0433,10
1,DMS-DLS,naive,19,0.0164,0,0.0879,10
1,DMS-DLS,naive,20,-0.0485,0,0.102,10
1,DMS-DLS,intermediate,1,0.3985,1,0.0194,9
1,DMS-DLS,intermediate,2,-0.001,0,0.0807,9
1,DMS-DLS,intermediate,3,0.0706,0,0.0589,7
1,DMS-DLS,intermediate,4,0.0772,0,0.0504,7
1,DMS-DLS,intermediate,5,0.0131,0,0.0267,6
1,DMS-DLS,intermediate,6,0.0262,0,0.0396,8
1,DMS-DLS,intermediate,7,0.0073,0,0.013,8
1,DMS-DLS,intermediate,8,-0.0014,0,0.0434,8
1,DMS-DLS,intermediate,9,-0.0505,0,0.0304,8
1,DMS-DLS,intermediate,10,0.0962,0,0.0424,8
1,DMS-DLS,intermediate,11,0.06,0,0.0366,8
1,DMS-DLS,intermediate,12,0.0071,0,0.0355,8
1,DMS-DLS,intermediate,13,-0.0051,0,0.0265,8
1,DMS-DLS,intermediate,14,0.0563,0,0.0141,0
1,DMS-DLS,intermediate,15,0.1241,0,0.0162,0
1,DMS-DLS,intermediate,16,0.1039,0,0.0413,8
1,DMS-DLS,intermediate,17,0.0838,0,0.0289,0
1,DMS-DLS,intermediate,18,-0.0142,0,0.0853,7
1,DMS-DLS,intermediate,19,0.1061,0,0.039,0
1,DMS-DLS,intermediate,20,0.0799,0,-0.0439,7
1,DMS-DLS,expert,1,0.0983,0,-0.0154,-3
1,DMS-DLS,expert,2,0.0788,0,-0.0051,-3
1,DMS-DLS,expert,3,0.0452,0,0.0113,9
1,DMS-DLS,expert,4,-0.0064,0,0.0248,0
1,DMS-DLS,expert,5,0.0869,0,0.015,0
1,DMS-DLS,expert,6,-0.0376,0,-0.0076,0
1,DMS-DLS,expert,7,0.127,0,0.0076,0
1,DMS-DLS,expert,8,-0.0398,0,0.0116,-1
1,DMS-DLS,expert,9,0.0061,0,-0.0146,-1
1,DMS-DLS,expert,10,0.0336,0,-0.0168,-1
1,DMS-DLS,expert,11,-0.0774,0,-0.0021,-1
1,DMS-DLS,expert,12,-0.0668,0,0.0042,-8
1,DMS-DLS,expert,13,-0.1009,0,0.0067,0
1,DMS-DLS,expert,14,0.0943,0,-0.0311,0
1,DMS-DLS,expert,15,0.134,0,-0.0518,0
1,DMS-DLS,expert,16,-0.0248,0,-0.087,0
1,DMS-DLS,expert,17,-0.1586,0,-0.0419,-6
1,DMS-DLS,expert,18,0.0136,0,-0.1063,-4
1,DMS-DLS,expert,19,0.028,0,-0.1216,-6
1,DMS-DLS,expert,20,-0.0439,0,-0.1917,-5
1,DMS-ACC,naive,1,0.3762,1,0.0532,0
1,DMS-ACC,naive,2,0.1359,0,0.002,0
1,DMS-ACC,naive,3,-0.0862,0,0.013,-1
1,DMS-ACC,naive,4,-0.0514,0,-0.0044,-1
1,DMS-ACC,naive,5,0.0357,0,0.015,-2
1,DMS-ACC,naive,6,0.0765,0,0.0162,-1
1,DMS-ACC,naive,7,-0.028,0,0.0082,-3
1,DMS-ACC,naive,8,0.0197,0,0.0207,-2
1,DMS-ACC,naive,9,-0.1795,0,0.003,-3
1,DMS-ACC,naive,10,0.0426,0,0.0172,-3
1,DMS-ACC,naive,11,-0.0216,0,0.039,6
1,DMS-ACC,naive,12,-0.101,0,0.0313,6
1,DMS-ACC,naive,13,0.1078,0,0.0288,-2
1,DMS-ACC,naive,14,0.0303,0,0.0198,-2
1,DMS-ACC,naive,15,0.102,0,-0.008,-2
1,DMS-ACC,naive,16,-0.0062,0,0.0203,6
1,DMS-ACC,naive,17,0.0127,0,0.0338,-3
1,DMS-ACC,naive,18,-0.1592,0,-0.0073,-3
1,DMS-ACC,naive,19,-0.0249,0,0.0696,9
1,DMS-ACC,naive,20,-0.0269,0,0.1844,5
1,DMS-ACC,intermediate,1,0.2795,1,0.0458,0
1,DMS-ACC,intermediate,2,-0.1421,0,0.0122,-8
1,DMS-ACC,intermediate,3,-0.0072,0,0.0154,8
1,DMS-ACC,intermediate,4,-0.087,0,0.0075,4
