animal,pair,epoch,dim,peak_cc,sig,ifi,lag
1,DMS-DLS,naive,1,0.1121,0,0.0738,25
1,DMS-DLS,naive,2,0.0111,0,0.0673,24
1,DMS-DLS,naive,3,0.0013,0,0.0751,24
1,DMS-DLS,naive,4,-0.0154,0,0.0592,24
1,DMS-DLS,naive,5,0.0125,0,0.0505,17
1,DMS-DLS,naive,6,0.0454,0,0.0431,17
1,DMS-DLS,naive,7,0.0101,0,0.0422,17
1,DMS-DLS,naive,8,-0.0195,0,0.0434,17
1,DMS-DLS,naive,9,0.0305,0,0.0337,17
1,DMS-DLS,naive,10,-0.0019,0,0.0383,18
1,DMS-DLS,naive,11,-0.0112,0,0.0428,18
1,DMS-DLS,naive,12,0.0256,0,0.0597,18
1,DMS-DLS,naive,13,-0.0038,0,0.065,19
1,DMS-DLS,naive,14,0.0495,0,0.0476,17
1,DMS-DLS,naive,15,0.0136,0,0.0454,18
1,DMS-DLS,naive,16,0.0142,0,0.0404,24
1,DMS-DLS,naive,17,0.0061,0,0.0942,16
1,DMS-DLS,naive,18,0.0115,0,0.1086,24
1,DMS-DLS,naive,19,0.0078,0,0.086,17
1,DMS-DLS,naive,20,0.0146,0,-0.0363,17
1,DMS-DLS,intermediate,1,0.4908,1,0.046,23
1,DMS-DLS,intermediate,2,0.1157,0,0.0419,22
1,DMS-DLS,intermediate,3,0.0769,0,0.0192,12
1,DMS-DLS,intermediate,4,-0.1051,0,0.0219,17
1,DMS-DLS,intermediate,5,-0.0671,0,0.022,17
1,DMS-DLS,intermediate,6,-0.0682,0,0.0406,17
1,DMS-DLS,intermediate,7,0.0584,0,0.0416,17
1,DMS-DLS,intermediate,8,0.0607,0,0.0416,17
1,DMS-DLS,intermediate,9,0.0775,0,0.0381,-25
1,DMS-DLS,intermediate,10,-0.0707,0,0.0442,12
1,DMS-DLS,intermediate,11,0.0768,0,0.0482,-25
1,DMS-DLS,intermediate,12,0.0652,0,0.0487,-25
1,DMS-DLS,intermediate,13,0.0984,0,0.0384,-25
1,DMS-DLS,intermediate,14,-0.0159,0,0.0516,17
1,DMS-DLS,intermediate,15,0.0767,0,0.0507,-23
1,DMS-DLS,intermediate,16,0.0005,0,0.0379,-23
1,DMS-DLS,intermediate,17,0.0236,0,0.0809,20
1,DMS-DLS,intermediate,18,0.063,0,0.1164,3
1,DMS-DLS,intermediate,19,-0.0622,0,0.1846,8
1,DMS-DLS,intermediate,20,-0.0438,0,0.2225,18
1,DMS-DLS,expert,1,-0.0795,0,0.0197,0
1,DMS-DLS,expert,2,0.1879,1,-0.0002,-2
1,DMS-DLS,expert,3,0.192,1,-0.0351,0
1,DMS-DLS,expert,4,-0.1139,0,-0.016,0
1,DMS-DLS,expert,5,-0.1437,0,-0.03,0
1,DMS-DLS,expert,6,0.2246,1,-0.0413,-14
1,DMS-DLS,expert,7,0.1082,0,-0.0293,4
1,DMS-DLS,expert,8,0.1103,0,-0.0311,4
1,DMS-DLS,expert,9,0.0169,0,-0.021,0
1,DMS-DLS,expert,10,0.0914,0,-0.026,0
1,DMS-DLS,expert,11,-0.0297,0,-0.0351,-5
1,DMS-DLS,expert,12,0.0111,0,-0.0209,-5
1,DMS-DLS,expert,13,-0.3025,0,-0.0295,-5
1,DMS-DLS,expert,14,0.1345,0,-0.0334,24
1,DMS-DLS,expert,15,-0.1743,0,-0.0371,0
1,DMS-DLS,expert,16,0.0155,0,-0.05,-9
1,DMS-DLS,expert,17,0.0245,0,-0.0873,-9
1,DMS-DLS,expert,18,-0.0561,0,-0.1103,-3
1,DMS-DLS,expert,19,0.0358,0,-0.0336,-9
1,DMS-DLS,expert,20,-0.0239,0,0.0231,12
1,DMS-ACC,naive,1,0.2885,1,0.0552,0
1,DMS-ACC,naive,2,0.1146,0,0.0659,-3
1,DMS-ACC,naive,3,-0.037,0,-0.0204,-5
1,DMS-ACC,naive,4,0.0117,0,-0.0162,-3
1,DMS-ACC,naive,5,0.2044,1,-0.0206,-3
1,DMS-ACC,naive,6,-0.1416,0,-0.004,-8
1,DMS-ACC,naive,7,0.0579,0,0.0031,-4
1,DMS-ACC,naive,8,-0.0607,0,0.0065,-12
1,DMS-ACC,naive,9,-0.0862,0,0.0049,-12
1,DMS-ACC,naive,10,-0.0107,0,0.0089,-12
1,DMS-ACC,naive,11,-0.1732,0,0.0037,-12
1,DMS-ACC,naive,12,-0.061,0,0.0025,25
1,DMS-ACC,naive,13,0.1165,0,0.0033,-7
1,DMS-ACC,naive,14,0.0379,0,-0.0016,-6
1,DMS-ACC,naive,15,0.0394,0,0.0028,25
1,DMS-ACC,naive,16,-0.0694,0,0.023,25
1,DMS-ACC,naive,17,0.0244,0,-0.0056,-3
1,DMS-ACC,naive,18,-0.0223,0,-0.0166,-3
1,DMS-ACC,naive,19,0.0657,0,-0.0683,-9
1,DMS-ACC,naive,20,-0.0558,0,-0.125,-12
1,DMS-ACC,intermediate,1,0.1904,1,0.0517,0
1,DMS-ACC,intermediate,2,-0.0567,0,-0.0161,-20
1,DMS-ACC,intermediate,3,0.0116,0,0.0009,-13
1,DMS-ACC,intermediate,4,-0.0413,0,-0.0053,-13
1,DMS-ACC,intermediate,5,0.0732,0,-0.0194,-13
1,DMS-ACC,intermediate,6,-0.0161,0,-0.0316,-13
1,DMS-ACC,intermediate,7,-0.0793,0,-0.0271,-13
1,DMS-ACC,intermediate,8,0.0432,0,-0.0251,-13
1,DMS-ACC,intermediate,9,-0.0761,0,-0.0261,-13
1,DMS-ACC,intermediate,10,-0.0083,0,-0.0244,-13
1,DMS-ACC,intermediate,11,-0.0204,0,0.0007,-1
1,DMS-ACC,intermediate,12,0.0058,0,-0.0208,-1
1,DMS-ACC,intermediate,13,-0.0598,0,-0.042,-12
1,DMS-ACC,intermediate,14,0.0616,0,-0.0282,-12
1,DMS-ACC,intermediate,15,0.0339,0,-0.0285,-21
1,DMS-ACC,intermediate,16,0.1019,0,-0.0177,-21
1,DMS-ACC,intermediate,17,-0.0119,0,-0.012,-21
1,DMS-ACC,intermediate,18,0.0739,0,0.0529,19
1,DMS-ACC,intermediate,19,0.0087,0,0.0332,6
1,DMS-ACC,intermediate,20,0.0235,0,0.0105,-4
1,DMS-ACC,expert,1,0.3622,1,-0.0362,0
1,DMS-ACC,expert,2,-0.2359,0,0.0204,14
1,DMS-ACC,expert,3,-0.0369,0,0.0427,14
1,DMS-ACC,expert,4,0.1318,0,0.0163,-1
1,DMS-ACC,expert,5,0.0697,0,-0.0004,-18
1,DMS-ACC,expert,6,0.2161,1,0.0013,-18
1,DMS-ACC,expert,7,0.0629,0,-0.0011,-18
1,DMS-ACC,expert,8,0.0995,0,0.0012,19
1,DMS-ACC,expert,9,0.0647,0,0.014,19
1,DMS-ACC,expert,10,-0.0566,0,0.0056,-5
1,DMS-ACC,expert,11,-0.1686,0,0.0028,-10
1,DMS-ACC,expert,12,-0.1381,0,0.012,-10
1,DMS-ACC,expert,13,0.0813,0,-0.0082,-10
1,DMS-ACC,expert,14,0.1006,0,0.0012,-10
1,DMS-ACC,expert,15,-0.0086,0,0.0117,-10
1,DMS-ACC,expert,16,-0.0255,0,0.0076,21
1,DMS-ACC,expert,17,0.0091,0,-0.0087,-1
1,DMS-ACC,expert,18,-0.0491,0,0.0094,18
1,DMS-ACC,expert,19,0.0136,0,0.116,10
1,DMS-ACC,expert,20,-0.0999,0,-0.0154,12
1,DLS-ACC,naive,1,0.1259,0,0.161,17
1,DLS-ACC,naive,2,0.0177,0,0.0658,20
1,DLS-ACC,naive,3,0.0196,0,0.02,6
1,DLS-ACC,naive,4,0.0049,0,0.0202,25
1,DLS-ACC,naive,5,-0.0498,0,0.0256,25
1,DLS-ACC,naive,6,-0.108,0,0.0184,25
1,DLS-ACC,naive,7,0.0086,0,0.018,25
1,DLS-ACC,naive,8,-0.0874,0,0.0136,6
1,DLS-ACC,naive,9,-0.0732,0,0.0204,16
1,DLS-ACC,naive,10,0.0509,0,0.0272,16
1,DLS-ACC,naive,11,0.0032,0,0.0222,-20
1,DLS-ACC,naive,12,0.0144,0,0.0272,16
1,DLS-ACC,naive,13,0.0608,0,0.0409,25
1,DLS-ACC,naive,14,-0.0225,0,0.0544,16
1,DLS-ACC,naive,15,-0.0385,0,0.0413,16
1,DLS-ACC,naive,16,-0.0712,0,0.0264,0
1,DLS-ACC,naive,17,0.0395,0,0.0077,6
1,DLS-ACC,naive,18,0.0159,0,0.0061,6
1,DLS-ACC,naive,19,0.003,0,0.0665,24
1,DLS-ACC,naive,20,-0.0003,0,0.1519,12
1,DLS-ACC,intermediate,1,-0.0047,0,0.0238,13
1,DLS-ACC,intermediate,2,0.0169,0,0.0236,13
1,DLS-ACC,intermediate,3,-0.0048,0,0.0276,22
1,DLS-ACC,intermediate,4,-0.0074,0,0.0192,10
1,DLS-ACC,intermediate,5,0.005,0,0.0048,10
1,DLS-ACC,intermediate,6,-0.0027,0,-0.0071,10
1,DLS-ACC,intermediate,7,0.0194,0,0.0049,-19
1,DLS-ACC,intermediate,8,-0.0159,0,-0.0012,25
1,DLS-ACC,intermediate,9,-0.0,0,-0.0057,9
1,DLS-ACC,intermediate,10,-0.0082,0,0.0082,13
1,DLS-ACC,intermediate,11,-0.0121,0,0.0042,10
1,DLS-ACC,intermediate,12,-0.0127,0,-0.0021,-19
1,DLS-ACC,intermediate,13,-0.0003,0,0.0171,10
1,DLS-ACC,intermediate,14,-0.0034,0,0.0201,10
1,DLS-ACC,intermediate,15,-0.0013,0,-0.0039,13
1,DLS-ACC,intermediate,16,0.0086,0,0.0012,-6
1,DLS-ACC,intermediate,17,-0.0204,0,-0.0026,-6
1,DLS-ACC,intermediate,18,0.0044,0,-0.0796,-6
1,DLS-ACC,intermediate,19,0.009,0,-0.0511,-6
1,DLS-ACC,intermediate,20,-0.0106,0,-0.1867,-4
1,DLS-ACC,expert,1,-0.2314,0,0.0002,-18
1,DLS-ACC,expert,2,-0.1795,0,0.0133,-13
1,DLS-ACC,expert,3,-0.0522,0,0.0305,20
1,DLS-ACC,expert,4,0.1319,0,0.0308,20
1,DLS-ACC,expert,5,0.0772,0,0.0309,20
1,DLS-ACC,expert,6,0.0306,0,0.0216,14
1,DLS-ACC,expert,7,-0.1151,0,0.0261,15
1,DLS-ACC,expert,8,-0.0853,0,0.0278,10
1,DLS-ACC,expert,9,0.0539,0,0.0312,9
1,DLS-ACC,expert,10,0.0015,0,0.0227,9
1,DLS-ACC,expert,11,0.0275,0,0.0357,9
1,DLS-ACC,expert,12,-0.1862,0,0.0191,9
1,DLS-ACC,expert,13,0.0535,0,0.0274,9
1,DLS-ACC,expert,14,0.0989,0,0.0423,9
1,DLS-ACC,expert,15,0.0556,0,0.0214,-1
1,DLS-ACC,expert,16,-0.0845,0,0.0223,17
1,DLS-ACC,expert,17,0.0713,0,0.0764,-1
1,DLS-ACC,expert,18,-0.0589,0,0.0676,-1
1,DLS-ACC,expert,19,-0.0048,0,0.0569,-1
1,DLS-ACC,expert,20,0.0501,0,-0.0535,-1
2,DMS-DLS,naive,1,0.049,0,0.0465,5
2,DMS-DLS,naive,2,0.0809,0,0.0632,5
2,DMS-DLS,naive,3,-0.0028,0,0.0658,5
2,DMS-DLS,naive,4,0.013,0,0.0467,10
2,DMS-DLS,naive,5,0.0066,0,0.0533,21
2,DMS-DLS,naive,6,0.0221,0,0.0452,11
2,DMS-DLS,naive,7,-0.014,0,0.0497,15
2,DMS-DLS,naive,8,0.0001,0,0.0413,15
2,DMS-DLS,naive,9,0.0203,0,0.0474,3
2,DMS-DLS,naive,10,0.0077,0,0.0441,3
2,DMS-DLS,naive,11,0.002,0,0.0391,4
2,DMS-DLS,naive,12,0.0063,0,0.0503,3
2,DMS-DLS,naive,13,-0.0015,0,0.0495,3
2,DMS-DLS,naive,14,0.0268,0,0.0464,5
2,DMS-DLS,naive,15,0.0318,0,0.078,11
2,DMS-DLS,naive,16,0.0064,0,0.0619,12
2,DMS-DLS,naive,17,0.0038,0,0.0577,21
2,DMS-DLS,naive,18,0.0254,0,0.1184,21
2,DMS-DLS,naive,19,-0.0109,0,0.004,-12
2,DMS-DLS,naive,20,-0.0199,0,0.1993,9
2,DMS-DLS,intermediate,1,0.0701,0,-0.0273,-6
2,DMS-DLS,intermediate,2,0.0342,0,-0.0264,-11
2,DMS-DLS,intermediate,3,0.0488,0,-0.0132,-20
2,DMS-DLS,intermediate,4,0.016,0,-0.0282,-18
2,DMS-DLS,intermediate,5,0.0351,0,-0.0141,1
2,DMS-DLS,intermediate,6,0.0172,0,-0.0157,0
2,DMS-DLS,intermediate,7,0.0195,0,-0.0136,-16
2,DMS-DLS,intermediate,8,-0.0295,0,-0.0014,-3
2,DMS-DLS,intermediate,9,0.0032,0,-0.0009,23
2,DMS-DLS,intermediate,10,-0.0023,0,-0.0153,-16
2,DMS-DLS,intermediate,11,-0.0123,0,-0.0027,-11
2,DMS-DLS,intermediate,12,-0.0218,0,-0.0251,-11
2,DMS-DLS,intermediate,13,0.006,0,-0.02,-11
2,DMS-DLS,intermediate,14,-0.0116,0,-0.0337,-25
2,DMS-DLS,intermediate,15,0.0167,0,-0.0333,-25
2,DMS-DLS,intermediate,16,-0.007,0,-0.0267,1
2,DMS-DLS,intermediate,17,0.0085,0,-0.039,1
2,DMS-DLS,intermediate,18,-0.012,0,-0.0406,2
2,DMS-DLS,intermediate,19,-0.0082,0,-0.0873,-18
2,DMS-DLS,intermediate,20,-0.0081,0,-0.0805,-16
2,DMS-DLS,expert,1,0.101,0,0.0166,18
2,DMS-DLS,expert,2,0.0749,0,-0.0281,-21
2,DMS-DLS,expert,3,0.0565,0,-0.0027,-2
2,DMS-DLS,expert,4,-0.0013,0,-0.0266,-2
2,DMS-DLS,expert,5,-0.0236,0,-0.0179,25
