animal,pair,epoch,dim,peak_cc,sig,ifi,lag
1,DMS-DLS,naive,1,0.1499,0,0.0777,25
1,DMS-DLS,naive,2,0.0714,0,0.069,24
1,DMS-DLS,naive,3,0.0122,0,0.0801,24
1,DMS-DLS,naive,4,-0.009,0,0.0641,24
1,DMS-DLS,naive,5,0.0066,0,0.0539,18
1,DMS-DLS,naive,6,0.0184,0,0.0528,17
1,DMS-DLS,naive,7,0.0075,0,0.0429,17
1,DMS-DLS,naive,8,0.0021,0,0.0554,18
1,DMS-DLS,naive,9,0.0145,0,0.041,17
1,DMS-DLS,naive,10,0.0063,0,0.0522,17
1,DMS-DLS,naive,11,0.0035,0,0.0592,18
1,DMS-DLS,naive,12,0.0317,0,0.0691,18
1,DMS-DLS,naive,13,0.0009,0,0.056,19
1,DMS-DLS,naive,14,0.0053,0,0.053,22
1,DMS-DLS,naive,15,0.0008,0,0.0579,18
1,DMS-DLS,naive,16,-0.0057,0,0.0499,24
1,DMS-DLS,naive,17,-0.0026,0,0.1028,24
1,DMS-DLS,naive,18,0.0016,0,0.1073,24
1,DMS-DLS,naive,19,0.017,0,0.0965,17
1,DMS-DLS,naive,20,0.0012,0,0.0514,17
1,DMS-DLS,intermediate,1,0.1933,0,0.0489,23
1,DMS-DLS,intermediate,2,0.0456,0,0.0439,22
1,DMS-DLS,intermediate,3,0.0078,0,0.0201,12
1,DMS-DLS,intermediate,4,0.0201,0,0.0211,17
1,DMS-DLS,intermediate,5,-0.0008,0,0.026,17
1,DMS-DLS,intermediate,6,0.0199,0,0.0402,17
1,DMS-DLS,intermediate,7,0.0086,0,0.0447,17
1,DMS-DLS,intermediate,8,0.0128,0,0.043,17
1,DMS-DLS,intermediate,9,0.0007,0,0.0421,-25
1,DMS-DLS,intermediate,10,-0.0123,0,0.0484,12
1,DMS-DLS,intermediate,11,0.0335,0,0.0515,-25
1,DMS-DLS,intermediate,12,0.0169,0,0.0479,-25
1,DMS-DLS,intermediate,13,0.0057,0,0.0403,1
