animal,pair,epoch,dim,peak_cc,sig,ifi,lag
1,DMS-DLS,naive,1,0.0712,0,0.0804,25
1,DMS-DLS,naive,2,0.0494,0,0.0418,24
1,DMS-DLS,naive,3,0.0055,0,0.081,18
1,DMS-DLS,naive,4,-0.0135,0,0.0532,23
1,DMS-DLS,naive,5,0.0145,0,0.0542,16
1,DMS-DLS,naive,6,0.0198,0,0.0613,17
1,DMS-DLS,naive,7,0.0108,0,0.0477,22
1,DMS-DLS,naive,8,0.0142,0,0.0487,12
1,DMS-DLS,naive,9,-0.0093,0,0.0672,18
1,DMS-DLS,naive,10,0.023,0,0.072,17
1,DMS-DLS,naive,11,0.0055,0,0.0725,18
1,DMS-DLS,naive,12,0.0111,0,0.058,21
1,DMS-DLS,naive,13,0.0095,0,0.0818,18
1,DMS-DLS,naive,14,0.0218,0,0.0676,18
1,DMS-DLS,naive,15,0.0152,0,0.0529,17
1,DMS-DLS,naive,16,0.0037,0,0.0353,19
1,DMS-DLS,naive,17,0.0214,0,0.0586,24
1,DMS-DLS,naive,18,0.0068,0,0.0565,22
1,DMS-DLS,naive,19,-0.0049,0,0.0958,22
1,DMS-DLS,naive,20,-0.0157,0,0.1828,-10
1,DMS-DLS,intermediate,1,0.1051,0,0.0276,23
1,DMS-DLS,intermediate,2,0.0121,0,0.0586,24
1,DMS-DLS,intermediate,3,0.0337,0,0.0338,12
1,DMS-DLS,intermediate,4,0.0138,0,0.0298,17
1,DMS-DLS,intermediate,5,0.0119,0,0.0178,15
1,DMS-DLS,intermediate,6,0.0195,0,0.0305,17
1,DMS-DLS,intermediate,7,0.0297,0,0.0442,17
1,DMS-DLS,intermediate,8,-0.0062,0,0.0524,12
1,DMS-DLS,intermediate,9,-0.0097,0,0.0383,12
1,DMS-DLS,intermediate,10,0.011,0,0.0408,12
1,DMS-DLS,intermediate,11,0.0134,0,0.044,-25
1,DMS-DLS,intermediate,12,0.015,0,0.0537,-25
1,DMS-DLS,intermediate,13,-0.0015,0,0.0639,17
1,DMS-DLS,intermediate,14,0.0004,0,0.0425,12
1,DMS-DLS,intermediate,15,0.0154,0,0.0594,17
1,DMS-DLS,intermediate,16,-0.0086,0,0.0541,12
1,DMS-DLS,intermediate,17,0.0126,0,0.0651,12
1,DMS-DLS,intermediate,18,-0.0146,0,0.1237,17
1,DMS-DLS,intermediate,19,-0.0012,0,0.1358,1
1,DMS-DLS,intermediate,20,0.006,0,0.1758,3
1,DMS-DLS,expert,1,0.036,0,-0.034,-7
1,DMS-DLS,expert,2,0.0831,0,-0.0328,0
1,DMS-DLS,expert,3,0.0604,0,-0.0435,0
1,DMS-DLS,expert,4,0.0244,0,-0.0367,0
1,DMS-DLS,expert,5,0.0187,0,-0.012,0
1,DMS-DLS,expert,6,0.0236,0,-0.0169,0
1,DMS-DLS,expert,7,0.0297,0,-0.013,1
1,DMS-DLS,expert,8,0.0317,0,-0.0222,0
1,DMS-DLS,expert,9,0.0093,0,-0.0232,0
1,DMS-DLS,expert,10,-0.001,0,-0.0379,23
1,DMS-DLS,expert,11,0.003,0,-0.0527,-14
1,DMS-DLS,expert,12,0.0059,0,-0.044,-16
1,DMS-DLS,expert,13,0.0115,0,-0.0371,-9
1,DMS-DLS,expert,14,0.0008,0,-0.0427,4
1,DMS-DLS,expert,15,0.0032,0,-0.054,-1
1,DMS-DLS,expert,16,0.0011,0,-0.0478,-16
1,DMS-DLS,expert,17,0.0008,0,-0.0601,0
1,DMS-DLS,expert,18,0.0141,0,-0.031,19
1,DMS-DLS,expert,19,-0.0119,0,-0.1444,-9
1,DMS-DLS,expert,20,-0.0031,0,-0.1884,5
1,DMS-ACC,naive,1,0.2934,1,0.0767,0
1,DMS-ACC,naive,2,0.1455,0,0.0864,0
1,DMS-ACC,naive,3,-0.0022,0,-0.0224,-5
1,DMS-ACC,naive,4,0.0172,0,-0.0067,-3
1,DMS-ACC,naive,5,0.0108,0,-0.0024,-3
1,DMS-ACC,naive,6,0.0036,0,-0.0037,-8
1,DMS-ACC,naive,7,0.0097,0,0.0109,14
1,DMS-ACC,naive,8,0.0205,0,0.003,-12
1,DMS-ACC,naive,9,0.0092,0,0.0058,25
1,DMS-ACC,naive,10,-0.0162,0,0.0056,25
1,DMS-ACC,naive,11,-0.0124,0,-0.0012,-12
1,DMS-ACC,naive,12,0.0034,0,0.0037,25
1,DMS-ACC,naive,13,-0.0205,0,-0.011,-12
1,DMS-ACC,naive,14,0.0091,0,-0.0085,25
1,DMS-ACC,naive,15,-0.0057,0,0.013,25
1,DMS-ACC,naive,16,-0.0009,0,0.013,25
1,DMS-ACC,naive,17,-0.004,0,-0.045,25
1,DMS-ACC,naive,18,-0.0078,0,-0.0736,-9
1,DMS-ACC,naive,19,0.0031,0,-0.1499,-9
1,DMS-ACC,naive,20,0.0017,0,-0.2227,-9
1,DMS-ACC,intermediate,1,0.2056,1,0.0414,0
1,DMS-ACC,intermediate,2,0.048,0,-0.0014,-20
1,DMS-ACC,intermediate,3,0.0305,0,-0.0056,-13
1,DMS-ACC,intermediate,4,-0.0035,0,0.0001,-13
1,DMS-ACC,intermediate,5,0.0057,0,-0.0136,-13
1,DMS-ACC,intermediate,6,0.0061,0,-0.031,-13
1,DMS-ACC,intermediate,7,-0.0061,0,-0.0248,-13
1,DMS-ACC,intermediate,8,0.0068,0,-0.0313,-13
1,DMS-ACC,intermediate,9,-0.0072,0,-0.0327,-13
1,DMS-ACC,intermediate,10,-0.0164,0,-0.0297,-13
1,DMS-ACC,intermediate,11,-0.0066,0,-0.0003,-11
1,DMS-ACC,intermediate,12,0.0096,0,-0.0262,-1
1,DMS-ACC,intermediate,13,0.0017,0,-0.0392,-12
1,DMS-ACC,intermediate,14,-0.0144,0,-0.0382,-12
1,DMS-ACC,intermediate,15,0.0012,0,-0.0191,-21
1,DMS-ACC,intermediate,16,-0.0114,0,-0.0148,-12
1,DMS-ACC,intermediate,17,-0.0088,0,0.0056,7
1,DMS-ACC,intermediate,18,0.0099,0,0.0237,19
1,DMS-ACC,intermediate,19,-0.0129,0,0.0535,6
1,DMS-ACC,intermediate,20,0.0118,0,-0.1653,-4
1,DMS-ACC,expert,1,0.1896,1,-0.0347,0
1,DMS-ACC,expert,2,0.0623,0,0.0343,14
1,DMS-ACC,expert,3,-0.0043,0,0.0446,14
1,DMS-ACC,expert,4,0.017,0,0.0164,-1
1,DMS-ACC,expert,5,0.0007,0,-0.0066,-18
1,DMS-ACC,expert,6,0.0132,0,0.0048,-18
1,DMS-ACC,expert,7,0.0023,0,0.0048,-18
1,DMS-ACC,expert,8,0.0119,0,-0.0021,19
1,DMS-ACC,expert,9,-0.0106,0,0.0073,19
1,DMS-ACC,expert,10,-0.0075,0,0.0072,-5
1,DMS-ACC,expert,11,-0.002,0,0.0102,-10
1,DMS-ACC,expert,12,-0.0041,0,0.0066,-10
1,DMS-ACC,expert,13,-0.0088,0,-0.0134,-10
1,DMS-ACC,expert,14,-0.0091,0,0.0028,21
1,DMS-ACC,expert,15,0.004,0,0.0062,-10
1,DMS-ACC,expert,16,-0.007,0,0.0075,1
1,DMS-ACC,expert,17,-0.0023,0,0.0122,12
1,DMS-ACC,expert,18,-0.0071,0,0.0153,18
1,DMS-ACC,expert,19,-0.0025,0,0.0782,10
1,DMS-ACC,expert,20,-0.0029,0,0.1183,12
1,DLS-ACC,naive,1,-0.0004,0,0.1985,17
1,DLS-ACC,naive,2,0.002,0,0.0806,20
1,DLS-ACC,naive,3,0.0182,0,0.0198,6
1,DLS-ACC,naive,4,-0.006,0,0.0235,6
1,DLS-ACC,naive,5,-0.011,0,0.0246,16
1,DLS-ACC,naive,6,-0.002,0,0.0203,25
1,DLS-ACC,naive,7,0.0157,0,0.0169,-20
1,DLS-ACC,naive,8,-0.0037,0,0.0171,-20
1,DLS-ACC,naive,9,-0.002,0,0.0091,6
1,DLS-ACC,naive,10,0.0027,0,0.0318,6
1,DLS-ACC,naive,11,-0.0015,0,0.0306,25
1,DLS-ACC,naive,12,0.0058,0,0.0208,16
1,DLS-ACC,naive,13,-0.0006,0,0.0652,16
1,DLS-ACC,naive,14,0.0013,0,0.1012,16
1,DLS-ACC,naive,15,-0.0031,0,0.1065,16
1,DLS-ACC,naive,16,-0.0024,0,0.1066,-25
1,DLS-ACC,naive,17,0.006,0,0.1341,16
1,DLS-ACC,naive,18,-0.0032,0,0.2235,17
1,DLS-ACC,naive,19,-0.0026,0,0.294,24
1,DLS-ACC,naive,20,0.0008,0,0.1711,-13
1,DLS-ACC,intermediate,1,-0.0077,0,0.0161,13
1,DLS-ACC,intermediate,2,0.0163,0,0.0279,13
1,DLS-ACC,intermediate,3,-0.0014,0,0.0233,22
1,DLS-ACC,intermediate,4,-0.0198,0,-0.0031,13
1,DLS-ACC,intermediate,5,-0.0151,0,0.0135,13
1,DLS-ACC,intermediate,6,-0.0093,0,0.0145,13
1,DLS-ACC,intermediate,7,-0.0094,0,0.0085,10
1,DLS-ACC,intermediate,8,-0.0063,0,0.0093,10
1,DLS-ACC,intermediate,9,0.0002,0,0.0237,25
1,DLS-ACC,intermediate,10,-0.0125,0,0.0385,10
1,DLS-ACC,intermediate,11,-0.0085,0,0.0179,-6
1,DLS-ACC,intermediate,12,0.003,0,0.0292,13
1,DLS-ACC,intermediate,13,-0.0014,0,0.0201,-6
1,DLS-ACC,intermediate,14,0.0031,0,-0.0141,10
1,DLS-ACC,intermediate,15,0.0091,0,-0.0009,13
1,DLS-ACC,intermediate,16,-0.0071,0,-0.0498,-6
1,DLS-ACC,intermediate,17,0.0017,0,-0.0361,-6
1,DLS-ACC,intermediate,18,-0.002,0,-0.1271,-6
1,DLS-ACC,intermediate,19,0.0038,0,-0.1388,-6
1,DLS-ACC,intermediate,20,0.0019,0,-0.1208,-6
1,DLS-ACC,expert,1,0.0216,0,0.0317,-18
1,DLS-ACC,expert,2,-0.0176,0,0.0255,-13
