animal,pair,epoch,lag_bin,lag_ms,cc1
1,DMS-DLS,naive,-10,-250,0.2604
1,DMS-DLS,naive,-9,-225,0.2579
1,DMS-DLS,naive,-8,-200,0.2282
1,DMS-DLS,naive,-7,-175,0.2175
1,DMS-DLS,naive,-6,-150,0.2548
1,DMS-DLS,naive,-5,-125,0.2604
1,DMS-DLS,naive,-4,-100,0.2648
1,DMS-DLS,naive,-3,-75,0.251
1,DMS-DLS,naive,-2,-50,0.2408
1,DMS-DLS,naive,-1,-25,0.2798
1,DMS-DLS,naive,0,0,0.2779
1,DMS-DLS,naive,1,25,0.2629
1,DMS-DLS,naive,2,50,0.288
1,DMS-DLS,naive,3,75,0.2466
1,DMS-DLS,naive,4,100,0.241
1,DMS-DLS,naive,5,125,0.2586
1,DMS-DLS,naive,6,150,0.2456
1,DMS-DLS,naive,7,175,0.3068
1,DMS-DLS,naive,8,200,0.2671
1,DMS-DLS,naive,9,225,0.289
1,DMS-DLS,naive,10,250,0.5847
1,DMS-DLS,intermediate,-10,-250,0.2372
1,DMS-DLS,intermediate,-9,-225,0.2272
1,DMS-DLS,intermediate,-8,-200,0.2161
1,DMS-DLS,intermediate,-7,-175,0.2563
1,DMS-DLS,intermediate,-6,-150,0.2638
1,DMS-DLS,intermediate,-5,-125,0.2438
1,DMS-DLS,intermediate,-4,-100,0.2809
1,DMS-DLS,intermediate,-3,-75,0.2822
1,DMS-DLS,intermediate,-2,-50,0.271
1,DMS-DLS,intermediate,-1,-25,0.2426
1,DMS-DLS,intermediate,0,0,0.2705
1,DMS-DLS,intermediate,1,25,0.2309
1,DMS-DLS,intermediate,2,50,0.255
1,DMS-DLS,intermediate,3,75,0.2543
1,DMS-DLS,intermediate,4,100,0.2651
1,DMS-DLS,intermediate,5,125,0.2505
1,DMS-DLS,intermediate,6,150,0.2619
1,DMS-DLS,intermediate,7,175,0.2673
1,DMS-DLS,intermediate,8,200,0.2539
1,DMS-DLS,intermediate,9,225,0.3178
1,DMS-DLS,intermediate,10,250,0.2641
1,DMS-DLS,expert,-10,-250,0.1486
1,DMS-DLS,expert,-9,-225,0.154
1,DMS-DLS,expert,-8,-200,0.1518
1,DMS-DLS,expert,-7,-175,0.1489
1,DMS-DLS,expert,-6,-150,0.15
1,DMS-DLS,expert,-5,-125,0.1351
1,DMS-DLS,expert,-4,-100,0.1521
1,DMS-DLS,expert,-3,-75,0.2806
1,DMS-DLS,expert,-2,-50,0.1794
1,DMS-DLS,expert,-1,-25,0.1642
1,DMS-DLS,expert,0,0,0.2019
1,DMS-DLS,expert,1,25,0.1806
1,DMS-DLS,expert,2,50,0.1602
1,DMS-DLS,expert,3,75,0.1591
1,DMS-DLS,expert,4,100,0.1497
1,DMS-DLS,expert,5,125,0.2003
1,DMS-DLS,expert,6,150,0.1554
1,DMS-DLS,expert,7,175,0.1535
1,DMS-DLS,expert,8,200,0.1565
1,DMS-DLS,expert,9,225,0.1585
1,DMS-DLS,expert,10,250,0.1402
1,DMS-ACC,naive,-10,-250,0.2414
1,DMS-ACC,naive,-9,-225,0.2523
1,DMS-ACC,naive,-8,-200,0.2605
1,DMS-ACC,naive,-7,-175,0.2518
1,DMS-ACC,naive,-6,-150,0.2773
1,DMS-ACC,naive,-5,-125,0.2788
1,DMS-ACC,naive,-4,-100,0.285
1,DMS-ACC,naive,-3,-75,0.3285
1,DMS-ACC,naive,-2,-50,0.3646
1,DMS-ACC,naive,-1,-25,0.4669
1,DMS-ACC,naive,0,0,0.5627
1,DMS-ACC,naive,1,25,0.4948
1,DMS-ACC,naive,2,50,0.4392
1,DMS-ACC,naive,3,75,0.3816
1,DMS-ACC,naive,4,100,0.3731
1,DMS-ACC,naive,5,125,0.3239
1,DMS-ACC,naive,6,150,0.3101
1,DMS-ACC,naive,7,175,0.2809
1,DMS-ACC,naive,8,200,0.2479
1,DMS-ACC,naive,9,225,0.2402
1,DMS-ACC,naive,10,250,0.2531
1,DMS-ACC,intermediate,-10,-250,0.1972
1,DMS-ACC,intermediate,-9,-225,0.2182
1,DMS-ACC,intermediate,-8,-200,0.2282
1,DMS-ACC,intermediate,-7,-175,0.2143
1,DMS-ACC,intermediate,-6,-150,0.22
1,DMS-ACC,intermediate,-5,-125,0.2423
1,DMS-ACC,intermediate,-4,-100,0.2753
1,DMS-ACC,intermediate,-3,-75,0.2706
1,DMS-ACC,intermediate,-2,-50,0.3087
1,DMS-ACC,intermediate,-1,-25,0.3486
1,DMS-ACC,intermediate,0,0,0.3992
1,DMS-ACC,intermediate,1,25,0.3646
1,DMS-ACC,intermediate,2,50,0.3605
1,DMS-ACC,intermediate,3,75,0.3298
1,DMS-ACC,intermediate,4,100,0.3122
1,DMS-ACC,intermediate,5,125,0.2758
1,DMS-ACC,intermediate,6,150,0.2521
1,DMS-ACC,intermediate,7,175,0.2492
1,DMS-ACC,intermediate,8,200,0.2233
1,DMS-ACC,intermediate,9,225,0.192
1,DMS-ACC,intermediate,10,250,0.2059
1,DMS-ACC,expert,-10,-250,0.267
1,DMS-ACC,expert,-9,-225,0.2708
1,DMS-ACC,expert,-8,-200,0.26
1,DMS-ACC,expert,-7,-175,0.2665
1,DMS-ACC,expert,-6,-150,0.2852
1,DMS-ACC,expert,-5,-125,0.2764
1,DMS-ACC,expert,-4,-100,0.3
1,DMS-ACC,expert,-3,-75,0.2939
1,DMS-ACC,expert,-2,-50,0.3212
1,DMS-ACC,expert,-1,-25,0.3205
1,DMS-ACC,expert,0,0,0.3784
1,DMS-ACC,expert,1,25,0.3288
1,DMS-ACC,expert,2,50,0.3277
1,DMS-ACC,expert,3,75,0.3134
1,DMS-ACC,expert,4,100,0.276
1,DMS-ACC,expert,5,125,0.256
1,DMS-ACC,expert,6,150,0.2271
1,DMS-ACC,expert,7,175,0.2117
1,DMS-ACC,expert,8,200,0.2101
1,DMS-ACC,expert,9,225,0.2334
1,DMS-ACC,expert,10,250,0.2541
1,DLS-ACC,naive,-10,-250,0.1465
1,DLS-ACC,naive,-9,-225,0.1455
1,DLS-ACC,naive,-8,-200,0.1288
1,DLS-ACC,naive,-7,-175,0.1883
1,DLS-ACC,naive,-6,-150,0.1197
1,DLS-ACC,naive,-5,-125,0.1469
1,DLS-ACC,naive,-4,-100,0.1371
1,DLS-ACC,naive,-3,-75,0.1626
1,DLS-ACC,naive,-2,-50,0.2182
1,DLS-ACC,naive,-1,-25,0.1323
1,DLS-ACC,naive,0,0,0.1436
1,DLS-ACC,naive,1,25,0.1309
1,DLS-ACC,naive,2,50,0.2026
1,DLS-ACC,naive,3,75,0.1748
1,DLS-ACC,naive,4,100,0.1493
1,DLS-ACC,naive,5,125,0.2231
1,DLS-ACC,naive,6,150,0.2803
1,DLS-ACC,naive,7,175,0.2256
1,DLS-ACC,naive,8,200,0.1946
