animal,pair,epoch,lag_bin,lag_ms,cc1
1,DMS-DLS,naive,-25,-250,0.199
1,DMS-DLS,naive,-24,-240,0.2022
1,DMS-DLS,naive,-23,-230,0.2075
1,DMS-DLS,naive,-22,-220,0.2433
1,DMS-DLS,naive,-21,-210,0.1974
1,DMS-DLS,naive,-20,-200,0.1956
1,DMS-DLS,naive,-19,-190,0.1956
1,DMS-DLS,naive,-18,-180,0.1956
1,DMS-DLS,naive,-17,-170,0.2059
1,DMS-DLS,naive,-16,-160,0.2188
1,DMS-DLS,naive,-15,-150,0.2047
1,DMS-DLS,naive,-14,-140,0.2101
1,DMS-DLS,naive,-13,-130,0.2121
1,DMS-DLS,naive,-12,-120,0.2129
1,DMS-DLS,naive,-11,-110,0.2145
1,DMS-DLS,naive,-10,-100,0.2244
1,DMS-DLS,naive,-9,-90,0.224
1,DMS-DLS,naive,-8,-80,0.2143
1,DMS-DLS,naive,-7,-70,0.2158
1,DMS-DLS,naive,-6,-60,0.2156
1,DMS-DLS,naive,-5,-50,0.2168
1,DMS-DLS,naive,-4,-40,0.2327
1,DMS-DLS,naive,-3,-30,0.226
1,DMS-DLS,naive,-2,-20,0.2129
1,DMS-DLS,naive,-1,-10,0.23
1,DMS-DLS,naive,0,0,0.2336
1,DMS-DLS,naive,1,10,0.2242
1,DMS-DLS,naive,2,20,0.2243
1,DMS-DLS,naive,3,30,0.2219
1,DMS-DLS,naive,4,40,0.2125
1,DMS-DLS,naive,5,50,0.2143
1,DMS-DLS,naive,6,60,0.2216
1,DMS-DLS,naive,7,70,0.2357
1,DMS-DLS,naive,8,80,0.2257
1,DMS-DLS,naive,9,90,0.218
1,DMS-DLS,naive,10,100,0.2157
1,DMS-DLS,naive,11,110,0.2184
1,DMS-DLS,naive,12,120,0.2245
1,DMS-DLS,naive,13,130,0.2178
1,DMS-DLS,naive,14,140,0.2324
1,DMS-DLS,naive,15,150,0.2228
1,DMS-DLS,naive,16,160,0.2305
1,DMS-DLS,naive,17,170,0.2301
1,DMS-DLS,naive,18,180,0.3393
1,DMS-DLS,naive,19,190,0.2482
1,DMS-DLS,naive,20,200,0.2299
1,DMS-DLS,naive,21,210,0.2366
1,DMS-DLS,naive,22,220,0.2286
1,DMS-DLS,naive,23,230,0.2298
1,DMS-DLS,naive,24,240,0.3387
1,DMS-DLS,naive,25,250,0.5356
1,DMS-DLS,intermediate,-25,-250,0.1989
1,DMS-DLS,intermediate,-24,-240,0.1877
1,DMS-DLS,intermediate,-23,-230,0.1838
1,DMS-DLS,intermediate,-22,-220,0.1817
1,DMS-DLS,intermediate,-21,-210,0.1902
1,DMS-DLS,intermediate,-20,-200,0.1878
1,DMS-DLS,intermediate,-19,-190,0.1904
1,DMS-DLS,intermediate,-18,-180,0.1915
1,DMS-DLS,intermediate,-17,-170,0.1989
1,DMS-DLS,intermediate,-16,-160,0.1979
1,DMS-DLS,intermediate,-15,-150,0.1941
1,DMS-DLS,intermediate,-14,-140,0.2024
1,DMS-DLS,intermediate,-13,-130,0.2088
1,DMS-DLS,intermediate,-12,-120,0.1976
1,DMS-DLS,intermediate,-11,-110,0.2011
1,DMS-DLS,intermediate,-10,-100,0.2176
1,DMS-DLS,intermediate,-9,-90,0.2122
1,DMS-DLS,intermediate,-8,-80,0.2314
1,DMS-DLS,intermediate,-7,-70,0.221
1,DMS-DLS,intermediate,-6,-60,0.2311
1,DMS-DLS,intermediate,-5,-50,0.2281
1,DMS-DLS,intermediate,-4,-40,0.2253
1,DMS-DLS,intermediate,-3,-30,0.2186
1,DMS-DLS,intermediate,-2,-20,0.2082
1,DMS-DLS,intermediate,-1,-10,0.2109
1,DMS-DLS,intermediate,0,0,0.2433
1,DMS-DLS,intermediate,1,10,0.2371
1,DMS-DLS,intermediate,2,20,0.2259
1,DMS-DLS,intermediate,3,30,0.2162
1,DMS-DLS,intermediate,4,40,0.2117
1,DMS-DLS,intermediate,5,50,0.2118
1,DMS-DLS,intermediate,6,60,0.2199
1,DMS-DLS,intermediate,7,70,0.2207
1,DMS-DLS,intermediate,8,80,0.2297
1,DMS-DLS,intermediate,9,90,0.2233
1,DMS-DLS,intermediate,10,100,0.2284
1,DMS-DLS,intermediate,11,110,0.2157
1,DMS-DLS,intermediate,12,120,0.2222
1,DMS-DLS,intermediate,13,130,0.2179
1,DMS-DLS,intermediate,14,140,0.2334
1,DMS-DLS,intermediate,15,150,0.2182
1,DMS-DLS,intermediate,16,160,0.2118
1,DMS-DLS,intermediate,17,170,0.2273
