animal,pair,epoch,lag_bin,lag_ms,cc1
1,DMS-DLS,naive,-10,-250,0.3085
1,DMS-DLS,naive,-9,-225,0.3097
1,DMS-DLS,naive,-8,-200,0.3032
1,DMS-DLS,naive,-7,-175,0.3001
1,DMS-DLS,naive,-6,-150,0.3069
1,DMS-DLS,naive,-5,-125,0.3233
1,DMS-DLS,naive,-4,-100,0.3344
1,DMS-DLS,naive,-3,-75,0.3232
1,DMS-DLS,naive,-2,-50,0.3224
1,DMS-DLS,naive,-1,-25,0.3328
1,DMS-DLS,naive,0,0,0.33
1,DMS-DLS,naive,1,25,0.3397
1,DMS-DLS,naive,2,50,0.3349
1,DMS-DLS,naive,3,75,0.3301
1,DMS-DLS,naive,4,100,0.336
1,DMS-DLS,naive,5,125,0.3436
1,DMS-DLS,naive,6,150,0.3394
1,DMS-DLS,naive,7,175,0.3519
1,DMS-DLS,naive,8,200,0.3432
1,DMS-DLS,naive,9,225,0.3423
1,DMS-DLS,naive,10,250,0.5468
1,DMS-DLS,intermediate,-10,-250,0.3108
1,DMS-DLS,intermediate,-9,-225,0.3032
1,DMS-DLS,intermediate,-8,-200,0.3067
1,DMS-DLS,intermediate,-7,-175,0.322
1,DMS-DLS,intermediate,-6,-150,0.327
1,DMS-DLS,intermediate,-5,-125,0.3179
1,DMS-DLS,intermediate,-4,-100,0.3434
1,DMS-DLS,intermediate,-3,-75,0.3603
1,DMS-DLS,intermediate,-2,-50,0.3613
1,DMS-DLS,intermediate,-1,-25,0.3439
1,DMS-DLS,intermediate,0,0,0.3711
1,DMS-DLS,intermediate,1,25,0.3477
1,DMS-DLS,intermediate,2,50,0.353
1,DMS-DLS,intermediate,3,75,0.3579
1,DMS-DLS,intermediate,4,100,0.3644
1,DMS-DLS,intermediate,5,125,0.3519
1,DMS-DLS,intermediate,6,150,0.3539
1,DMS-DLS,intermediate,7,175,0.3555
1,DMS-DLS,intermediate,8,200,0.3444
1,DMS-DLS,intermediate,9,225,0.377
1,DMS-DLS,intermediate,10,250,0.3601
1,DMS-DLS,expert,-10,-250,0.2591
1,DMS-DLS,expert,-9,-225,0.2469
1,DMS-DLS,expert,-8,-200,0.2548
1,DMS-DLS,expert,-7,-175,0.2557
1,DMS-DLS,expert,-6,-150,0.2679
