animal,pair,epoch,lag_bin,lag_ms,cc1
1,DMS-DLS,naive,-25,-250,0.1759
1,DMS-DLS,naive,-24,-240,0.1761
1,DMS-DLS,naive,-23,-230,0.1649
1,DMS-DLS,naive,-22,-220,0.2268
1,DMS-DLS,naive,-21,-210,0.1525
1,DMS-DLS,naive,-20,-200,0.1432
1,DMS-DLS,naive,-19,-190,0.1597
1,DMS-DLS,naive,-18,-180,0.1358
1,DMS-DLS,naive,-17,-170,0.1464
1,DMS-DLS,naive,-16,-160,0.1943
1,DMS-DLS,naive,-15,-150,0.1703
1,DMS-DLS,naive,-14,-140,0.1675
1,DMS-DLS,naive,-13,-130,0.1835
1,DMS-DLS,naive,-12,-120,0.1859
1,DMS-DLS,naive,-11,-110,0.1855
1,DMS-DLS,naive,-10,-100,0.1664
1,DMS-DLS,naive,-9,-90,0.1672
1,DMS-DLS,naive,-8,-80,0.1746
1,DMS-DLS,naive,-7,-70,0.1702
1,DMS-DLS,naive,-6,-60,0.1633
1,DMS-DLS,naive,-5,-50,0.1634
1,DMS-DLS,naive,-4,-40,0.1962
1,DMS-DLS,naive,-3,-30,0.187
1,DMS-DLS,naive,-2,-20,0.1697
1,DMS-DLS,naive,-1,-10,0.1817
1,DMS-DLS,naive,0,0,0.1975
1,DMS-DLS,naive,1,10,0.1796
1,DMS-DLS,naive,2,20,0.175
1,DMS-DLS,naive,3,30,0.1708
1,DMS-DLS,naive,4,40,0.1569
1,DMS-DLS,naive,5,50,0.1636
1,DMS-DLS,naive,6,60,0.1724
1,DMS-DLS,naive,7,70,0.2038
1,DMS-DLS,naive,8,80,0.1685
1,DMS-DLS,naive,9,90,0.1673
1,DMS-DLS,naive,10,100,0.1553
1,DMS-DLS,naive,11,110,0.1474
1,DMS-DLS,naive,12,120,0.1649
1,DMS-DLS,naive,13,130,0.1615
1,DMS-DLS,naive,14,140,0.1769
1,DMS-DLS,naive,15,150,0.1609
1,DMS-DLS,naive,16,160,0.1684
1,DMS-DLS,naive,17,170,0.1748
1,DMS-DLS,naive,18,180,0.3376
1,DMS-DLS,naive,19,190,0.2346
1,DMS-DLS,naive,20,200,0.1789
1,DMS-DLS,naive,21,210,0.205
1,DMS-DLS,naive,22,220,0.1886
1,DMS-DLS,naive,23,230,0.1709
1,DMS-DLS,naive,24,240,0.3409
1,DMS-DLS,naive,25,250,0.5368
1,DMS-DLS,intermediate,-25,-250,0.152
1,DMS-DLS,intermediate,-24,-240,0.142
1,DMS-DLS,intermediate,-23,-230,0.1305
1,DMS-DLS,intermediate,-22,-220,0.1372
1,DMS-DLS,intermediate,-21,-210,0.1479
1,DMS-DLS,intermediate,-20,-200,0.1446
1,DMS-DLS,intermediate,-19,-190,0.1489
1,DMS-DLS,intermediate,-18,-180,0.1536
1,DMS-DLS,intermediate,-17,-170,0.1534
1,DMS-DLS,intermediate,-16,-160,0.158
1,DMS-DLS,intermediate,-15,-150,0.1499
1,DMS-DLS,intermediate,-14,-140,0.16
1,DMS-DLS,intermediate,-13,-130,0.1791
1,DMS-DLS,intermediate,-12,-120,0.1594
1,DMS-DLS,intermediate,-11,-110,0.1515
1,DMS-DLS,intermediate,-10,-100,0.174
1,DMS-DLS,intermediate,-9,-90,0.1725
1,DMS-DLS,intermediate,-8,-80,0.1886
1,DMS-DLS,intermediate,-7,-70,0.1768
1,DMS-DLS,intermediate,-6,-60,0.1934
1,DMS-DLS,intermediate,-5,-50,0.1702
1,DMS-DLS,intermediate,-4,-40,0.1709
1,DMS-DLS,intermediate,-3,-30,0.1726
1,DMS-DLS,intermediate,-2,-20,0.1782
1,DMS-DLS,intermediate,-1,-10,0.1602
1,DMS-DLS,intermediate,0,0,0.1849
1,DMS-DLS,intermediate,1,10,0.1748
1,DMS-DLS,intermediate,2,20,0.1583
1,DMS-DLS,intermediate,3,30,0.1567
1,DMS-DLS,intermediate,4,40,0.1453
1,DMS-DLS,intermediate,5,50,0.1525
1,DMS-DLS,intermediate,6,60,0.1634
1,DMS-DLS,intermediate,7,70,0.166
1,DMS-DLS,intermediate,8,80,0.1783
1,DMS-DLS,intermediate,9,90,0.174
1,DMS-DLS,intermediate,10,100,0.1709
1,DMS-DLS,intermediate,11,110,0.1658
1,DMS-DLS,intermediate,12,120,0.1686
1,DMS-DLS,intermediate,13,130,0.1563
1,DMS-DLS,intermediate,14,140,0.182
1,DMS-DLS,intermediate,15,150,0.1546
1,DMS-DLS,intermediate,16,160,0.1474
1,DMS-DLS,intermediate,17,170,0.1679
1,DMS-DLS,intermediate,18,180,0.1739
1,DMS-DLS,intermediate,19,190,0.1687
1,DMS-DLS,intermediate,20,200,0.1818
1,DMS-DLS,intermediate,21,210,0.1615
1,DMS-DLS,intermediate,22,220,0.1923
1,DMS-DLS,intermediate,23,230,0.2117
1,DMS-DLS,intermediate,24,240,0.2018
1,DMS-DLS,intermediate,25,250,0.1789
1,DMS-DLS,expert,-25,-250,0.1166
1,DMS-DLS,expert,-24,-240,0.1023
1,DMS-DLS,expert,-23,-230,0.1112
1,DMS-DLS,expert,-22,-220,0.1212
1,DMS-DLS,expert,-21,-210,0.1208
1,DMS-DLS,expert,-20,-200,0.1046
1,DMS-DLS,expert,-19,-190,0.103
1,DMS-DLS,expert,-18,-180,0.1183
1,DMS-DLS,expert,-17,-170,0.1135
1,DMS-DLS,expert,-16,-160,0.1144
1,DMS-DLS,expert,-15,-150,0.1197
1,DMS-DLS,expert,-14,-140,0.1127
1,DMS-DLS,expert,-13,-130,0.1116
1,DMS-DLS,expert,-12,-120,0.1037
1,DMS-DLS,expert,-11,-110,0.1169
1,DMS-DLS,expert,-10,-100,0.1215
1,DMS-DLS,expert,-9,-90,0.1289
1,DMS-DLS,expert,-8,-80,0.149
1,DMS-DLS,expert,-7,-70,0.2188
1,DMS-DLS,expert,-6,-60,0.1267
1,DMS-DLS,expert,-5,-50,0.1337
1,DMS-DLS,expert,-4,-40,0.1273
1,DMS-DLS,expert,-3,-30,0.1279
1,DMS-DLS,expert,-2,-20,0.1385
1,DMS-DLS,expert,-1,-10,0.1352
1,DMS-DLS,expert,0,0,0.1603
1,DMS-DLS,expert,1,10,0.1406
1,DMS-DLS,expert,2,20,0.1258
1,DMS-DLS,expert,3,30,0.1363
1,DMS-DLS,expert,4,40,0.118
1,DMS-DLS,expert,5,50,0.1233
1,DMS-DLS,expert,6,60,0.1185
1,DMS-DLS,expert,7,70,0.1189
1,DMS-DLS,expert,8,80,0.121
1,DMS-DLS,expert,9,90,0.1128
1,DMS-DLS,expert,10,100,0.1157
1,DMS-DLS,expert,11,110,0.1172
1,DMS-DLS,expert,12,120,0.1439
1,DMS-DLS,expert,13,130,0.1144
1,DMS-DLS,expert,14,140,0.1166
1,DMS-DLS,expert,15,150,0.1132
1,DMS-DLS,expert,16,160,0.1068
1,DMS-DLS,expert,17,170,0.1107
1,DMS-DLS,expert,18,180,0.1138
1,DMS-DLS,expert,19,190,0.1191
1,DMS-DLS,expert,20,200,0.1101
1,DMS-DLS,expert,21,210,0.0989
1,DMS-DLS,expert,22,220,0.1022
1,DMS-DLS,expert,23,230,0.0971
1,DMS-DLS,expert,24,240,0.0964
1,DMS-DLS,expert,25,250,0.1024
1,DMS-ACC,naive,-25,-250,0.1683
1,DMS-ACC,naive,-24,-240,0.1623
1,DMS-ACC,naive,-23,-230,0.1708
1,DMS-ACC,naive,-22,-220,0.1636
1,DMS-ACC,naive,-21,-210,0.1698
1,DMS-ACC,naive,-20,-200,0.1698
1,DMS-ACC,naive,-19,-190,0.1847
1,DMS-ACC,naive,-18,-180,0.1745
1,DMS-ACC,naive,-17,-170,0.1772
1,DMS-ACC,naive,-16,-160,0.1896
1,DMS-ACC,naive,-15,-150,0.2024
1,DMS-ACC,naive,-14,-140,0.2106
1,DMS-ACC,naive,-13,-130,0.2087
1,DMS-ACC,naive,-12,-120,0.2143
1,DMS-ACC,naive,-11,-110,0.2155
1,DMS-ACC,naive,-10,-100,0.2255
1,DMS-ACC,naive,-9,-90,0.2146
1,DMS-ACC,naive,-8,-80,0.237
1,DMS-ACC,naive,-7,-70,0.2535
1,DMS-ACC,naive,-6,-60,0.2549
1,DMS-ACC,naive,-5,-50,0.2808
1,DMS-ACC,naive,-4,-40,0.3196
1,DMS-ACC,naive,-3,-30,0.3585
1,DMS-ACC,naive,-2,-20,0.393
1,DMS-ACC,naive,-1,-10,0.4413
1,DMS-ACC,naive,0,0,0.4777
1,DMS-ACC,naive,1,10,0.4266
1,DMS-ACC,naive,2,20,0.4193
1,DMS-ACC,naive,3,30,0.35
1,DMS-ACC,naive,4,40,0.3604
1,DMS-ACC,naive,5,50,0.3244
1,DMS-ACC,naive,6,60,0.3272
1,DMS-ACC,naive,7,70,0.2921
1,DMS-ACC,naive,8,80,0.3083
1,DMS-ACC,naive,9,90,0.3036
1,DMS-ACC,naive,10,100,0.3438
1,DMS-ACC,naive,11,110,0.3482
1,DMS-ACC,naive,12,120,0.2863
1,DMS-ACC,naive,13,130,0.3237
1,DMS-ACC,naive,14,140,0.2384
1,DMS-ACC,naive,15,150,0.2341
1,DMS-ACC,naive,16,160,0.2107
1,DMS-ACC,naive,17,170,0.1929
1,DMS-ACC,naive,18,180,0.1811
1,DMS-ACC,naive,19,190,0.1864
1,DMS-ACC,naive,20,200,0.1751
1,DMS-ACC,naive,21,210,0.167
1,DMS-ACC,naive,22,220,0.1889
1,DMS-ACC,naive,23,230,0.1669
1,DMS-ACC,naive,24,240,0.1796
1,DMS-ACC,naive,25,250,0.1833
1,DMS-ACC,intermediate,-25,-250,0.1204
1,DMS-ACC,intermediate,-24,-240,0.1393
1,DMS-ACC,intermediate,-23,-230,0.1424
1,DMS-ACC,intermediate,-22,-220,0.1373
1,DMS-ACC,intermediate,-21,-210,0.1389
1,DMS-ACC,intermediate,-20,-200,0.2018
1,DMS-ACC,intermediate,-19,-190,0.1401
1,DMS-ACC,intermediate,-18,-180,0.1299
1,DMS-ACC,intermediate,-17,-170,0.1445
1,DMS-ACC,intermediate,-16,-160,0.1408
1,DMS-ACC,intermediate,-15,-150,0.1405
1,DMS-ACC,intermediate,-14,-140,0.1503
1,DMS-ACC,intermediate,-13,-130,0.1435
1,DMS-ACC,intermediate,-12,-120,0.1662
1,DMS-ACC,intermediate,-11,-110,0.1671
1,DMS-ACC,intermediate,-10,-100,0.1832
1,DMS-ACC,intermediate,-9,-90,0.1677
1,DMS-ACC,intermediate,-8,-80,0.1766
1,DMS-ACC,intermediate,-7,-70,0.1709
1,DMS-ACC,intermediate,-6,-60,0.1871
1,DMS-ACC,intermediate,-5,-50,0.2017
1,DMS-ACC,intermediate,-4,-40,0.1998
1,DMS-ACC,intermediate,-3,-30,0.2214
1,DMS-ACC,intermediate,-2,-20,0.226
1,DMS-ACC,intermediate,-1,-10,0.2463
1,DMS-ACC,intermediate,0,0,0.2506
1,DMS-ACC,intermediate,1,10,0.2374
1,DMS-ACC,intermediate,2,20,0.2298
1,DMS-ACC,intermediate,3,30,0.2462
1,DMS-ACC,intermediate,4,40,0.2242
1,DMS-ACC,intermediate,5,50,0.2205
1,DMS-ACC,intermediate,6,60,0.2193
1,DMS-ACC,intermediate,7,70,0.2091
1,DMS-ACC,intermediate,8,80,0.2094
1,DMS-ACC,intermediate,9,90,0.1939
1,DMS-ACC,intermediate,10,100,0.2039
1,DMS-ACC,intermediate,11,110,0.1934
1,DMS-ACC,intermediate,12,120,0.1866
1,DMS-ACC,intermediate,13,130,0.1767
1,DMS-ACC,intermediate,14,140,0.1672
1,DMS-ACC,intermediate,15,150,0.1674
1,DMS-ACC,intermediate,16,160,0.1728
1,DMS-ACC,intermediate,17,170,0.1735
1,DMS-ACC,intermediate,18,180,0.1529
1,DMS-ACC,intermediate,19,190,0.143
1,DMS-ACC,intermediate,20,200,0.1303
1,DMS-ACC,intermediate,21,210,0.1396
1,DMS-ACC,intermediate,22,220,0.1387
1,DMS-ACC,intermediate,23,230,0.1494
1,DMS-ACC,intermediate,24,240,0.132
1,DMS-ACC,intermediate,25,250,0.1284
1,DMS-ACC,expert,-25,-250,0.1723
1,DMS-ACC,expert,-24,-240,0.1926
1,DMS-ACC,expert,-23,-230,0.1878
1,DMS-ACC,expert,-22,-220,0.1658
1,DMS-ACC,expert,-21,-210,0.1886
1,DMS-ACC,expert,-20,-200,0.1611
1,DMS-ACC,expert,-19,-190,0.1798
1,DMS-ACC,expert,-18,-180,0.18
1,DMS-ACC,expert,-17,-170,0.1754
1,DMS-ACC,expert,-16,-160,0.1945
1,DMS-ACC,expert,-15,-150,0.1849
1,DMS-ACC,expert,-14,-140,0.1873
1,DMS-ACC,expert,-13,-130,0.1806
1,DMS-ACC,expert,-12,-120,0.1892
1,DMS-ACC,expert,-11,-110,0.1993
1,DMS-ACC,expert,-10,-100,0.2091
1,DMS-ACC,expert,-9,-90,0.2015
1,DMS-ACC,expert,-8,-80,0.2046
1,DMS-ACC,expert,-7,-70,0.2091
1,DMS-ACC,expert,-6,-60,0.212
1,DMS-ACC,expert,-5,-50,0.2101
1,DMS-ACC,expert,-4,-40,0.2004
1,DMS-ACC,expert,-3,-30,0.2256
1,DMS-ACC,expert,-2,-20,0.2243
1,DMS-ACC,expert,-1,-10,0.2293
1,DMS-ACC,expert,0,0,0.2428
1,DMS-ACC,expert,1,10,0.23
1,DMS-ACC,expert,2,20,0.2313
1,DMS-ACC,expert,3,30,0.232
1,DMS-ACC,expert,4,40,0.2215
1,DMS-ACC,expert,5,50,0.224
1,DMS-ACC,expert,6,60,0.2216
1,DMS-ACC,expert,7,70,0.2065
1,DMS-ACC,expert,8,80,0.2055
1,DMS-ACC,expert,9,90,0.1932
1,DMS-ACC,expert,10,100,0.1771
1,DMS-ACC,expert,11,110,0.1817
1,DMS-ACC,expert,12,120,0.1944
1,DMS-ACC,expert,13,130,0.1793
1,DMS-ACC,expert,14,140,0.2377
1,DMS-ACC,expert,15,150,0.1505
1,DMS-ACC,expert,16,160,0.1443
1,DMS-ACC,expert,17,170,0.1449
1,DMS-ACC,expert,18,180,0.1428
1,DMS-ACC,expert,19,190,0.1531
1,DMS-ACC,expert,20,200,0.1419
1,DMS-ACC,expert,21,210,0.1444
1,DMS-ACC,expert,22,220,0.1459
1,DMS-ACC,expert,23,230,0.1512
1,DMS-ACC,expert,24,240,0.1483
1,DMS-ACC,expert,25,250,0.1355
1,DLS-ACC,naive,-25,-250,0.078
1,DLS-ACC,naive,-24,-240,0.0746
1,DLS-ACC,naive,-23,-230,0.0647
1,DLS-ACC,naive,-22,-220,0.0721
1,DLS-ACC,naive,-21,-210,0.1118
1,DLS-ACC,naive,-20,-200,0.1168
1,DLS-ACC,naive,-19,-190,0.0819
1,DLS-ACC,naive,-18,-180,0.0787
1,DLS-ACC,naive,-17,-170,0.1878
1,DLS-ACC,naive,-16,-160,0.0816
1,DLS-ACC,naive,-15,-150,0.0777
1,DLS-ACC,naive,-14,-140,0.0947
1,DLS-ACC,naive,-13,-130,0.1262
1,DLS-ACC,naive,-12,-120,0.0932
1,DLS-ACC,naive,-11,-110,0.0681
1,DLS-ACC,naive,-10,-100,0.0714
1,DLS-ACC,naive,-9,-90,0.0762
1,DLS-ACC,naive,-8,-80,0.074
1,DLS-ACC,naive,-7,-70,0.08
1,DLS-ACC,naive,-6,-60,0.1205
1,DLS-ACC,naive,-5,-50,0.1464
1,DLS-ACC,naive,-4,-40,0.0764
1,DLS-ACC,naive,-3,-30,0.091
1,DLS-ACC,naive,-2,-20,0.122
1,DLS-ACC,naive,-1,-10,0.0902
1,DLS-ACC,naive,0,0,0.0762
1,DLS-ACC,naive,1,10,0.0986
1,DLS-ACC,naive,2,20,0.118
1,DLS-ACC,naive,3,30,0.1167
1,DLS-ACC,naive,4,40,0.0883
1,DLS-ACC,naive,5,50,0.1524
1,DLS-ACC,naive,6,60,0.1121
1,DLS-ACC,naive,7,70,0.0787
1,DLS-ACC,naive,8,80,0.1471
1,DLS-ACC,naive,9,90,0.1413
1,DLS-ACC,naive,10,100,0.0994
1,DLS-ACC,naive,11,110,0.0762
1,DLS-ACC,naive,12,120,0.1089
1,DLS-ACC,naive,13,130,0.2179
1,DLS-ACC,naive,14,140,0.1437
1,DLS-ACC,naive,15,150,0.1452
1,DLS-ACC,naive,16,160,0.2615
1,DLS-ACC,naive,17,170,0.2987
1,DLS-ACC,naive,18,180,0.1475
1,DLS-ACC,naive,19,190,0.1325
1,DLS-ACC,naive,20,200,0.2069
1,DLS-ACC,naive,21,210,0.0828
1,DLS-ACC,naive,22,220,0.0922
1,DLS-ACC,naive,23,230,0.126
1,DLS-ACC,naive,24,240,0.1376
1,DLS-ACC,naive,25,250,0.1933
1,DLS-ACC,intermediate,-25,-250,0.0868
1,DLS-ACC,intermediate,-24,-240,0.1144
1,DLS-ACC,intermediate,-23,-230,0.0881
1,DLS-ACC,intermediate,-22,-220,0.1031
1,DLS-ACC,intermediate,-21,-210,0.0747
1,DLS-ACC,intermediate,-20,-200,0.0807
1,DLS-ACC,intermediate,-19,-190,0.0844
1,DLS-ACC,intermediate,-18,-180,0.0916
1,DLS-ACC,intermediate,-17,-170,0.0893
1,DLS-ACC,intermediate,-16,-160,0.0849
1,DLS-ACC,intermediate,-15,-150,0.0761
1,DLS-ACC,intermediate,-14,-140,0.1387
1,DLS-ACC,intermediate,-13,-130,0.0747
1,DLS-ACC,intermediate,-12,-120,0.092
1,DLS-ACC,intermediate,-11,-110,0.092
1,DLS-ACC,intermediate,-10,-100,0.075
1,DLS-ACC,intermediate,-9,-90,0.0851
1,DLS-ACC,intermediate,-8,-80,0.0836
1,DLS-ACC,intermediate,-7,-70,0.1139
1,DLS-ACC,intermediate,-6,-60,0.0896
1,DLS-ACC,intermediate,-5,-50,0.1298
1,DLS-ACC,intermediate,-4,-40,0.0875
1,DLS-ACC,intermediate,-3,-30,0.0748
1,DLS-ACC,intermediate,-2,-20,0.077
1,DLS-ACC,intermediate,-1,-10,0.0655
1,DLS-ACC,intermediate,0,0,0.091
1,DLS-ACC,intermediate,1,10,0.0842
1,DLS-ACC,intermediate,2,20,0.0819
1,DLS-ACC,intermediate,3,30,0.0827
1,DLS-ACC,intermediate,4,40,0.0809
1,DLS-ACC,intermediate,5,50,0.0804
1,DLS-ACC,intermediate,6,60,0.1022
1,DLS-ACC,intermediate,7,70,0.0898
1,DLS-ACC,intermediate,8,80,0.08
1,DLS-ACC,intermediate,9,90,0.0953
1,DLS-ACC,intermediate,10,100,0.0829
1,DLS-ACC,intermediate,11,110,0.0848
1,DLS-ACC,intermediate,12,120,0.0861
1,DLS-ACC,intermediate,13,130,0.1986
1,DLS-ACC,intermediate,14,140,0.0776
1,DLS-ACC,intermediate,15,150,0.1075
