animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,5196,56,38,34,20,0.1479,0,0.0,0.0283,2,0.4569,0.4185,71.95,59.65
1,learner,22,DMS-DLS,intermediate,4620,56,38,34,20,0.3985,1,0.0865,-0.0278,-2,0.4876,0.4143,65.79,68.16
1,learner,22,DMS-DLS,expert,4141,56,38,34,20,0.0983,0,0.0,-0.0041,0,0.4722,0.4379,76.85,81.86
1,learner,22,DMS-ACC,naive,5196,56,34,38,20,0.3762,1,0.0763,0.0581,0,0.461,0.448,62.51,71.96
1,learner,22,DMS-ACC,intermediate,4620,56,34,38,20,0.2795,1,0.0407,0.0491,0,0.4868,0.4373,47.72,21.68
1,learner,22,DMS-ACC,expert,4141,56,34,38,20,0.463,1,0.1206,0.0114,0,0.471,0.3865,52.07,27.27
1,learner,22,DLS-ACC,naive,5196,38,34,56,20,0.1447,0,0.0,-0.0248,-2,0.4172,0.4676,83.21,89.45
1,learner,22,DLS-ACC,intermediate,4620,38,34,56,20,-0.0315,0,0.0,0.0014,1,0.4069,0.4325,65.23,85.12
1,learner,22,DLS-ACC,expert,4141,38,34,56,20,0.2007,0,0.0,-0.1799,0,0.4303,0.3722,89.71,89.68
2,learner,44,DMS-DLS,naive,3990,65,59,54,20,0.0967,0,0.0,0.0544,2,0.6746,0.5808,83.71,64.91
2,learner,44,DMS-DLS,intermediate,3258,65,59,54,20,0.0772,0,0.0,-0.0192,-2,0.6597,0.4948,79.52,84.89
2,learner,44,DMS-DLS,expert,3056,65,59,54,20,0.0922,0,0.0,-0.0191,0,0.6293,0.5293,86.69,81.88
2,learner,44,DMS-ACC,naive,3990,65,54,59,20,0.2652,12,0.4785,0.087,0,0.6658,0.6685,81.04,69.83
2,learner,44,DMS-ACC,intermediate,3258,65,54,59,20,0.2342,3,0.093,0.0814,1,0.6586,0.646,82.02,81.79
2,learner,44,DMS-ACC,expert,3056,65,54,59,20,0.0975,0,0.0,0.1728,1,0.6292,0.6058,78.63,84.54
2,learner,44,DLS-ACC,naive,3990,59,54,65,20,-0.0088,0,0.0,0.0751,1,0.5794,0.6618,83.5,76.98
2,learner,44,DLS-ACC,intermediate,3258,59,54,65,20,0.017,0,0.0,-0.0466,-2,0.4933,0.6474,81.52,79.09
2,learner,44,DLS-ACC,expert,3056,59,54,65,20,0.0399,0,0.0,-0.0469,0,0.5327,0.6017,88.77,88.05
4,learner,53,DMS-DLS,naive,5652,16,76,51,16,0.1805,1,0.0166,0.2455,1,0.4589,0.5292,81.83,82.19
4,learner,53,DMS-DLS,intermediate,3786,16,76,51,16,0.1516,0,0.0,-0.2266,-2,0.5511,0.4051,87.48,85.39
4,learner,53,DMS-DLS,expert,4054,16,76,51,16,0.0181,0,0.0,-0.03,1,0.4707,0.369,84.79,88.46
4,learner,53,DMS-ACC,naive,5652,16,51,76,16,-0.184,0,0.0,-0.087,0,0.4547,0.4286,76.14,86.24
4,learner,53,DMS-ACC,intermediate,3786,16,51,76,16,-0.293,2,0.0815,0.0981,1,0.8028,0.385,50.2,77.24
4,learner,53,DMS-ACC,expert,4054,16,51,76,16,0.0743,1,0.0233,-0.3058,-1,0.4718,0.3382,89.55,89.3
4,learner,53,DLS-ACC,naive,5652,76,51,16,20,0.3623,4,0.1443,0.0005,0,0.5357,0.4013,65.57,59.57
4,learner,53,DLS-ACC,intermediate,3786,76,51,16,20,0.2705,1,0.038,0.028,1,0.4054,0.3818,50.62,54.19
4,learner,53,DLS-ACC,expert,4054,76,51,16,20,0.1691,0,0.0,-0.0166,-2,0.3913,0.3255,84.65,89.47
5,learner,54,DMS-DLS,naive,4340,55,226,162,20,0.4229,1,0.0985,-0.0382,0,0.4895,0.5776,76.3,72.63
5,learner,54,DMS-DLS,intermediate,3837,55,226,162,20,0.376,2,0.3271,-0.0181,0,0.4719,0.4897,58.46,60.35
5,learner,54,DMS-DLS,expert,3918,55,226,162,20,0.2543,5,0.4095,-0.0359,0,0.5266,0.5097,46.15,54.43
5,learner,54,DMS-ACC,intermediate,3837,55,162,226,20,0.5888,8,0.9576,0.3359,0,0.4716,0.5347,87.41,77.27
5,learner,54,DMS-ACC,expert,3918,55,162,226,20,0.1544,8,3.1501,-0.0587,0,0.5288,0.5033,75.05,77.7
5,learner,54,DLS-ACC,naive,4340,226,162,55,20,0.5727,4,0.3897,0.0414,2,0.5807,0.5497,57.57,70.38
5,learner,54,DLS-ACC,intermediate,3837,226,162,55,20,0.7491,5,1.3128,-0.0058,0,0.4869,0.5164,54.76,61.62
5,learner,54,DLS-ACC,expert,3918,226,162,55,20,0.6,3,0.6694,-0.0139,0,0.5114,0.5,47.23,48.96
6,learner,36,DMS-ACC,naive,6758,9,5,0,5,0.0363,0,0.0,-0.1405,0,0.2691,0.5144,62.07,81.59
6,learner,36,DMS-ACC,intermediate,6689,9,5,0,5,0.0404,0,0.0,0.0601,0,0.1787,0.0793,86.7,31.78
6,learner,36,DMS-ACC,expert,6725,9,5,0,5,0.0312,0,0.0,-0.1716,-2,0.2562,0.3251,62.87,61.01
7,learner,34,DMS-ACC,naive,6651,13,56,0,13,0.115,0,0.0,-0.0585,-1,0.4379,0.5116,49.06,58.27
7,learner,34,DMS-ACC,intermediate,6699,13,56,0,13,0.0601,0,0.0,-0.065,-2,0.1416,0.3863,81.28,89.87
7,learner,34,DMS-ACC,expert,7079,13,56,0,13,0.1175,0,0.0,-0.0138,-2,0.1613,0.4009,56.13,73.64
9,learner,44,DMS-ACC,naive,3524,26,28,21,20,0.2721,8,0.2002,0.0581,0,0.375,0.2998,84.44,84.13
9,learner,44,DMS-ACC,intermediate,3980,26,28,21,20,0.1388,1,0.0247,-0.0071,0,0.312,0.2514,79.32,69.81
9,learner,44,DMS-ACC,expert,4297,26,28,21,20,0.4117,9,0.311,-0.0446,-2,0.3101,0.2508,83.88,87.11
9,learner,44,V1-DMS,naive,3524,21,26,28,20,0.0414,0,0.0,-0.1566,-1,0.1998,0.3732,66.35,89.54
9,learner,44,V1-DMS,intermediate,3980,21,26,28,20,0.0258,0,0.0,-0.0286,0,0.1701,0.3115,89.15,73.58
9,learner,44,V1-DMS,expert,4297,21,26,28,20,-0.0044,0,0.0,0.2182,1,0.1453,0.3037,89.62,47.9
9,learner,44,V1-ACC,naive,3524,21,28,26,20,0.2266,1,0.0263,-0.0553,-1,0.2,0.2987,35.59,45.34
9,learner,44,V1-ACC,intermediate,3980,21,28,26,20,-0.0067,1,0.0159,-0.0296,-1,0.1699,0.2523,79.6,74.85
9,learner,44,V1-ACC,expert,4297,21,28,26,20,-0.0531,2,0.0372,-0.0074,0,0.1442,0.2469,77.5,81.14
10,learner,67,DMS-DLS,naive,3128,19,17,14,17,0.6796,2,0.3851,-0.0223,0,0.4288,0.1659,49.36,51.26
10,learner,67,DMS-DLS,intermediate,3052,19,17,14,17,0.736,2,0.7191,0.0235,0,0.4895,0.1692,49.77,26.89
10,learner,67,DMS-DLS,expert,3337,19,17,14,17,0.7958,3,0.9044,-0.0055,0,0.4797,0.2907,75.46,54.09
10,learner,67,DMS-ACC,naive,3128,19,8,23,8,0.2508,1,0.0325,-0.0729,0,0.3742,0.8423,73.89,0.14
10,learner,67,DMS-ACC,intermediate,3052,19,8,23,8,0.412,4,0.1504,0.0046,0,0.8692,0.9638,0.0,0.0
10,learner,67,DMS-ACC,expert,3337,19,8,23,8,0.2507,1,0.0325,0.067,0,0.456,0.5758,83.0,89.0
10,learner,67,DLS-ACC,naive,3128,17,8,25,8,0.2491,1,0.032,-0.0543,0,0.2848,0.84,82.07,1.31
10,learner,67,DLS-ACC,intermediate,3052,17,8,25,8,0.0781,0,0.0,0.0396,2,0.2539,0.403,89.61,60.86
10,learner,67,DLS-ACC,expert,3337,17,8,25,8,0.7996,1,0.51,0.1545,0,0.8838,0.9676,0.0,0.0
10,learner,67,V1-DMS,naive,3128,6,19,25,6,0.0545,0,0.0,-0.0119,0,0.0241,0.4093,64.69,64.78
10,learner,67,V1-DMS,intermediate,3052,6,19,25,6,-0.3536,2,0.1342,0.0849,0,0.0804,0.2946,65.71,63.07
10,learner,67,V1-DMS,expert,3337,6,19,25,6,-0.0784,2,0.0411,-0.007,0,0.0915,0.4714,81.06,84.9
10,learner,67,V1-DLS,naive,3128,6,17,27,6,0.0007,0,0.0,0.0417,2,0.0241,0.2638,75.34,58.18
10,learner,67,V1-DLS,intermediate,3052,6,17,27,6,-0.0657,1,0.0153,-0.0532,-2,0.0806,0.2557,19.98,88.49
10,learner,67,V1-DLS,expert,3337,6,17,27,6,-0.1809,2,0.0393,-0.0049,-2,0.0919,0.344,78.67,87.71
10,learner,67,V1-ACC,naive,3128,6,8,36,6,0.0537,0,0.0,0.0676,1,0.0247,0.8395,74.44,0.65
10,learner,67,V1-ACC,intermediate,3052,6,8,36,6,-0.1258,2,0.0339,-0.0656,-2,0.0816,0.3204,80.6,83.93
10,learner,67,V1-ACC,expert,3337,6,8,36,6,0.0757,2,0.0268,-0.0254,-2,0.0931,0.5953,67.87,62.45
11,learner,84,DMS-DLS,naive,5331,20,5,144,5,0.1351,1,0.015,0.093,0,0.3594,0.4207,87.44,63.93
11,learner,84,DMS-DLS,intermediate,3929,20,5,144,5,0.2681,1,0.0373,-0.0647,0,0.5121,0.6792,84.49,68.55
11,learner,84,DMS-DLS,expert,4243,20,5,144,5,0.0921,0,0.0,0.0258,0,0.4146,0.5025,84.97,81.47
11,learner,84,DMS-ACC,naive,5331,20,62,87,20,0.2136,1,0.0534,0.0136,0,0.3299,0.5426,88.47,85.78
11,learner,84,DMS-ACC,intermediate,3929,20,62,87,20,0.3681,1,0.0728,0.0579,0,0.4054,0.5002,64.72,73.67
