animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,12998,56,38,34,20,0.1095,0,0.0,0.0781,25,0.4972,0.4017,0.3713,0.3667,67.91,56.67
1,learner,22,DMS-DLS,intermediate,11529,56,38,34,20,0.4728,1,0.1265,0.0257,23,0.5341,0.4531,0.3576,0.3599,52.34,43.66
1,learner,22,DMS-DLS,expert,10365,56,38,34,20,0.1968,3,0.0911,-0.0296,-7,0.5372,0.4679,0.3767,0.3644,88.81,89.75
1,learner,22,DMS-ACC,naive,12998,56,34,38,20,0.3049,2,0.0629,0.0546,0,0.4971,0.4818,0.4929,0.62,62.16,67.57
1,learner,22,DMS-ACC,intermediate,11529,56,34,38,20,0.1909,1,0.0186,0.0425,0,0.5334,0.483,0.3503,0.4453,60.73,28.16
1,learner,22,DMS-ACC,expert,10365,56,34,38,20,0.3616,2,0.0932,-0.0401,0,0.5369,0.3922,0.3039,0.3745,41.22,39.54
1,learner,22,DLS-ACC,naive,12998,38,34,56,20,0.125,0,0.0,0.197,17,0.3924,0.4744,0.5508,0.606,83.87,74.7
1,learner,22,DLS-ACC,intermediate,11529,38,34,56,20,-0.0142,0,0.0,0.0249,13,0.4527,0.4814,0.3806,0.4414,86.07,86.71
1,learner,22,DLS-ACC,expert,10365,38,34,56,20,0.0251,0,0.0,0.0107,-18,0.4635,0.3962,0.4658,0.4531,89.76,89.51
2,learner,44,DMS-DLS,naive,9984,65,59,54,20,0.0434,0,0.0,0.0431,5,0.7046,0.6211,0.5264,0.39,78.53,63.06
2,learner,44,DMS-DLS,intermediate,8180,65,59,54,20,0.028,0,0.0,-0.0178,-7,0.6851,0.5298,0.4639,0.3546,53.62,82.39
2,learner,44,DMS-DLS,expert,7629,65,59,54,20,0.073,0,0.0,0.0056,15,0.6546,0.5876,0.4307,0.4319,84.56,74.39
2,learner,44,DMS-ACC,naive,9984,65,54,59,20,-0.1689,7,0.3129,0.0772,1,0.6962,0.6829,0.4738,0.5901,57.99,39.5
2,learner,44,DMS-ACC,intermediate,8180,65,54,59,20,-0.2007,8,0.1706,0.0552,3,0.6844,0.6456,0.6359,0.6295,85.31,89.96
2,learner,44,DMS-ACC,expert,7629,65,54,59,20,0.0193,0,0.0,0.052,6,0.6554,0.6208,0.4489,0.5112,78.36,86.65
2,learner,44,DLS-ACC,naive,9984,59,54,65,20,0.1334,5,0.0836,0.1139,21,0.6229,0.6832,0.3701,0.5324,88.33,76.75
2,learner,44,DLS-ACC,intermediate,8180,59,54,65,20,-0.0099,3,0.0555,0.0162,24,0.5294,0.6466,0.3345,0.5084,87.42,83.15
2,learner,44,DLS-ACC,expert,7629,59,54,65,20,0.0453,0,0.0,-0.0071,20,0.5852,0.6219,0.3858,0.4929,89.34,84.59
4,learner,53,DMS-DLS,naive,14090,16,76,51,16,0.1724,3,0.0478,0.0346,2,0.4572,0.6075,0.4145,0.3795,88.3,84.78
4,learner,53,DMS-DLS,intermediate,9455,16,76,51,16,0.1742,1,0.0154,-0.1761,-23,0.5437,0.4423,0.4965,0.2881,88.37,78.52
4,learner,53,DMS-DLS,expert,10129,16,76,51,16,0.0312,0,0.0,0.0322,-18,0.4517,0.4327,0.4536,0.3672,84.04,89.13
4,learner,53,DMS-ACC,naive,14090,16,51,76,16,-0.1326,3,0.0667,0.0095,0,0.4535,0.482,0.4044,0.3085,84.06,84.86
4,learner,53,DMS-ACC,intermediate,9455,16,51,76,16,-0.3447,4,0.168,0.0359,1,0.855,0.4352,0.5712,0.7399,84.43,83.98
4,learner,53,DMS-ACC,expert,10129,16,51,76,16,0.1702,2,0.0379,0.0004,-2,0.4522,0.3979,0.3879,0.2419,89.87,86.13
4,learner,53,DLS-ACC,naive,14090,76,51,16,20,0.2136,6,0.155,0.0486,11,0.6065,0.4736,0.2247,0.2041,82.49,75.26
4,learner,53,DLS-ACC,intermediate,9455,76,51,16,20,0.1706,0,0.0,-0.0103,-24,0.4501,0.4271,0.2151,0.2117,61.06,60.96
4,learner,53,DLS-ACC,expert,10129,76,51,16,20,0.1208,0,0.0,-0.0281,-9,0.4454,0.3877,0.2069,0.2112,72.02,73.24
5,learner,54,DMS-DLS,naive,10882,55,226,162,20,0.1327,0,0.0,0.0001,12,0.5244,0.6533,0.2277,0.3389,74.48,85.48
5,learner,54,DMS-DLS,intermediate,9613,55,226,162,20,-0.4692,2,0.4501,-0.0711,-16,0.5262,0.5503,0.3296,0.3512,74.68,72.18
5,learner,54,DMS-DLS,expert,9822,55,226,162,20,0.5747,7,0.7591,-0.0494,0,0.558,0.573,0.4082,0.42,52.93,44.5
5,learner,54,DMS-ACC,naive,10882,55,162,226,20,0.5978,10,0.8303,0.0031,0,0.5285,0.6492,0.1696,0.2321,64.72,80.75
5,learner,54,DMS-ACC,intermediate,9613,55,162,226,20,-0.202,8,2.6113,-0.0307,0,0.5236,0.6008,0.3177,0.3122,79.0,87.23
5,learner,54,DMS-ACC,expert,9822,55,162,226,20,0.3964,5,0.2146,0.0309,15,0.5747,0.5895,0.2374,0.1779,75.76,74.97
5,learner,54,DLS-ACC,naive,10882,226,162,55,20,0.4246,5,0.2233,0.0119,8,0.6546,0.6449,0.2068,0.1561,78.32,81.74
