animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,12998,57,42,34,20,0.1121,0,0.0,0.0738,25,0.5075,0.4601,0.3315,0.3429,56.05,50.86
1,learner,22,DMS-DLS,intermediate,11529,57,42,34,20,0.4908,1,0.1378,0.046,23,0.5407,0.4284,0.335,0.3667,40.77,48.57
1,learner,22,DMS-DLS,expert,10365,57,42,34,20,-0.0795,3,0.0626,0.0197,0,0.5415,0.4661,0.3397,0.3572,84.8,86.4
1,learner,22,DMS-ACC,naive,12998,57,34,42,20,0.2885,2,0.0648,0.0552,0,0.5067,0.4816,0.4232,0.5257,62.76,67.38
1,learner,22,DMS-ACC,intermediate,11529,57,34,42,20,0.1904,1,0.0185,0.0517,0,0.54,0.483,0.3469,0.4434,60.33,28.18
1,learner,22,DMS-ACC,expert,10365,57,34,42,20,0.3622,2,0.0942,-0.0362,0,0.5416,0.392,0.3001,0.3695,41.8,39.81
1,learner,22,DLS-ACC,naive,12998,42,34,57,20,0.1259,0,0.0,0.161,17,0.4608,0.4744,0.516,0.5598,83.76,79.1
1,learner,22,DLS-ACC,intermediate,11529,42,34,57,20,-0.0047,0,0.0,0.0238,13,0.4292,0.4814,0.3576,0.3719,89.64,83.85
1,learner,22,DLS-ACC,expert,10365,42,34,57,20,-0.2314,0,0.0,0.0002,-18,0.4656,0.3969,0.4309,0.3967,89.91,89.68
2,learner,44,DMS-DLS,naive,9984,69,60,64,20,0.049,0,0.0,0.0465,5,0.7091,0.6368,0.5233,0.3825,81.35,58.79
2,learner,44,DMS-DLS,intermediate,8180,69,60,64,20,0.0701,0,0.0,-0.0273,-6,0.6824,0.5201,0.4728,0.3426,59.31,67.55
2,learner,44,DMS-DLS,expert,7629,69,60,64,20,0.101,0,0.0,0.0166,18,0.6591,0.579,0.4298,0.4164,82.13,83.98
2,learner,44,DMS-ACC,naive,9984,69,64,60,20,0.627,12,0.6685,0.0823,1,0.7092,0.695,0.4519,0.5387,52.97,41.16
2,learner,44,DMS-ACC,intermediate,8180,69,64,60,20,-0.1492,5,0.1032,-0.0379,-1,0.6825,0.6724,0.516,0.4785,84.37,84.82
2,learner,44,DMS-ACC,expert,7629,69,64,60,20,0.105,0,0.0,0.0312,20,0.6595,0.6237,0.4161,0.456,77.69,81.08
2,learner,44,DLS-ACC,naive,9984,60,64,69,20,0.1651,5,0.0845,0.122,21,0.6381,0.6944,0.3425,0.4769,75.35,81.19
2,learner,44,DLS-ACC,intermediate,8180,60,64,69,20,-0.1424,6,0.0895,0.0203,24,0.5198,0.6722,0.271,0.4407,89.65,88.18
2,learner,44,DLS-ACC,expert,7629,60,64,69,20,0.0391,0,0.0,-0.0335,-20,0.5757,0.6226,0.344,0.4409,87.88,83.95
4,learner,53,DMS-DLS,naive,14090,16,83,53,16,0.1368,2,0.0262,-0.0162,2,0.4571,0.6045,0.3887,0.3646,84.39,81.67
4,learner,53,DMS-DLS,intermediate,9455,16,83,53,16,0.1986,1,0.0201,-0.1702,-23,0.5437,0.4273,0.4991,0.303,86.57,78.38
4,learner,53,DMS-DLS,expert,10129,16,83,53,16,0.0427,0,0.0,0.0374,-18,0.4517,0.4162,0.4414,0.3503,86.81,82.63
4,learner,53,DMS-ACC,naive,14090,16,53,83,16,-0.0513,3,0.1114,0.0119,0,0.4535,0.4709,0.3669,0.3075,84.94,85.15
4,learner,53,DMS-ACC,intermediate,9455,16,53,83,16,-0.3474,5,0.2057,0.0249,1,0.853,0.4546,0.5679,0.731,72.0,84.84
4,learner,53,DMS-ACC,expert,10129,16,53,83,16,0.1832,2,0.0365,-0.0086,-2,0.4523,0.3969,0.38,0.2373,87.73,88.65
4,learner,53,DLS-ACC,naive,14090,83,53,16,20,-0.0337,3,0.1019,0.0553,13,0.6091,0.4669,0.2253,0.206,54.21,44.65
4,learner,53,DLS-ACC,intermediate,9455,83,53,16,20,0.2069,0,0.0,-0.0239,-16,0.4458,0.431,0.2157,0.2138,47.84,47.06
4,learner,53,DLS-ACC,expert,10129,83,53,16,20,0.1535,0,0.0,-0.0316,-9,0.433,0.3918,0.2084,0.204,86.52,89.8
5,learner,54,DMS-DLS,naive,10882,55,237,175,20,0.1297,0,0.0,-0.0145,12,0.5244,0.6419,0.2257,0.3292,74.17,86.12
5,learner,54,DMS-DLS,intermediate,9613,55,237,175,20,-0.0734,3,0.6781,-0.0779,-16,0.5261,0.543,0.3212,0.3401,75.42,72.98
5,learner,54,DMS-DLS,expert,9822,55,237,175,20,0.5636,7,0.744,-0.0575,0,0.5594,0.5581,0.4448,0.4715,55.68,46.5
5,learner,54,DMS-ACC,naive,10882,55,175,237,20,0.7135,11,1.0733,-0.0044,0,0.5289,0.6315,0.1647,0.2233,62.39,66.86
5,learner,54,DMS-ACC,intermediate,9613,55,175,237,20,-0.0797,9,1.5851,-0.0238,0,0.5268,0.5827,0.2453,0.2497,71.68,84.61
5,learner,54,DMS-ACC,expert,9822,55,175,237,20,0.8508,8,1.511,0.0173,15,0.5752,0.5744,0.2242,0.1764,65.04,53.69
5,learner,54,DLS-ACC,naive,10882,237,175,55,20,0.452,3,0.3335,0.0166,8,0.6425,0.6299,0.2066,0.1549,83.88,76.11
5,learner,54,DLS-ACC,intermediate,9613,237,175,55,20,-0.7834,3,0.2644,-0.0049,0,0.5476,0.5756,0.194,0.1813,36.02,68.38
5,learner,54,DLS-ACC,expert,9822,237,175,55,20,0.522,6,0.5383,-0.022,0,0.554,0.57,0.2003,0.1709,38.51,33.88
6,learner,36,DMS-ACC,naive,16887,5,5,0,5,0.0235,0,0.0,0.1236,11,0.1704,0.4926,0.4511,0.4899,19.92,24.6
6,learner,36,DMS-ACC,intermediate,16738,5,5,0,5,0.0559,0,0.0,-0.1177,-15,0.4153,0.0812,0.6079,0.5555,48.1,28.26
6,learner,36,DMS-ACC,expert,16844,5,5,0,5,0.0278,0,0.0,-0.0571,19,0.353,0.3535,0.465,0.3422,66.24,33.69
7,learner,33,DMS-ACC,naive,16579,13,62,0,13,0.1829,1,0.017,-0.0713,-1,0.4088,0.5632,0.2747,0.3306,31.05,36.77
7,learner,33,DMS-ACC,intermediate,16581,13,62,0,13,0.1033,1,0.0054,-0.0293,-11,0.1527,0.4533,0.2178,0.2655,43.44,41.05
7,learner,33,DMS-ACC,expert,18061,13,62,0,13,0.0647,0,0.0,-0.034,-4,0.1483,0.4563,0.1425,0.2037,57.24,67.77
9,learner,44,DMS-ACC,naive,8812,28,34,24,20,0.2528,12,0.2568,-0.0015,0,0.3849,0.3963,0.2487,0.1768,63.29,71.58
9,learner,44,DMS-ACC,intermediate,9971,28,34,24,20,0.0253,0,0.0,0.0026,-15,0.3299,0.3598,0.1424,0.1814,71.51,72.35
9,learner,44,DMS-ACC,expert,10758,28,34,24,20,0.4041,9,0.2656,-0.0131,21,0.3182,0.3703,0.2577,0.24,86.79,71.92
9,learner,44,V1-DMS,naive,8812,24,28,34,20,0.0111,0,0.0,-0.0568,-12,0.2379,0.3832,0.1908,0.2534,82.66,85.93
9,learner,44,V1-DMS,intermediate,9971,24,28,34,20,0.0087,0,0.0,0.1112,18,0.2206,0.33,0.2472,0.2951,82.48,88.34
9,learner,44,V1-DMS,expert,10758,24,28,34,20,0.0179,0,0.0,0.0922,2,0.1965,0.3503,0.3159,0.3469,86.55,65.33
9,learner,44,V1-ACC,naive,8812,24,34,28,20,0.0265,2,0.0305,-0.0183,-19,0.237,0.383,0.134,0.1552,50.28,58.07
9,learner,44,V1-ACC,intermediate,9971,24,34,28,20,0.1086,8,0.1164,-0.0474,-2,0.2208,0.3615,0.1548,0.1772,74.8,89.35
9,learner,44,V1-ACC,expert,10758,24,34,28,20,0.0286,8,0.1096,-0.0356,-20,0.1964,0.3697,0.2207,0.2196,88.44,81.65
10,learner,67,DMS-DLS,naive,7828,20,20,23,20,0.5001,2,0.1772,-0.0415,0,0.3924,0.1655,0.321,0.4013,78.8,46.57
10,learner,67,DMS-DLS,intermediate,7672,20,20,23,20,0.2392,1,0.1538,0.0578,0,0.4237,0.1575,0.3827,0.4846,67.03,56.55
10,learner,67,DMS-DLS,expert,8381,20,20,23,20,0.6862,3,0.5544,0.0463,0,0.4121,0.2719,0.387,0.5242,88.91,54.14
10,learner,67,DMS-ACC,naive,7828,20,16,27,16,0.2486,1,0.0319,0.0919,17,0.2909,0.8914,0.2412,0.3514,54.97,0.74
10,learner,67,DMS-ACC,intermediate,7672,20,16,27,16,0.4082,9,0.3118,0.0984,0,0.8667,0.9409,0.4682,0.5082,0.0,0.0
10,learner,67,DMS-ACC,expert,8381,20,16,27,16,0.1874,2,0.056,-0.0264,0,0.4525,0.3683,0.2817,0.3962,46.91,57.47
10,learner,67,DLS-ACC,naive,7828,20,16,27,16,0.1763,1,0.0158,-0.0426,0,0.1982,0.8878,0.2661,0.2614,48.25,0.68
10,learner,67,DLS-ACC,intermediate,7672,20,16,27,16,0.1433,1,0.0104,-0.0664,0,0.1821,0.2363,0.306,0.3476,89.31,40.81
10,learner,67,DLS-ACC,expert,8381,20,16,27,16,0.7997,1,0.5101,0.1846,0,0.8597,0.9531,0.5034,0.5513,0.0,0.0
