animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,5196,57,42,0,20,0.223,0,0.0,0.0655,10,0.4626,0.4448,0.3438,0.3535,61.47,70.39
1,learner,22,DMS-DLS,intermediate,4620,57,42,0,20,0.2697,0,0.0,0.0393,9,0.494,0.4098,0.3196,0.3747,42.05,42.35
1,learner,22,DMS-DLS,expert,4141,57,42,0,20,0.26,0,0.0,0.0178,0,0.4759,0.4487,0.2901,0.337,38.96,43.02
1,learner,22,DMS-ACC,naive,5196,57,34,0,20,0.4169,2,0.119,0.0959,0,0.4626,0.4621,0.4039,0.5578,57.16,62.89
1,learner,22,DMS-ACC,intermediate,4620,57,34,0,20,0.3349,1,0.0595,0.0428,0,0.494,0.4379,0.3504,0.4627,48.01,21.33
1,learner,22,DMS-ACC,expert,4141,57,34,0,20,0.3125,1,0.0514,-0.0344,0,0.4759,0.3782,0.3099,0.3618,53.72,28.2
1,learner,22,DLS-ACC,naive,5196,42,34,0,20,0.0111,0,0.0,0.13,6,0.4448,0.4621,0.5043,0.5431,88.08,88.85
1,learner,22,DLS-ACC,intermediate,4620,42,34,0,20,-0.001,0,0.0,0.016,5,0.4098,0.4379,0.3348,0.3668,79.41,74.58
1,learner,22,DLS-ACC,expert,4141,42,34,0,20,0.0548,0,0.0,-0.0249,-7,0.4487,0.3782,0.4245,0.4393,88.57,89.98
2,learner,44,DMS-DLS,naive,3990,69,60,0,20,0.0721,0,0.0,0.0504,7,0.6863,0.5765,0.5078,0.3828,83.43,63.13
2,learner,44,DMS-DLS,intermediate,3258,69,60,0,20,0.1886,0,0.0,-0.018,-2,0.6719,0.486,0.4684,0.3129,58.41,52.48
2,learner,44,DMS-DLS,expert,3056,69,60,0,20,0.1695,0,0.0,0.0082,5,0.6215,0.5296,0.4331,0.3858,84.61,89.29
2,learner,44,DMS-ACC,naive,3990,69,64,0,20,0.0857,0,0.0,0.117,0,0.6863,0.6902,0.452,0.5474,77.15,56.78
2,learner,44,DMS-ACC,intermediate,3258,69,64,0,20,0.0886,0,0.0,-0.0059,0,0.6719,0.6439,0.4662,0.4522,88.31,55.01
2,learner,44,DMS-ACC,expert,3056,69,64,0,20,0.1215,0,0.0,0.0074,1,0.6215,0.5906,0.415,0.459,85.8,89.74
2,learner,44,DLS-ACC,naive,3990,60,64,0,20,0.0135,0,0.0,0.1946,6,0.5765,0.6902,0.3009,0.4611,79.25,72.27
2,learner,44,DLS-ACC,intermediate,3258,60,64,0,20,0.0851,0,0.0,0.005,-1,0.486,0.6439,0.2547,0.4327,67.47,68.67
2,learner,44,DLS-ACC,expert,3056,60,64,0,20,0.0657,0,0.0,-0.045,-8,0.5296,0.5906,0.3381,0.4264,89.39,89.26
4,learner,53,DMS-DLS,naive,5652,16,83,0,16,0.1788,1,0.0163,-0.0351,1,0.4569,0.5333,0.3955,0.3676,72.0,86.29
4,learner,53,DMS-DLS,intermediate,3786,16,83,0,16,0.0273,0,0.0,-0.186,-6,0.552,0.3843,0.5055,0.2892,70.27,88.58
4,learner,53,DMS-DLS,expert,4054,16,83,0,16,0.0435,0,0.0,0.0331,10,0.4718,0.3619,0.438,0.3205,83.96,89.24
4,learner,53,DMS-ACC,naive,5652,16,53,0,16,0.0128,0,0.0,0.0516,0,0.4569,0.4123,0.3385,0.2835,57.68,85.37
4,learner,53,DMS-ACC,intermediate,3786,16,53,0,16,0.0668,0,0.0,0.0746,1,0.552,0.3862,0.5365,0.2768,87.26,76.69
