animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
1,learner,22,DMS-DLS,naive,12998,56,38,0,20,0.0712,0,0.0,0.0804,25,0.4972,0.3963,0.3791,0.3701,66.89,56.87
1,learner,22,DMS-DLS,intermediate,11529,56,38,0,20,0.1051,0,0.0,0.0276,23,0.5328,0.4531,0.3577,0.361,52.81,42.74
1,learner,22,DMS-DLS,expert,10365,56,38,0,20,0.036,0,0.0,-0.034,-7,0.5371,0.4676,0.3806,0.3685,89.68,89.42
1,learner,22,DMS-ACC,naive,12998,56,34,0,20,0.2934,1,0.045,0.0767,0,0.4972,0.4793,0.4336,0.5508,60.36,66.11
1,learner,22,DMS-ACC,intermediate,11529,56,34,0,20,0.2056,1,0.0216,0.0414,0,0.5328,0.483,0.3491,0.4473,61.2,27.86
1,learner,22,DMS-ACC,expert,10365,56,34,0,20,0.1896,1,0.0183,-0.0347,0,0.5371,0.3981,0.3097,0.3793,42.78,39.18
1,learner,22,DLS-ACC,naive,12998,38,34,0,20,-0.0004,0,0.0,0.1985,17,0.3963,0.4793,0.5667,0.6109,83.71,74.09
1,learner,22,DLS-ACC,intermediate,11529,38,34,0,20,-0.0077,0,0.0,0.0161,13,0.4531,0.483,0.3886,0.4451,88.47,85.45
1,learner,22,DLS-ACC,expert,10365,38,34,0,20,0.0216,0,0.0,0.0317,-18,0.4676,0.3981,0.4755,0.4602,89.42,86.85
2,learner,44,DMS-DLS,naive,9984,65,59,0,20,0.0386,0,0.0,0.0399,5,0.7049,0.6208,0.5406,0.3952,78.42,63.48
2,learner,44,DMS-DLS,intermediate,8180,65,59,0,20,0.0491,0,0.0,-0.0125,-7,0.6834,0.53,0.4942,0.3537,54.08,81.63
2,learner,44,DMS-DLS,expert,7629,65,59,0,20,0.1006,0,0.0,0.0124,15,0.6531,0.587,0.4578,0.4336,82.0,83.72
2,learner,44,DMS-ACC,naive,9984,65,54,0,20,0.1268,0,0.0,0.0949,1,0.7049,0.6831,0.474,0.5897,56.28,40.31
2,learner,44,DMS-ACC,intermediate,8180,65,54,0,20,0.0051,0,0.0,0.0515,3,0.6834,0.6455,0.5585,0.5423,84.7,89.7
2,learner,44,DMS-ACC,expert,7629,65,54,0,20,0.0166,0,0.0,0.0406,6,0.6531,0.6215,0.4734,0.5157,80.37,86.62
2,learner,44,DLS-ACC,naive,9984,59,54,0,20,0.0363,0,0.0,0.1147,21,0.6208,0.6831,0.3783,0.5464,85.13,69.57
2,learner,44,DLS-ACC,intermediate,8180,59,54,0,20,0.0094,0,0.0,0.0125,24,0.53,0.6455,0.3324,0.5262,88.16,83.42
2,learner,44,DLS-ACC,expert,7629,59,54,0,20,0.0454,0,0.0,-0.0159,-15,0.587,0.6215,0.3922,0.4962,80.9,84.9
4,learner,53,DMS-DLS,naive,14090,16,76,0,16,0.1304,0,0.0,0.0352,2,0.4551,0.6068,0.4224,0.384,77.72,83.78
4,learner,53,DMS-DLS,intermediate,9455,16,76,0,16,0.0385,0,0.0,-0.1659,-23,0.5441,0.4445,0.5009,0.2994,73.47,81.48
4,learner,53,DMS-DLS,expert,10129,16,76,0,16,0.0348,0,0.0,0.0247,-18,0.4519,0.4284,0.4545,0.3694,76.86,88.33
4,learner,53,DMS-ACC,naive,14090,16,51,0,16,0.0188,0,0.0,0.0056,0,0.4551,0.4826,0.401,0.3127,82.29,84.22
4,learner,53,DMS-ACC,intermediate,9455,16,51,0,16,0.0044,0,0.0,0.0492,1,0.5441,0.4556,0.5401,0.3385,64.98,86.26
4,learner,53,DMS-ACC,expert,10129,16,51,0,16,0.0162,0,0.0,0.0128,-2,0.4519,0.4023,0.3828,0.2343,87.24,84.92
4,learner,53,DLS-ACC,naive,14090,76,51,0,20,0.1262,1,0.008,0.0491,11,0.6069,0.4725,0.2271,0.2072,82.85,74.4
4,learner,53,DLS-ACC,intermediate,9455,76,51,0,20,0.173,0,0.0,-0.0108,-23,0.45,0.427,0.2156,0.2124,61.4,61.63
4,learner,53,DLS-ACC,expert,10129,76,51,0,20,0.1011,0,0.0,-0.0286,-9,0.4448,0.3877,0.2075,0.2122,73.92,76.18
5,learner,54,DMS-DLS,naive,10882,55,226,0,20,0.0908,0,0.0,-0.0298,12,0.5241,0.6514,0.2406,0.3508,74.68,86.63
5,learner,54,DMS-DLS,intermediate,9613,55,226,0,20,0.314,1,0.0519,-0.0421,0,0.521,0.5471,0.3367,0.3619,73.42,69.63
