animal,pair,epoch,area,unit,contrib
1,DMS-DLS,naive,DMS,0,0.20101
1,DMS-DLS,naive,DMS,1,0.56376
1,DMS-DLS,naive,DMS,2,0.941139
1,DMS-DLS,naive,DMS,3,0.032831
1,DMS-DLS,naive,DMS,4,0.812839
1,DMS-DLS,naive,DMS,5,0.099186
1,DMS-DLS,naive,DMS,6,0.340878
1,DMS-DLS,naive,DMS,7,0.015882
1,DMS-DLS,naive,DMS,8,0.016724
1,DMS-DLS,naive,DMS,9,0.022205
1,DMS-DLS,naive,DMS,10,0.283539
1,DMS-DLS,naive,DMS,11,0.212258
1,DMS-DLS,naive,DMS,12,0.007356
1,DMS-DLS,naive,DMS,13,0.15397
1,DMS-DLS,naive,DMS,14,0.807053
1,DMS-DLS,naive,DMS,15,0.6174
1,DMS-DLS,naive,DMS,16,0.56806
1,DMS-DLS,naive,DMS,17,0.091524
1,DMS-DLS,naive,DMS,18,0.036903
1,DMS-DLS,naive,DMS,19,0.296863
1,DMS-DLS,naive,DMS,20,0.069604
1,DMS-DLS,naive,DMS,21,0.284158
1,DMS-DLS,naive,DMS,22,0.0
1,DMS-DLS,naive,DMS,23,0.677529
1,DMS-DLS,naive,DMS,24,0.798956
1,DMS-DLS,naive,DMS,25,0.09579
1,DMS-DLS,naive,DMS,26,0.052581
1,DMS-DLS,naive,DMS,27,0.324986
1,DMS-DLS,naive,DMS,28,0.463017
1,DMS-DLS,naive,DMS,29,0.117794
1,DMS-DLS,naive,DMS,30,0.097864
1,DMS-DLS,naive,DMS,31,0.354407
1,DMS-DLS,naive,DMS,32,0.985073
1,DMS-DLS,naive,DMS,33,0.846417
1,DMS-DLS,naive,DMS,34,0.262382
1,DMS-DLS,naive,DMS,35,0.684471
1,DMS-DLS,naive,DMS,36,0.210805
1,DMS-DLS,naive,DMS,37,0.0
1,DMS-DLS,naive,DMS,38,0.69658
1,DMS-DLS,naive,DMS,39,0.720692
1,DMS-DLS,naive,DMS,40,0.96602
1,DMS-DLS,naive,DMS,41,0.898368
1,DMS-DLS,naive,DMS,42,0.140421
1,DMS-DLS,naive,DMS,43,0.73114
1,DMS-DLS,naive,DMS,44,0.580479
1,DMS-DLS,naive,DMS,45,0.24146
1,DMS-DLS,naive,DMS,46,0.86432
1,DMS-DLS,naive,DMS,47,0.070642
1,DMS-DLS,naive,DMS,48,0.463884
1,DMS-DLS,naive,DMS,49,0.622295
1,DMS-DLS,naive,DMS,50,0.506194
1,DMS-DLS,naive,DMS,51,0.13334
1,DMS-DLS,naive,DMS,52,0.185129
1,DMS-DLS,naive,DMS,53,0.917259
1,DMS-DLS,naive,DMS,54,0.881735
1,DMS-DLS,naive,DMS,55,0.115499
1,DMS-DLS,naive,DMS,56,0.793375
1,DMS-DLS,naive,DLS,0,0.0
1,DMS-DLS,naive,DLS,1,0.4601
1,DMS-DLS,naive,DLS,2,0.753487
1,DMS-DLS,naive,DLS,3,1.052169
1,DMS-DLS,naive,DLS,4,1.103788
1,DMS-DLS,naive,DLS,5,0.064296
1,DMS-DLS,naive,DLS,6,1.015989
1,DMS-DLS,naive,DLS,7,0.141777
1,DMS-DLS,naive,DLS,8,0.971332
1,DMS-DLS,naive,DLS,9,0.970025
1,DMS-DLS,naive,DLS,10,0.079725
1,DMS-DLS,naive,DLS,11,0.586724
1,DMS-DLS,naive,DLS,12,0.178883
1,DMS-DLS,naive,DLS,13,0.621379
1,DMS-DLS,naive,DLS,14,0.655035
1,DMS-DLS,naive,DLS,15,1.025107
1,DMS-DLS,naive,DLS,16,0.861297
1,DMS-DLS,naive,DLS,17,0.0
1,DMS-DLS,naive,DLS,18,0.367755
1,DMS-DLS,naive,DLS,19,0.157604
1,DMS-DLS,naive,DLS,20,0.927155
1,DMS-DLS,naive,DLS,21,0.41414
1,DMS-DLS,naive,DLS,22,0.722189
1,DMS-DLS,naive,DLS,23,0.999791
1,DMS-DLS,naive,DLS,24,0.011314
1,DMS-DLS,naive,DLS,25,0.0
1,DMS-DLS,naive,DLS,26,0.953156
1,DMS-DLS,naive,DLS,27,0.366634
1,DMS-DLS,naive,DLS,28,0.0
1,DMS-DLS,naive,DLS,29,0.399298
1,DMS-DLS,naive,DLS,30,0.326232
1,DMS-DLS,naive,DLS,31,0.10664
1,DMS-DLS,naive,DLS,32,0.0
1,DMS-DLS,naive,DLS,33,0.762633
1,DMS-DLS,naive,DLS,34,0.810197
1,DMS-DLS,naive,DLS,35,0.129036
1,DMS-DLS,naive,DLS,36,0.852525
1,DMS-DLS,naive,DLS,37,0.02
1,DMS-DLS,naive,DLS,38,0.679202
1,DMS-DLS,naive,DLS,39,1.086918
1,DMS-DLS,naive,DLS,40,0.020376
1,DMS-DLS,naive,DLS,41,0.84444
1,DMS-DLS,intermediate,DMS,0,0.226722
1,DMS-DLS,intermediate,DMS,1,0.555064
1,DMS-DLS,intermediate,DMS,2,0.949319
1,DMS-DLS,intermediate,DMS,3,0.085012
1,DMS-DLS,intermediate,DMS,4,0.791383
1,DMS-DLS,intermediate,DMS,5,0.112096
1,DMS-DLS,intermediate,DMS,6,0.832503
1,DMS-DLS,intermediate,DMS,7,0.07026
1,DMS-DLS,intermediate,DMS,8,0.084162
1,DMS-DLS,intermediate,DMS,9,0.746173
1,DMS-DLS,intermediate,DMS,10,0.285341
1,DMS-DLS,intermediate,DMS,11,0.24621
1,DMS-DLS,intermediate,DMS,12,0.129568
1,DMS-DLS,intermediate,DMS,13,0.41522
1,DMS-DLS,intermediate,DMS,14,0.832527
1,DMS-DLS,intermediate,DMS,15,0.735068
1,DMS-DLS,intermediate,DMS,16,0.901004
1,DMS-DLS,intermediate,DMS,17,0.037503
1,DMS-DLS,intermediate,DMS,18,0.499641
1,DMS-DLS,intermediate,DMS,19,0.209034
1,DMS-DLS,intermediate,DMS,20,0.924876
1,DMS-DLS,intermediate,DMS,21,0.039157
1,DMS-DLS,intermediate,DMS,22,0.0
1,DMS-DLS,intermediate,DMS,23,0.805188
1,DMS-DLS,intermediate,DMS,24,0.844713
1,DMS-DLS,intermediate,DMS,25,0.470253
1,DMS-DLS,intermediate,DMS,26,0.059386
1,DMS-DLS,intermediate,DMS,27,0.391761
