animal,pair,epoch,area,unit,contrib
1,DMS-DLS,naive,DMS,0,0.067707
1,DMS-DLS,naive,DMS,1,0.595007
1,DMS-DLS,naive,DMS,2,0.40825
1,DMS-DLS,naive,DMS,3,0.029695
1,DMS-DLS,naive,DMS,4,0.801641
1,DMS-DLS,naive,DMS,5,0.064328
1,DMS-DLS,naive,DMS,6,0.242867
1,DMS-DLS,naive,DMS,7,0.007336
1,DMS-DLS,naive,DMS,8,0.012103
1,DMS-DLS,naive,DMS,9,0.010886
1,DMS-DLS,naive,DMS,10,0.280063
1,DMS-DLS,naive,DMS,11,0.175924
1,DMS-DLS,naive,DMS,12,0.003237
1,DMS-DLS,naive,DMS,13,0.124783
1,DMS-DLS,naive,DMS,14,0.839131
1,DMS-DLS,naive,DMS,15,0.599882
1,DMS-DLS,naive,DMS,16,0.832123
1,DMS-DLS,naive,DMS,17,0.049719
1,DMS-DLS,naive,DMS,18,0.020397
1,DMS-DLS,naive,DMS,19,0.237939
1,DMS-DLS,naive,DMS,20,0.090599
1,DMS-DLS,naive,DMS,21,0.337223
1,DMS-DLS,naive,DMS,22,0.0
1,DMS-DLS,naive,DMS,23,0.698254
1,DMS-DLS,naive,DMS,24,0.772762
1,DMS-DLS,naive,DMS,25,0.068918
1,DMS-DLS,naive,DMS,26,0.031679
1,DMS-DLS,naive,DMS,27,0.21822
1,DMS-DLS,naive,DMS,28,0.378995
1,DMS-DLS,naive,DMS,29,0.063636
1,DMS-DLS,naive,DMS,30,0.053871
1,DMS-DLS,naive,DMS,31,0.297409
1,DMS-DLS,naive,DMS,32,1.01597
1,DMS-DLS,naive,DMS,33,0.827547
1,DMS-DLS,naive,DMS,34,0.084445
1,DMS-DLS,naive,DMS,35,0.679144
1,DMS-DLS,naive,DMS,36,0.149639
1,DMS-DLS,naive,DMS,37,0.0
1,DMS-DLS,naive,DMS,38,0.621319
1,DMS-DLS,naive,DMS,39,0.729761
1,DMS-DLS,naive,DMS,40,0.933418
1,DMS-DLS,naive,DMS,41,0.941981
1,DMS-DLS,naive,DMS,42,0.136622
1,DMS-DLS,naive,DMS,43,0.832036
1,DMS-DLS,naive,DMS,44,0.57464
1,DMS-DLS,naive,DMS,45,0.187269
1,DMS-DLS,naive,DMS,46,0.827915
1,DMS-DLS,naive,DMS,47,0.045865
1,DMS-DLS,naive,DMS,48,0.301513
1,DMS-DLS,naive,DMS,49,0.650094
1,DMS-DLS,naive,DMS,50,0.549831
1,DMS-DLS,naive,DMS,51,0.104259
1,DMS-DLS,naive,DMS,52,0.141264
1,DMS-DLS,naive,DMS,53,0.951876
1,DMS-DLS,naive,DMS,54,0.917933
1,DMS-DLS,naive,DMS,55,0.096556
1,DMS-DLS,naive,DMS,56,0.838595
1,DMS-DLS,naive,DLS,0,0.0
1,DMS-DLS,naive,DLS,1,0.383034
1,DMS-DLS,naive,DLS,2,0.718775
1,DMS-DLS,naive,DLS,3,1.049602
