animal,pair,epoch,area,unit,contrib
1,DMS-DLS,naive,DMS,0,0.20575
1,DMS-DLS,naive,DMS,1,0.562665
1,DMS-DLS,naive,DMS,2,0.951648
1,DMS-DLS,naive,DMS,3,0.03495
1,DMS-DLS,naive,DMS,4,0.80992
1,DMS-DLS,naive,DMS,5,0.099257
1,DMS-DLS,naive,DMS,6,0.352865
1,DMS-DLS,naive,DMS,7,0.015028
1,DMS-DLS,naive,DMS,8,0.016375
1,DMS-DLS,naive,DMS,9,0.022586
1,DMS-DLS,naive,DMS,10,0.300593
1,DMS-DLS,naive,DMS,11,0.193934
1,DMS-DLS,naive,DMS,12,0.007827
1,DMS-DLS,naive,DMS,13,0.135094
1,DMS-DLS,naive,DMS,14,0.823058
1,DMS-DLS,naive,DMS,15,0.613006
1,DMS-DLS,naive,DMS,16,0.511552
1,DMS-DLS,naive,DMS,17,0.091705
1,DMS-DLS,naive,DMS,18,0.036696
1,DMS-DLS,naive,DMS,19,0.301818
1,DMS-DLS,naive,DMS,20,0.085496
1,DMS-DLS,naive,DMS,21,0.280087
1,DMS-DLS,naive,DMS,22,0.0
1,DMS-DLS,naive,DMS,23,0.675086
1,DMS-DLS,naive,DMS,24,0.795863
1,DMS-DLS,naive,DMS,25,0.08486
1,DMS-DLS,naive,DMS,26,0.051915
1,DMS-DLS,naive,DMS,27,0.292927
1,DMS-DLS,naive,DMS,28,0.516101
1,DMS-DLS,naive,DMS,29,0.12817
1,DMS-DLS,naive,DMS,30,0.076463
1,DMS-DLS,naive,DMS,31,0.343215
1,DMS-DLS,naive,DMS,32,1.015273
1,DMS-DLS,naive,DMS,33,0.746109
1,DMS-DLS,naive,DMS,34,0.68072
1,DMS-DLS,naive,DMS,35,0.224103
1,DMS-DLS,naive,DMS,36,0.0
1,DMS-DLS,naive,DMS,37,0.693818
1,DMS-DLS,naive,DMS,38,0.720681
1,DMS-DLS,naive,DMS,39,0.968142
1,DMS-DLS,naive,DMS,40,0.897826
1,DMS-DLS,naive,DMS,41,0.162526
1,DMS-DLS,naive,DMS,42,0.609741
1,DMS-DLS,naive,DMS,43,0.577892
1,DMS-DLS,naive,DMS,44,0.246574
1,DMS-DLS,naive,DMS,45,0.86184
1,DMS-DLS,naive,DMS,46,0.067669
1,DMS-DLS,naive,DMS,47,0.720956
1,DMS-DLS,naive,DMS,48,0.619131
1,DMS-DLS,naive,DMS,49,0.503266
1,DMS-DLS,naive,DMS,50,0.131378
1,DMS-DLS,naive,DMS,51,0.204138
1,DMS-DLS,naive,DMS,52,0.941474
1,DMS-DLS,naive,DMS,53,0.88193
1,DMS-DLS,naive,DMS,54,0.112522
1,DMS-DLS,naive,DMS,55,0.791946
1,DMS-DLS,naive,DLS,0,0.0
1,DMS-DLS,naive,DLS,1,0.571291
1,DMS-DLS,naive,DLS,2,0.75888
1,DMS-DLS,naive,DLS,3,1.049843
1,DMS-DLS,naive,DLS,4,0.152055
1,DMS-DLS,naive,DLS,5,1.071458
1,DMS-DLS,naive,DLS,6,0.152565
1,DMS-DLS,naive,DLS,7,0.973409
1,DMS-DLS,naive,DLS,8,1.463458
1,DMS-DLS,naive,DLS,9,0.584231
1,DMS-DLS,naive,DLS,10,0.187851
1,DMS-DLS,naive,DLS,11,0.6551
1,DMS-DLS,naive,DLS,12,1.295021
1,DMS-DLS,naive,DLS,13,0.0
1,DMS-DLS,naive,DLS,14,0.82004
1,DMS-DLS,naive,DLS,15,0.368243
1,DMS-DLS,naive,DLS,16,0.973386
1,DMS-DLS,naive,DLS,17,0.782784
1,DMS-DLS,naive,DLS,18,0.719221
1,DMS-DLS,naive,DLS,19,0.998692
1,DMS-DLS,naive,DLS,20,0.007051
1,DMS-DLS,naive,DLS,21,0.0
1,DMS-DLS,naive,DLS,22,0.955833
1,DMS-DLS,naive,DLS,23,0.751505
1,DMS-DLS,naive,DLS,24,0.0
1,DMS-DLS,naive,DLS,25,0.818885
1,DMS-DLS,naive,DLS,26,0.669482
1,DMS-DLS,naive,DLS,27,0.122709
1,DMS-DLS,naive,DLS,28,0.0
1,DMS-DLS,naive,DLS,29,0.766679
1,DMS-DLS,naive,DLS,30,1.034341
1,DMS-DLS,naive,DLS,31,0.160714
1,DMS-DLS,naive,DLS,32,0.901996
1,DMS-DLS,naive,DLS,33,0.016554
1,DMS-DLS,naive,DLS,34,0.685889
1,DMS-DLS,naive,DLS,35,1.103171
1,DMS-DLS,naive,DLS,36,0.016417
1,DMS-DLS,naive,DLS,37,0.845175
1,DMS-DLS,intermediate,DMS,0,0.20588
1,DMS-DLS,intermediate,DMS,1,0.553848
1,DMS-DLS,intermediate,DMS,2,0.94469
1,DMS-DLS,intermediate,DMS,3,0.088483
1,DMS-DLS,intermediate,DMS,4,0.784911
1,DMS-DLS,intermediate,DMS,5,0.11337
1,DMS-DLS,intermediate,DMS,6,0.83006
1,DMS-DLS,intermediate,DMS,7,0.066037
1,DMS-DLS,intermediate,DMS,8,0.08267
1,DMS-DLS,intermediate,DMS,9,0.73475
1,DMS-DLS,intermediate,DMS,10,0.297619
1,DMS-DLS,intermediate,DMS,11,0.233782
1,DMS-DLS,intermediate,DMS,12,0.130008
1,DMS-DLS,intermediate,DMS,13,0.407289
1,DMS-DLS,intermediate,DMS,14,0.828279
1,DMS-DLS,intermediate,DMS,15,0.733412
1,DMS-DLS,intermediate,DMS,16,0.891512
1,DMS-DLS,intermediate,DMS,17,0.036752
1,DMS-DLS,intermediate,DMS,18,0.502377
1,DMS-DLS,intermediate,DMS,19,0.207571
1,DMS-DLS,intermediate,DMS,20,0.91446
1,DMS-DLS,intermediate,DMS,21,0.039067
1,DMS-DLS,intermediate,DMS,22,0.0
1,DMS-DLS,intermediate,DMS,23,0.803981
1,DMS-DLS,intermediate,DMS,24,0.84156
1,DMS-DLS,intermediate,DMS,25,0.457704
1,DMS-DLS,intermediate,DMS,26,0.059029
1,DMS-DLS,intermediate,DMS,27,0.379905
1,DMS-DLS,intermediate,DMS,28,0.127556
1,DMS-DLS,intermediate,DMS,29,0.723243
1,DMS-DLS,intermediate,DMS,30,0.038672
