bh_change,bh_exist,config,ifi_delta_median,ifi_pooled_median,n_change,n_exist,p_change,p_exist,pair,window_bins,window_ms
0,0,b25/fsexcl/partial,0.0392,-0.011,7,7,0.5781,0.6875,DMS-DLS,1,25
0,0,b25/fsexcl/partial,-0.0324,-0.0012,7,7,0.4688,0.8125,DMS-DLS,2,50
0,0,b25/fsexcl/partial,-0.0442,-0.0098,7,7,0.375,0.8125,DMS-DLS,3,75
0,0,b25/fsexcl/partial,-0.036,-0.011,7,7,0.5781,0.5781,DMS-DLS,4,100
0,0,b25/fsexcl/partial,-0.035,-0.0034,7,7,0.6875,0.5781,DMS-DLS,5,125
0,0,b25/fsexcl/partial,-0.0243,-0.0168,7,7,0.5781,0.5781,DMS-DLS,6,150
0,0,b25/fsexcl/partial,-0.044,-0.005,7,7,0.6875,0.4688,DMS-DLS,7,175
0,0,b25/fsexcl/partial,-0.015,-0.0121,7,7,0.6875,0.2188,DMS-DLS,8,200
0,0,b25/fsexcl/partial,-0.0378,-0.0076,7,7,0.8125,0.375,DMS-DLS,9,225
0,0,b25/fsexcl/partial,-0.059,-0.012,7,7,0.9375,0.2969,DMS-DLS,10,250
0,0,b25/fsexcl/partial,-0.0172,0.017,8,9,0.3125,0.8203,DMS-ACC,1,25
0,0,b25/fsexcl/partial,-0.035,0.0037,8,9,0.8438,0.5703,DMS-ACC,2,50
0,0,b25/fsexcl/partial,-0.0194,-0.0044,8,9,0.8438,0.7344,DMS-ACC,3,75
0,0,b25/fsexcl/partial,-0.0117,-0.0007,8,9,0.8438,0.5703,DMS-ACC,4,100
0,0,b25/fsexcl/partial,-0.0162,-0.0067,8,9,0.4609,0.8203,DMS-ACC,5,125
0,0,b25/fsexcl/partial,-0.0436,0.0067,8,9,0.5469,0.8203,DMS-ACC,6,150
0,0,b25/fsexcl/partial,-0.0442,0.0219,8,9,0.3828,0.4961,DMS-ACC,7,175
0,0,b25/fsexcl/partial,-0.048,0.0275,8,9,0.25,0.4961,DMS-ACC,8,200
0,0,b25/fsexcl/partial,-0.0458,0.0204,8,9,0.1094,0.5703,DMS-ACC,9,225
0,0,b25/fsexcl/partial,-0.0358,0.0194,8,9,0.1484,0.4961,DMS-ACC,10,250
0,0,b25/fsexcl/partial,-0.026,0.007,7,7,0.6875,0.9375,DLS-ACC,1,25
0,0,b25/fsexcl/partial,-0.0549,0.004,7,7,0.2969,0.9375,DLS-ACC,2,50
0,0,b25/fsexcl/partial,0.0002,0.0006,7,7,0.9375,0.4688,DLS-ACC,3,75
0,0,b25/fsexcl/partial,0.0037,0.0111,7,7,1.0,0.375,DLS-ACC,4,100
0,0,b25/fsexcl/partial,-0.031,0.0143,7,7,0.2969,0.2969,DLS-ACC,5,125
0,0,b25/fsexcl/partial,-0.0591,0.0158,7,7,0.2969,0.1562,DLS-ACC,6,150
0,0,b25/fsexcl/partial,-0.0534,0.0112,7,7,0.2969,0.0781,DLS-ACC,7,175
0,0,b25/fsexcl/partial,-0.055,0.0196,7,7,0.2969,0.0469,DLS-ACC,8,200
0,0,b25/fsexcl/partial,-0.0601,0.0362,7,7,0.2969,0.0469,DLS-ACC,9,225
0,0,b25/fsexcl/partial,-0.0689,0.0358,7,7,0.2969,0.0781,DLS-ACC,10,250
0,0,b25/fsexcl/plain,0.0094,-0.0034,7,7,0.8125,0.9375,DMS-DLS,1,25
0,0,b25/fsexcl/plain,0.007,-0.0007,7,7,0.8125,0.8125,DMS-DLS,2,50
0,0,b25/fsexcl/plain,0.0005,0.0002,7,7,0.8125,1.0,DMS-DLS,3,75
0,0,b25/fsexcl/plain,0.0073,-0.0056,7,7,0.9375,0.6875,DMS-DLS,4,100
0,0,b25/fsexcl/plain,0.0171,-0.0019,7,7,0.9375,0.6875,DMS-DLS,5,125
0,0,b25/fsexcl/plain,0.0105,-0.0104,7,7,0.9375,0.5781,DMS-DLS,6,150
0,0,b25/fsexcl/plain,0.009,0.0006,7,7,0.9375,0.9375,DMS-DLS,7,175
0,0,b25/fsexcl/plain,-0.0081,0.0045,7,7,1.0,0.5781,DMS-DLS,8,200
0,0,b25/fsexcl/plain,-0.0118,-0.0071,7,7,1.0,0.5781,DMS-DLS,9,225
0,0,b25/fsexcl/plain,0.0406,-0.0069,7,7,0.9375,0.8125,DMS-DLS,10,250
0,0,b25/fsexcl/plain,-0.0046,0.0057,9,9,0.5703,0.6523,DMS-ACC,1,25
0,0,b25/fsexcl/plain,-0.025,0.0075,9,9,0.5703,1.0,DMS-ACC,2,50
0,0,b25/fsexcl/plain,-0.0426,-0.0077,9,9,0.5703,1.0,DMS-ACC,3,75
0,0,b25/fsexcl/plain,0.0108,0.007,9,9,0.7344,0.6523,DMS-ACC,4,100
0,0,b25/fsexcl/plain,-0.0001,0.0104,9,9,0.5703,0.9102,DMS-ACC,5,125
0,0,b25/fsexcl/plain,-0.0093,0.013,9,9,0.3594,1.0,DMS-ACC,6,150
0,0,b25/fsexcl/plain,-0.0529,0.015,9,9,0.4258,0.8203,DMS-ACC,7,175
0,0,b25/fsexcl/plain,-0.0521,0.0158,9,9,0.25,0.7344,DMS-ACC,8,200
0,0,b25/fsexcl/plain,-0.0361,0.0178,9,9,0.2031,0.8203,DMS-ACC,9,225
0,0,b25/fsexcl/plain,-0.0397,0.0183,9,9,0.2031,0.6523,DMS-ACC,10,250
0,0,b25/fsexcl/plain,-0.0114,0.0221,7,7,0.5781,0.2969,DLS-ACC,1,25
0,0,b25/fsexcl/plain,-0.0271,0.0022,7,7,0.2188,0.4688,DLS-ACC,2,50
0,0,b25/fsexcl/plain,0.0038,0.0082,7,7,0.5781,0.2969,DLS-ACC,3,75
0,0,b25/fsexcl/plain,-0.0059,0.0192,7,7,0.9375,0.375,DLS-ACC,4,100
0,0,b25/fsexcl/plain,-0.0338,0.0099,7,7,0.2969,0.2969,DLS-ACC,5,125
0,0,b25/fsexcl/plain,-0.0618,0.0093,7,7,0.2969,0.0469,DLS-ACC,6,150
0,0,b25/fsexcl/plain,-0.0476,0.0148,7,7,0.2969,0.0469,DLS-ACC,7,175
0,0,b25/fsexcl/plain,-0.0545,0.0248,7,7,0.2969,0.0469,DLS-ACC,8,200
0,0,b25/fsexcl/plain,-0.0618,0.0355,7,7,0.2969,0.0469,DLS-ACC,9,225
0,0,b25/fsexcl/plain,-0.0699,0.0403,7,7,0.2969,0.0781,DLS-ACC,10,250
0,0,b25/fsincl/partial,0.0392,0.0018,8,8,0.7422,0.7422,DMS-DLS,1,25
0,0,b25/fsincl/partial,-0.0114,0.0057,8,8,0.9453,0.4609,DMS-DLS,2,50
0,0,b25/fsincl/partial,-0.0089,0.0033,8,8,0.8438,0.7422,DMS-DLS,3,75
0,0,b25/fsincl/partial,0.0029,-0.0029,8,8,1.0,0.9453,DMS-DLS,4,100
0,0,b25/fsincl/partial,0.0118,-0.0001,8,8,0.9453,0.9453,DMS-DLS,5,125
0,0,b25/fsincl/partial,0.0132,0.0053,8,8,0.9453,1.0,DMS-DLS,6,150
0,0,b25/fsincl/partial,0.0136,0.0038,8,8,0.8438,0.9453,DMS-DLS,7,175
0,0,b25/fsincl/partial,0.0133,-0.0044,8,8,0.7422,0.7422,DMS-DLS,8,200
0,0,b25/fsincl/partial,0.0151,-0.0037,8,8,0.8438,0.5469,DMS-DLS,9,225
0,0,b25/fsincl/partial,-0.0156,-0.0035,8,8,0.9453,0.6406,DMS-DLS,10,250
0,0,b25/fsincl/partial,-0.0113,0.0115,10,11,0.4316,0.5771,DMS-ACC,1,25
0,0,b25/fsincl/partial,-0.0322,0.0076,10,11,0.375,0.8311,DMS-ACC,2,50
0,0,b25/fsincl/partial,-0.0259,0.0029,10,11,0.2324,0.9658,DMS-ACC,3,75
0,0,b25/fsincl/partial,-0.0115,0.0019,10,11,0.6953,0.4648,DMS-ACC,4,100
0,0,b25/fsincl/partial,-0.0365,0.0079,10,11,0.375,0.3203,DMS-ACC,5,125
0,0,b25/fsincl/partial,-0.0531,0.0144,10,11,0.4922,0.2783,DMS-ACC,6,150
0,0,b25/fsincl/partial,-0.051,0.0162,10,11,0.2754,0.2061,DMS-ACC,7,175
0,0,b25/fsincl/partial,-0.044,0.0182,10,11,0.2324,0.2402,DMS-ACC,8,200
0,0,b25/fsincl/partial,-0.0433,0.0159,10,11,0.1309,0.2783,DMS-ACC,9,225
0,0,b25/fsincl/partial,-0.0549,0.015,10,11,0.1602,0.3203,DMS-ACC,10,250
0,0,b25/fsincl/partial,-0.0212,-0.024,8,8,0.4609,0.1484,DLS-ACC,1,25
0,0,b25/fsincl/partial,-0.0556,-0.0384,8,8,0.25,0.1484,DLS-ACC,2,50
0,0,b25/fsincl/partial,-0.023,-0.0088,8,8,0.4609,0.3125,DLS-ACC,3,75
0,0,b25/fsincl/partial,-0.0324,-0.0039,8,8,0.8438,0.5469,DLS-ACC,4,100
0,0,b25/fsincl/partial,-0.0335,0.0012,8,8,0.6406,0.5469,DLS-ACC,5,125
0,0,b25/fsincl/partial,-0.0677,0.009,8,8,0.5469,0.4609,DLS-ACC,6,150
0,0,b25/fsincl/partial,-0.0704,0.0111,8,8,0.4609,0.3828,DLS-ACC,7,175
0,0,b25/fsincl/partial,-0.0575,0.0097,8,8,0.4609,0.3125,DLS-ACC,8,200
0,0,b25/fsincl/partial,-0.0654,0.0185,8,8,0.4609,0.1484,DLS-ACC,9,225
0,0,b25/fsincl/partial,-0.0659,0.017,8,8,0.5469,0.25,DLS-ACC,10,250
0,0,b25/fsincl/plain,-0.0017,0.0029,8,8,0.9453,0.7422,DMS-DLS,1,25
0,0,b25/fsincl/plain,0.0054,0.0015,8,8,0.7422,0.6406,DMS-DLS,2,50
0,0,b25/fsincl/plain,0.0019,0.0021,8,8,0.7422,0.5469,DMS-DLS,3,75
0,0,b25/fsincl/plain,0.0156,-0.0005,8,8,0.6406,0.9453,DMS-DLS,4,100
0,0,b25/fsincl/plain,0.0166,0.0014,8,8,0.6406,0.8438,DMS-DLS,5,125
0,0,b25/fsincl/plain,0.0151,0.0021,8,8,0.6406,0.9453,DMS-DLS,6,150
0,0,b25/fsincl/plain,0.0148,0.0031,8,8,0.5469,0.6406,DMS-DLS,7,175
0,0,b25/fsincl/plain,0.0148,0.0077,8,8,0.5469,0.9453,DMS-DLS,8,200
0,0,b25/fsincl/plain,0.0187,0.0019,8,8,0.5469,0.8438,DMS-DLS,9,225
0,0,b25/fsincl/plain,0.0361,0.0033,8,8,0.6406,0.8438,DMS-DLS,10,250
0,0,b25/fsincl/plain,-0.0051,0.0087,11,11,0.5771,0.4648,DMS-ACC,1,25
0,0,b25/fsincl/plain,-0.0118,0.0158,11,11,0.6377,0.5771,DMS-ACC,2,50
0,0,b25/fsincl/plain,-0.0241,0.0203,11,11,0.4131,0.4131,DMS-ACC,3,75
0,0,b25/fsincl/plain,0.0088,0.0215,11,11,0.8311,0.1748,DMS-ACC,4,100
0,0,b25/fsincl/plain,0.0001,0.0243,11,11,0.7002,0.1748,DMS-ACC,5,125
0,0,b25/fsincl/plain,0.0034,0.0252,11,11,0.5771,0.1748,DMS-ACC,6,150
0,0,b25/fsincl/plain,-0.0005,0.0252,11,11,0.4648,0.1475,DMS-ACC,7,175
0,0,b25/fsincl/plain,-0.0013,0.0246,11,11,0.4648,0.123,DMS-ACC,8,200
0,0,b25/fsincl/plain,0.0029,0.0259,11,11,0.5195,0.123,DMS-ACC,9,225
0,0,b25/fsincl/plain,-0.0008,0.0265,11,11,0.3652,0.123,DMS-ACC,10,250
0,0,b25/fsincl/plain,-0.008,-0.0202,8,8,0.3125,0.1094,DLS-ACC,1,25
0,0,b25/fsincl/plain,-0.0434,-0.0148,8,8,0.3125,0.0391,DLS-ACC,2,50
0,0,b25/fsincl/plain,-0.024,-0.002,8,8,0.5469,0.3828,DLS-ACC,3,75
0,0,b25/fsincl/plain,-0.0208,0.0015,8,8,0.8438,0.5469,DLS-ACC,4,100
0,0,b25/fsincl/plain,-0.0504,0.0082,8,8,0.7422,0.1953,DLS-ACC,5,125
0,0,b25/fsincl/plain,-0.0582,0.0134,8,8,0.4609,0.3125,DLS-ACC,6,150
0,0,b25/fsincl/plain,-0.068,0.0147,8,8,0.25,0.1484,DLS-ACC,7,175
0,0,b25/fsincl/plain,-0.0588,0.011,8,8,0.25,0.3125,DLS-ACC,8,200
0,0,b25/fsincl/plain,-0.0689,0.0094,8,8,0.25,0.1953,DLS-ACC,9,225
0,0,b25/fsincl/plain,-0.0624,0.005,8,8,0.3125,0.3125,DLS-ACC,10,250
0,0,b10/fsexcl/partial,0.0083,0.0038,7,7,0.375,0.9375,DMS-DLS,1,10
0,0,b10/fsexcl/partial,-0.0001,-0.0089,7,7,1.0,0.8125,DMS-DLS,2,20
0,0,b10/fsexcl/partial,-0.0024,-0.0073,7,7,1.0,1.0,DMS-DLS,3,30
0,0,b10/fsexcl/partial,0.0113,-0.0059,7,7,0.5781,1.0,DMS-DLS,4,40
0,0,b10/fsexcl/partial,0.0225,-0.0015,7,7,0.5781,0.9375,DMS-DLS,5,50
0,0,b10/fsexcl/partial,0.0096,0.0023,7,7,0.5781,0.9375,DMS-DLS,6,60
0,0,b10/fsexcl/partial,-0.0039,0.0062,7,7,0.8125,0.8125,DMS-DLS,7,70
0,0,b10/fsexcl/partial,0.0133,0.0039,7,7,1.0,0.9375,DMS-DLS,8,80
0,0,b10/fsexcl/partial,0.0195,0.006,7,7,0.9375,0.8125,DMS-DLS,9,90
0,0,b10/fsexcl/partial,-0.0376,0.0002,7,7,0.5781,0.8125,DMS-DLS,10,100
0,0,b10/fsexcl/partial,-0.0364,-0.0114,7,7,0.6875,0.4688,DMS-DLS,11,110
0,0,b10/fsexcl/partial,-0.0165,-0.0128,7,7,0.6875,0.4688,DMS-DLS,12,120
0,0,b10/fsexcl/partial,-0.0069,-0.0095,7,7,0.6875,0.375,DMS-DLS,13,130
0,0,b10/fsexcl/partial,-0.0061,-0.006,7,7,0.5781,0.375,DMS-DLS,14,140
0,0,b10/fsexcl/partial,-0.0048,-0.0044,7,7,0.6875,0.4688,DMS-DLS,15,150
0,0,b10/fsexcl/partial,-0.0017,-0.0023,7,7,0.9375,0.375,DMS-DLS,16,160
0,0,b10/fsexcl/partial,-0.0067,-0.0005,7,7,0.9375,0.5781,DMS-DLS,17,170
0,0,b10/fsexcl/partial,-0.0392,-0.001,7,7,0.5781,0.5781,DMS-DLS,18,180
0,0,b10/fsexcl/partial,-0.0445,-0.0021,7,7,0.5781,0.375,DMS-DLS,19,190
0,0,b10/fsexcl/partial,-0.0452,0.0023,7,7,0.6875,0.5781,DMS-DLS,20,200
