bh_sig,cc1_med_expert,cc1_med_inter,cc1_med_naive,config,contrast,delta_median,frac_positive,median_diff,n_animals,n_cells,p_animal,p_naive_vs_expert,pair,test
0,0.0922,0.1904,0.1479,b25/fsexcl/partial,,-0.0957,,,7,,,0.1562,DMS-DLS,strength
0,0.1544,0.2342,0.179,b25/fsexcl/partial,,0.0589,,,8,,,0.1094,DMS-ACC,strength
0,0.1691,0.017,0.1604,b25/fsexcl/partial,,0.0273,,,7,,,0.8125,DLS-ACC,strength
0,0.0782,0.0929,0.1154,b25/fsexcl/plain,,0.0116,,,7,,,0.9375,DMS-DLS,strength
0,0.0907,0.0465,0.115,b25/fsexcl/plain,,-0.0167,,,9,,,0.3008,DMS-ACC,strength
0,0.036,0.0781,0.0303,b25/fsexcl/plain,,0.0021,,,7,,,0.6875,DLS-ACC,strength
0,0.1421,0.1804,0.1556,b25/fsincl/partial,,0.0415,,,8,,,0.9453,DMS-DLS,strength
0,0.1536,0.1578,0.1368,b25/fsincl/partial,,0.0347,,,10,,,0.375,DMS-ACC,strength
0,0.0911,-0.0144,0.1582,b25/fsincl/partial,,-0.0316,,,8,,,0.8438,DLS-ACC,strength
0,0.143,0.1633,0.1341,b25/fsincl/plain,,0.0243,,,8,,,0.1484,DMS-DLS,strength
0,0.1034,0.0886,0.0857,b25/fsincl/plain,,0.0212,,,11,,,0.4131,DMS-ACC,strength
0,0.0602,0.0865,0.0537,b25/fsincl/plain,,0.0456,,,8,,,0.0391,DLS-ACC,strength
0,0.1968,0.1742,0.1327,b10/fsexcl/partial,,0.0694,,,7,,,0.2188,DMS-DLS,strength
0,0.2215,0.0198,0.1079,b10/fsexcl/partial,,0.1292,,,9,,,0.2031,DMS-ACC,strength
0,0.1208,-0.0142,0.1456,b10/fsexcl/partial,,-0.0881,,,7,,,0.5781,DLS-ACC,strength
0,0.0411,0.0491,0.0712,b10/fsexcl/plain,,-0.0116,,,7,,,0.8125,DMS-DLS,strength
0,0.0524,0.0093,0.0705,b10/fsexcl/plain,,-0.0429,,,9,,,0.1641,DMS-ACC,strength
0,0.0454,0.027,0.0492,b10/fsexcl/plain,,0.0091,,,7,,,0.8125,DLS-ACC,strength
0,0.1491,0.1361,0.1276,b10/fsincl/partial,,0.0618,,,8,,,0.3828,DMS-DLS,strength
0,0.1832,0.0547,0.1829,b10/fsincl/partial,,0.0737,,,11,,,0.2402,DMS-ACC,strength
0,0.0466,-0.0078,0.1467,b10/fsincl/partial,,-0.0508,,,8,,,0.7422,DLS-ACC,strength
0,0.1183,0.0874,0.0822,b10/fsincl/plain,,0.0263,,,8,,,0.25,DMS-DLS,strength
0,0.0686,0.0494,0.0705,b10/fsincl/plain,,0.0043,,,11,,,0.9658,DMS-ACC,strength
0,0.0428,0.0485,0.0485,b10/fsincl/plain,,-0.0094,,,8,,,0.9453,DLS-ACC,strength
,,,,b25/partial,fsincl-fsexcl,,0.544,0.0039,9,68,0.425781,,,fs_incl_minus_excl
,,,,b25/plain,fsincl-fsexcl,,0.652,0.0162,9,69,0.039062,,,fs_incl_minus_excl
,,,,b25/fsexcl,plain-partial,,0.324,-0.012,9,68,0.015625,,,plain_minus_partial
,,,,b25/fsincl,plain-partial,,0.425,-0.0006,11,80,0.164062,,,plain_minus_partial
,,,,b10/partial,fsincl-fsexcl,,0.536,0.0026,9,69,0.109375,,,fs_incl_minus_excl
,,,,b10/plain,fsincl-fsexcl,,0.783,0.01,9,69,0.003906,,,fs_incl_minus_excl
,,,,b10/fsexcl,plain-partial,,0.348,-0.0312,9,69,0.039062,,,plain_minus_partial
,,,,b10/fsincl,plain-partial,,0.407,-0.0014,11,81,0.425781,,,plain_minus_partial
,,,,fsexcl/partial,b10-b25,,0.309,-0.0337,9,68,0.019531,,,b10_minus_b25
,,,,fsexcl/plain,b10-b25,,0.203,-0.0382,9,69,0.003906,,,b10_minus_b25
,,,,fsincl/partial,b10-b25,,0.312,-0.0404,11,80,0.001953,,,b10_minus_b25
,,,,fsincl/plain,b10-b25,,0.21,-0.0391,11,81,0.001953,,,b10_minus_b25
